583    111    455    4:3:2:1:    4:1:    4:4:2:1:    C[3,6]-4:C[6]-3:O-2:H-1:    C[6]-4:H-1:    C[3,6]-4:C[6]-4:O[3]-2:H-1:    C[6](C[3,6]CHO)(C[6]CH)(OH)(H)    O(C[6]CCH)(H)    C[3,6](C[3,6]CHO)(C[6]CHO)(O[3]C)(H)    106.5911    0.447    2    106.7870    0.3486    4    107.1429    1.9582    6    108.8991    2.8750    117
583    111    455    4:4:2:1:    4:1:    4:4:2:1:    C[3,6,7]-4:C[5,6,7]-4:O-2:H-1:    C[6,7]-4:H-1:    C[3,6,7]-4:C[6,7]-4:O[3]-2:H-1:    C[6,7](C[3,6,7]CHO)(C[5,6,7]CHO)(OH)(H)    O(C[6,7]CCH)(H)    C[3,6,7](C[3,6,7]CHO)(C[6,7]CHO)(O[3]C)(H)    109.5712    0.980    5    109.8864    1.6875    10    109.1125    19.0000    19    108.8991    2.8750    117
583    111    455    4:4:2:1:    4:1:    4:4:2:1:    C[3,6,7]-4:C[5,6,7]-4:O-2:H-1:    C[6,7]-4:H-1:    C[3,6,7]-4:C[6,7]-4:O[3]-2:H-1:    C[6,7](C[3,6,7]CHO)(C[5,6,7]HOO)(OH)(H)    O(C[6,7]CCH)(H)    C[3,6,7](C[3,6,7]CHO)(C[6,7]CHO)(O[3]C)(H)    110.2016    2.280    5    109.8864    1.6875    10    109.1125    19.0000    19    108.8991    2.8750    117
583    111    455    4:4:2:1:    4:1:    4:4:2:1:    C[3,6]-4:C[6,6]-4:O-2:H-1:    C[6]-4:H-1:    C[3,6]-4:C[6]-4:O[3]-2:H-1:    C[6](C[3,6]CHO)(C[6,6]CCH)(OH)(H)    O(C[6]CCH)(H)    C[3,6](C[3,6]CHO)(C[6]CHO)(O[3]C)(H)    108.7261    0.745    4    108.7322    0.6453    5    109.1125    19.0000    19    108.8991    2.8750    117
583    111    455    4:4:2:1:    4:4:    4:4:2:1:    C[3,6,7]-4:C[5,6,7]-4:O-2:H-1:    C[6,7]-4:C-4:    C[3,6,7]-4:C[6,7]-4:O[3]-2:H-1:    C[6,7](C[3,6,7]CHO)(C[5,6,7]HOO)(OC)(H)    O(C[6,7]CCH)(CCHH)    C[3,6,7](C[3,6,7]CHO)(C[6,7]CHO)(O[3]C)(H)    108.7706    3.263    4    108.7706    3.2630    4    108.0177    10.0000    10    108.8991    2.8750    117
583    111    455    4:4:2:1:    4:4:    4:4:2:1:    C[3,6]-4:C[3,6]-4:O-2:O-1:    C[6]-4:C-4:    C[3,6]-4:C[6]-4:O[3]-2:H-1:    C[6](C[3,6]CHO)2(OC)(O)    O(C[6]CCO)(CH3)    C[3,6](C[3,6]CCO)(C[6]COO)(O[3]C)(H)    106.3334    3.412    4    106.3334    3.4120    4    108.0177    10.0000    10    108.8991    2.8750    117
583    111    455    4:4:2:2:    4:4:    7:4:4:1:    C[3,6,6]-4:C[6,6]-4:N[6,6]-2:O-2:    C[3x6]-4:C-4:    W[3,3x6]-7:C[3,6,6]-4:C[3x6]-4:H-1:    C[3x6](C[3,6,6]CHW)(C[6,6]CCH)(N[6,6]C)(OC)    O(C[3x6]CCN)(CH3)    C[3,6,6](W[3,3x6]CN4P)(C[3,6,6]CHW)(C[3x6]CNO)(H)    108.7980    0.912    7    108.7980    0.9120    7    108.7980    7.0000    7    108.8991    2.8750    117
583    111    481    2:2:2:1:    4:4:    4:4:    O[6]-2:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](O[6]C)2(OC)(H)    O(C[6]HOO)(CCHH)    O[6](C[6]CHH)(C[6]HOO)    109.0170    2.911    6    109.0170    2.9110    6    109.0170    6.0000    6    109.9639    2.3880    855
583    111    481    3:2:2:1:    4:4:    4:4:    C[6]-3:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CH)(O[6]C)(OC)(H)    O(C[6]CHO)(CCHH)    O[6](C[6]CHH)(C[6]CHO)    111.7771    0.848    4    111.7106    0.6994    6    111.8213    11.0000    11    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:1:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:H-1:    C[6]-4:C[6]-4:    C[6](C[6]CCH)(O[6]C)(OH)(H)    O(C[6]CHO)(H)    O[6](C[6]CHH)(C[6]CHO)    108.9488    2.151    5    109.8568    2.6411    32    109.6318    40.0000    40    109.9639    2.3880    855
