29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:O[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(O[6]C)(COO)    C[6](C[6]CO)2(H)    C(C[6]CO)(OSn)(O)    125.8398    0.608    4    124.1875    1.7302    14    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[5]-3:C[6]-3:H-1:    C[6](C[6]CH)(N[6]C)(CCH)    C[6](C[6]CH)(C[6]CN)(H)    C(C[5]CC)(C[6]CN)(H)    122.3640    2.470    4    121.8778    2.3995    5    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:H-1:    C[6](C[6]CH)(N[6]C)(CCH)    C[6](C[6]CN)2(H)    C(C[6]CN)(CCH)(H)    122.5010    3.304    7    121.5076    2.5102    73    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:H-1:    C[6](C[6]CH)(N[6]C)(CCH)    C[6](C[6]CN)(C[6]HN)(H)    C(C[6]CN)(CCH)(H)    123.5897    2.232    15    121.5076    2.5102    73    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:H-1:    C[6](C[6]CH)(N[6]C)(CCH)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(CCH)(H)    120.9299    2.035    42    121.5076    2.5102    73    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(CCH)(O)    120.0669    0.943    16    120.1077    0.9973    20    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C[6]-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)2(O)    120.3138    0.390    4    119.6727    1.4357    20    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C[6]-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CC)(C[6]CN)(O)    119.4582    1.648    14    119.6727    1.4357    20    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NHH)(O)    119.9501    1.053    4    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NHO)(O)    119.1369    1.146    4    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
