981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CCH)(NCH)    H(NCN)    120.4299    1.254    121    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CCC)(NCH)    H(NCN)    120.0275    2.802    135    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C[5]-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(C[5]NS)(NCH)    H(NCN)    119.6663    0.338    4    120.5153    2.4307    34    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C[5]-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(C[5]CC)(NCH)    H(NCN)    121.1270    2.366    25    120.5153    2.4307    34    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C[6]-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(C[6]CC)(NCH)    H(NCN)    120.0096    3.451    38    120.0096    3.4510    38    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    N-3:C-3:    N-3:    N(C[6]CC)(NC)(H)    N(NCH)(CCH)    H(NCN)    117.0443    4.001    13    119.6615    3.6672    44    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    N-3:C-3:    N-3:    N(C[6]CC)(NC)(H)    N(NCH)(CCC)    H(NCN)    120.9689    3.005    28    119.6615    3.6672    44    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    N-3:N-3:    N-3:    N(C[6]CC)(NN)(H)    N(NCH)(NCO)    H(NCN)    120.0069    1.306    4    120.0069    1.3060    4    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    4:2:1:    3:3:    3:    S-4:N-2:H-1:    C-3:N-3:    N-3:    N(SCOO)(NC)(H)    N(CCH)(NHS)    H(NNS)    122.4981    0.698    10    122.1930    1.6120    14    118.7818    73.0000    73    119.8024    2.8912    2059
981    269    887    4:2:1:    3:3:    3:    S-4:N-2:H-1:    C[5]-3:N-3:    N-3:    N(SCOO)(NC)(H)    N(C[5]CC)(NHS)    H(NNS)    116.6898    7.350    4    116.6898    7.3500    4    118.7818    73.0000    73    119.8024    2.8912    2059
981    269    887    4:2:1:    3:3:    3:    S-4:N-2:H-1:    C[6]-3:N-3:    N-3:    N(SCOO)(NC)(H)    N(C[6]CC)(NHS)    H(NNS)    122.2591    2.296    6    122.2591    2.2960    6    118.7818    73.0000    73    119.8024    2.8912    2059
981    269    887    4:2:1:    3:3:    3:    S-4:N-2:H-1:    N-3:C-3:    N-3:    N(SCOO)(NC)(H)    N(NHS)(CCC)    H(NNS)    117.9020    4.535    10    116.4902    3.5877    37    118.7818    73.0000    73    119.8024    2.8912    2059
981    269    887    4:2:1:    3:3:    3:    S-4:N-2:H-1:    N-3:C-3:    N-3:    N(SCOO)(NC)(H)    N(NHS)(CCH)    H(NNS)    115.8861    3.139    26    116.4902    3.5877    37    118.7818    73.0000    73    119.8024    2.8912    2059
981    269    903    6:2:1:    3:2:    3:    Ni[5,6,6]-6:N-2:N-1:    N-3:C-2:    N-3:    N(Ni[5,6,6]N5)(NC)(N)    N(NNiN)(CC)    N(NNiN)    111.1205    0.000    1    111.1205    0.0000    1    111.1205    0.0000    1    111.1205    0.0000    1
981    269    909    4:4:2:    3:3:    2:2:3:3:    P[6]-4:C-4:N-2:    N-3:C-3:    N[6]-2:N[6]-2:N-3:N-3:    N(P[6]N3)(CH3)(NC)    N(NCP)(CCH)    P[6](N[6]P)2(NCN)2    112.0154    3.526    10    112.0154    3.5260    10    112.0154    10.0000    10    112.6342    3.9245    11
981    269    923    4:4:2:    3:3:    3:3:3:3:    P[5,5]-4:C-4:N-2:    N-3:C-3:    S[4,5,5]-3:N[5]-3:N[5]-3:N-3:    N(P[5,5]NNS)(CH3)(NC)    N(NCP)(CCH)    P[5,5](S[4,5,5]Ag2)(N[5]CN)(N[5]CN)(NCN)    117.2270    0.000    1    117.2270    0.0000    1    117.2270    0.0000    1    117.2270    0.0000    1
981    269    961    3:2:1:    3:3:    4:3:3:    C[7]-3:N-2:H-1:    C-3:N-3:    C[7]-4:N[7]-3:N-3:    N(C[7]CN)(NC)(H)    N(CCH)(NCH)    C[7](C[7]CHH)(N[7]CH)(NHN)    120.7822    0.000    1    120.7822    0.0000    1    120.7822    0.0000    1    120.7822    0.0000    1
981    269    965    4:2:1:    3:3:    9:9:4:3:    P[3]-4:N-2:H-1:    N-3:C-3:    Fe[7x3]-9:Fe[7x3]-9:C[6]-4:N-3:    N(P[3]Fe2C)(NC)(H)    N(NHP)(CHH)    P[3](Fe[7x3]FeC7)2(C[6]CCH)(NHN)    119.8634    0.000    1    119.8634    0.0000    1    119.8634    0.0000    1    119.8634    0.0000    1
