653    407    563    3:2:    4:2:    4:3:2:    C[5]-3:O[5]-2:    C[5]-4:N[5]-2:    C[5]-4:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CCH)(N[5]C)    C[5](C[5]CHH)(C[6]CC)(N[5]O)    109.3706    0.531    12    109.4053    0.5097    17    109.4799    0.5795    48
653    407    767    2:3:    4:2:    2:3:2:    O[5]-2:N[5]-3:    Pb[5,5]-4:N[5]-2:    O[5]-2:C[6]-3:N[5]-2:    N[5](O[5]Pb)(N[5]CO)    O[5](Pb[5,5]O3)(N[5]N)    N[5](O[5]Pb)(C[6]CC)(N[5]O)    113.4600    0.797    6    113.4600    0.7970    6    113.4016    0.7524    10
653    407    767    3:2:    3:2:    3:3:2:    N[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](N[5]CC)(O[5]C)    O[5](C[5]CO)(N[5]N)    N[5](C[5]CH)(C[6]CC)(N[5]O)    103.7471    0.146    6    104.6601    0.7724    32    104.4526    0.9946    36
653    407    767    3:2:    3:2:    3:3:2:    N[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](N[5]CC)(O[5]C)    O[5](C[5]CO)(N[5]N)    N[5](C[5]CC)(C[6]CC)(N[5]O)    104.9737    0.621    24    104.6601    0.7724    32    104.4526    0.9946    36
653    529    529    2:2:    3:2:    3:2:    S[5]-2:S[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:N[5]-2:    N[5](S[5]C)2    S[5](C[5,6]CN)(N[5]S)    S[5](C[5,6]CC)(N[5]S)    114.4927    0.343    4    115.0476    0.8601    17    115.2339    1.1494    18
653    529    529    2:2:    3:2:    3:2:    S[5]-2:S[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:N[5]-2:    N[5](S[5]C)2    S[5](C[5,6]CC)(N[5]S)    S[5](C[5,6]CC)(N[5]S)    115.2183    0.907    13    115.0476    0.8601    17    115.2339    1.1494    18
653    529    563    3:2:    2:2:    2:2:1:    C[5]-3:S[5]-2:    N[5]-2:S[5]-2:    N[5]-2:N[5]-2:Cl-1:    N[5](C[5]ClN)(S[5]S)    S[5](N[5]C)(S[5]N)    C[5](N[5]S)2(Cl)    112.4301    0.511    36    112.4301    0.5110    36    112.7096    1.3762    39
653    529    563    3:2:    2:2:    3:2:2:    C[5,5]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,5]-3:N[5]-2:S[5]-2:    N[5](C[5,5]CS)(S[5]N)    S[5](N[5]C)2    C[5,5](C[5,5]NS)(N[5]S)(S[5]C)    106.0712    0.284    4    106.0712    0.2840    4    112.5986    3.5170    114
653    529    563    3:2:    2:2:    3:2:2:    C[5,5]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,5]-3:S[5]-2:N[5]-2:    N[5](C[5,5]CS)(S[5]N)    S[5](N[5]C)2    C[5,5](C[5,5]NS)(S[5]Ni)(N[5]S)    106.8247    0.248    6    106.7124    0.4308    21    112.5986    3.5170    114
653    529    563    3:2:    2:2:    3:2:2:    C[5,5]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,5]-3:S[5]-2:N[5]-2:    N[5](C[5,5]CS)(S[5]N)    S[5](N[5]C)2    C[5,5](C[5,5]NS)(S[5]Mo)(N[5]S)    106.6324    0.528    12    106.7124    0.4308    21    112.5986    3.5170    114
653    529    563    3:2:    2:2:    3:2:2:    C[5]-3:S[5]-2:    N[5]-2:S[5]-2:    C[6]-3:N[5]-2:N[5]-2:    N[5](C[5]CN)(S[5]S)    S[5](N[5]C)(S[5]N)    C[5](C[6]CC)(N[5]S)2    114.1964    0.852    80    114.1898    0.8427    82    112.5986    3.5170    114
653    529    563    3:2:    2:2:    3:3:2:    C[5,5]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,5]-3:C[5,6]-3:N[5]-2:    N[5](C[5,5]CC)(S[5]N)    S[5](N[5]C)2    C[5,5](C[5,5]CN)(C[5,6]NN)(N[5]S)    104.7762    1.481    32    104.7762    1.4810    32    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[5,6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)2(N[5]S)    106.0377    0.540    5    106.0790    0.4468    7    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[6,6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)(C[6,6]CC)(N[5]S)    106.3462    0.486    26    106.3462    0.4860    26    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)(C[6]BrC)(N[5]S)    105.7647    0.497    7    106.3610    0.9033    48    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)(C[6]CO)(N[5]S)    106.2121    0.532    8    106.3610    0.9033    48    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)(C[6]CH)(N[5]S)    106.7322    1.504    13    106.3610    0.9033    48    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]N)    S[5](N[5]C)2    C[5,6](C[5,6]CN)(C[6]CN)(N[5]S)    106.2311    0.294    14    106.3610    0.9033    48    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:S[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]S)    S[5](N[5]C)(S[5]C)    C[5,6](C[5,6]CS)(C[6]CO)(N[5]S)    115.9510    1.037    4    115.4941    1.0060    7    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    N[5]-2:S[5]-2:    C[5,6]-3:N[6]-3:N[5]-2:    N[5](C[5,6]CN)(S[5]S)    S[5](N[5]C)(S[5]C)    C[5,6](C[5,6]CS)(N[6]CC)(N[5]S)    115.2740    1.241    9    115.3400    1.1326    11    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5,6]-3:S[5]-2:    Se[5]-2:N[5]-2:    C[5,6]-3:N[6]-3:N[5]-2:    N[5](C[5,6]CN)(S[5]Se)    S[5](Se[5]C)(N[5]C)    C[5,6](C[5,6]SeC)(N[6]CC)(N[5]S)    117.0096    0.146    4    117.0096    0.1460    4    107.7791    3.9251    150
653    529    563    3:2:    2:2:    3:3:2:    C[5]-3:S[5]-2:    N[5]-2:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(S[5]N)    S[5](N[5]C)2    C[5](C[5]CN)(C[6]CN)(N[5]S)    107.6793    0.275    4    107.6793    0.2750    4    107.7791    3.9251    150
653    529    653    2:2:    3:2:    3:2:    N[5]-2:S[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:N[5]-2:    N[5](N[5]C)(S[5]C)    S[5](C[5,6]CC)(N[5]N)    N[5](C[5,6]CC)(N[5]S)    113.1361    0.367    12    113.1361    0.3670    12    112.6689    0.8357    17
653    537    537    4:4:    3:2:1:1:    3:2:1:1:    S[5]-4:S[5]-4:    C[5,6]-3:N[5]-2:O-1:O-1:    C[5,6]-3:N[5]-2:O-1:O-1:    N[5](S[5]COO)2    S[5](C[5,6]CC)(N[5]S)(O)2    S[5](C[5,6]CC)(N[5]S)(O)2    115.4818    1.342    5    115.4818    1.3420    5    115.4818    1.3420    5
653    537    563    3:4:    2:2:1:1:    3:3:2:    C[5,6]-3:S[5]-4:    N[5]-2:N[5]-2:O-1:O-1:    C[5,6]-3:C[6,6]-3:N[5]-2:    N[5](C[5,6]CC)(S[5]NOO)    S[5](N[5]C)2(O)2    C[5,6](C[5,6]CN)(C[6,6]CC)(N[5]S)    105.5562    0.724    12    105.5562    0.7240    12    105.8819    1.0718    14
653    537    563    4:3:    3:2:1:1:    3:2:1:    S[5]-4:C[5]-3:    C[5,6]-3:N[5]-2:O-1:O-1:    C[5,6]-3:N[5]-2:O-1:    N[5](S[5]COO)(C[5]CO)    S[5](C[5,6]CC)(N[5]C)(O)2    C[5](C[5,6]CC)(N[5]S)(O)    111.2869    0.556    57    111.2869    0.5560    57    111.2869    0.5560    57
653    537    563    4:3:    3:2:1:1:    3:2:2:    S[5]-4:C[5]-3:    C[5,6]-3:N[5]-2:O-1:O-1:    C[5,6]-3:N[5]-2:O-2:    N[5](S[5]COO)(C[5]CO)    S[5](C[5,6]CC)(N[5]C)(O)2    C[5](C[5,6]CC)(N[5]S)(OC)    108.7831    0.297    6    109.7777    1.3313    10    109.7777    1.3313    10
653    563    563    3:3:    2:2:1:    2:2:1:    C[5]-3:C[5]-3:    N[5]-2:S[5]-2:O-1:    N[5]-2:S[5]-2:O-1:    N[5](C[5]OS)2    C[5](N[5]C)(S[5]S)(O)    C[5](N[5]C)(S[5]S)(O)    117.2735    0.710    4    117.2735    0.7100    4    117.2735    0.7100    4
653    563    563    3:3:    2:2:1:    3:2:1:    C[5]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    C[5]-3:N[5]-2:H-1:    N[5](C[5]CH)(C[5]HN)    C[5](N[5]C)2(H)    C[5](C[5]HN)(N[5]C)(H)    103.4149    1.645    18    103.4149    1.6450    18    102.4580    1.4510    201
653    563    563    3:3:    2:2:1:    3:2:1:    C[5]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    N[5]-3:N[5]-2:H-1:    N[5](C[5]HN)2    C[5](N[5]C)(N[5]N)(H)    C[5](N[5]CN)(N[5]C)(H)    102.2399    1.134    171    102.2880    1.1803    180    102.4580    1.4510    201
653    563    563    3:3:    2:2:1:    3:2:2:    C[5,6]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    N[5,6]-3:N[5]-2:N[6]-2:    N[5](C[5,6]NN)(C[5]HN)    C[5](N[5]C)(N[5]N)(H)    C[5,6](N[5,6]CN)(N[5]C)(N[6]C)    101.7858    1.113    11    101.7858    1.1130    11    103.3975    3.6214    20
