801    41    109    3:4:2:1:    4:4:    11:4:1:1:    C[5,4x6]-3:N[5]-4:C-2:H-1:    C[5]-4:C-4:    Er[6x3,3x4,5,5,5x6,7]-11:C[5]-4:H-1:H-1:    C[5](C[5,4x6]OO)(N[5]ErHH)(CC)(H)    C(C[5]CHN)(CH3)    N[5](Er[6x3,3x4,5,5,5x6,7]Er2NO7)(C[5]CCH)(H)2    127.0737    0.000    1    127.0737    0.0000    1    124.7708    3.2568    2    119.7585    7.5683    4
801    41    111    3:3:2:2:    4:2:    4:1:    C[5,6]-3:C[5,6]-3:C-2:O-2:    C[5]-4:C-2:    C[5]-4:H-1:    C[5](C[5,6]CC)2(CC)(OH)    C(C[5]CCO)(CC)    O(C[5]C3)(H)    108.2604    2.159    29    108.2604    2.1590    29    108.2604    29.0000    29    108.8292    2.0198    62
801    41    111    4:4:2:2:    4:2:    4:1:    C[5,6]-4:C[5]-4:C-2:O-2:    C[5]-4:C-2:    C[5]-4:H-1:    C[5](C[5,6]C3)(C[5]CHH)(CC)(OH)    C(C[5]CCO)(CC)    O(C[5]C3)(H)    109.2785    1.194    6    108.9918    1.3467    25    109.1306    27.0000    27    108.8292    2.0198    62
801    41    111    4:4:2:2:    4:2:    4:1:    C[5,6]-4:C[5]-4:C-2:O-2:    C[5]-4:C-2:    C[5]-4:H-1:    C[5](C[5,6]C3)(C[5]CHH)(CC)(OH)    C(C[5]CCO)(CH)    O(C[5]C3)(H)    108.6815    1.300    17    108.9918    1.3467    25    109.1306    27.0000    27    108.8292    2.0198    62
801    41    157    4:4:2:1:    4:2:    4:    C[5,6]-4:C[5]-4:C-2:O-1:    C[5]-4:C-2:    C[5]-4:    C[5](C[5,6]C3)(C[5]CHH)(CC)(O)    C(C[5]CCO)(CC)    O(C[5]C3)    110.1343    0.733    2    110.1343    0.7330    2    110.1343    0.7330    2    110.1343    0.7330    2
801    41    407    4:2:2:1:    4:1:    3:4:    C[5,5]-4:O[5]-2:C-2:H-1:    C[5]-4:N-1:    N[5,6]-3:C[5]-4:    C[5](C[5,5]CCH)(O[5]N)(CN)(H)    C(C[5]CHO)(N)    O[5](N[5,6]CC)(C[5]CCH)    106.8755    1.529    6    106.8755    1.5290    6    106.8755    6.0000    6    109.3146    1.6922    45
801    41    407    4:2:2:2:    4:1:    4:4:    C[5,5]-4:O[5]-2:C-2:C-2:    C[5]-4:N-1:    C[5]-4:C[5]-4:    C[5](C[5,5]CCO)(O[5]C)(CN)2    C(C[5]CCO)(N)    O[5](C[5]CHO)(C[5]C3)    110.0064    1.577    12    110.0064    1.5770    12    109.8453    16.0000    16    109.3146    1.6922    45
801    41    407    4:2:2:2:    4:1:    4:4:    C[5]-4:O[5]-2:C-2:C-2:    C[5]-4:N-1:    C[5]-4:C[5]-4:    C[5](C[5]CCO)(O[5]C)(CN)2    C(C[5]CCO)(N)    O[5](C[5]CHO)(C[5]C3)    109.3622    1.145    4    109.3622    1.1450    4    109.8453    16.0000    16    109.3146    1.6922    45
801    41    407    4:2:2:2:    4:2:    4:4:    C[5,6,7]-4:O[5,7]-2:C-2:C-2:    C[5,7]-4:C-2:    C[5,6,7]-4:C[5,7]-4:    C[5,7](C[5,6,7]C3)(O[5,7]C)(CC)2    C(C[5,7]CCO)(CH)    O[5,7](C[5,6,7]C3)(C[5,7]C3)    109.3609    0.361    4    109.3609    0.3610    4    109.3609    4.0000    4    109.3146    1.6922    45
801    41    455    4:3:4:2:    4:1:    4:4:3:1:    C[3,5]-4:N[5,5]-3:C[5]-4:C-2:    C[5,5]-4:N-1:    C[3,5]-4:C[5,5]-4:N[3]-3:H-1:    C[5,5](C[3,5]CHN)(N[5,5]CC)(C[5]CCO)(CN)    C(C[5,5]CCN)(N)    C[3,5](C[3,5]CHN)(C[5,5]CCN)(N[3]CC)(H)    115.1396    0.000    1    115.1396    0.0000    1    115.1396    0.0000    1    115.1396    0.0000    1
801    41    511    3:3:2:2:    4:4:    4:3:    C[4,5,7]-3:O[5,6]-3:C[6,7]-2:C-2:    C[5,6,7]-4:C[3,3]-4:    C[5,6,7]-4:C[4,6,7]-3:    C[5,6,7](C[4,5,7]OO)(O[5,6]CdH)(C[6,7]C)(CC)    C(C[5,6,7]CCO)(C[3,3]CdOO)    C[6,7](C[5,6,7]CCO)(C[4,6,7]OO)    107.5946    0.000    1    107.5946    0.0000    1    107.5946    0.0000    1    107.5946    0.0000    1
