29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:S-1:    C[6](C[6]CH)(N[6]C)(CNS)    C(C[6]CN)(NCH)(S)    1.4986    0.011    12    1.4986    0.0110    12    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    N[5]-3:C[6]-3:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C(N[5]MnC)(C[6]CN)(H)    1.4690    0.019    13    1.4701    0.0159    20    1.4924    0.0350    803
29    699    3:2:3:    3:3:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:N-2:    C[6](C[6]CH)(N[6]C)(CCN)    C(C[6]CN)2(NN)    1.4869    0.007    17    1.4887    0.0069    30    1.4850    0.0179    62
29    699    3:2:3:    3:3:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:N-2:    C[6](C[6]HN)(N[6]C)(CNN)    C(C[6]CN)(NHH)(NN)    1.4851    0.008    5    1.4853    0.0095    10    1.4850    0.0179    62
29    699    3:2:3:    3:3:3:    C[6]-3:N[6]-2:C-3:    N[5]-3:C[6]-3:N-3:    C[6](C[6]CH)(N[6]C)(CNN)    C(N[5]MnN)(C[6]CN)(NHH)    1.4789    0.009    11    1.4754    0.0107    14    1.4799    0.0242    37
29    699    3:2:3:    3:4:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C(C[6]CN)(CH3)(O)    1.4988    0.009    11    1.4908    0.0140    43    1.4801    0.0420    53
29    699    3:2:3:    3:4:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:O-1:    C[6](C[6]CO)(N[6]N)(CCO)    C(C[6]CN)(CH3)(O)    1.4747    0.013    11    1.4908    0.0140    43    1.4801    0.0420    53
29    699    3:2:3:    3:4:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C(C[6]CN)(CCHH)(O)    1.4974    0.005    12    1.4908    0.0140    43    1.4801    0.0420    53
29    699    3:2:3:    3:4:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:N-2:    C[6](C[6]HN)(N[6]C)(CCN)    C(C[6]CN)(CH3)(NN)    1.4822    0.005    14    1.4903    0.0134    99    1.4910    0.0145    102
29    699    3:2:3:    3:4:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:N-2:    C[6](C[6]CH)(N[6]C)(CCN)    C(C[6]CN)(CH3)(NN)    1.4801    0.011    29    1.4903    0.0134    99    1.4910    0.0145    102
