455    801    10:4:4:1:    4:4:1:1:    Ru[8x3,5,5]-10:C[3,5]-4:C[5]-4:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](Ru[8x3,5,5]C9)(C[3,5]RuCH)(C[5]CHH)(H)    C[5](C[3,5]RuCH)(C[5]CHH)(H)2    1.5181    0.015    12    1.5181    0.0150    12    1.5152    0.0266    99
455    801    2:4:4:4:    4:3:1:1:    Ti[10x3,5]-2:C[3,3,5]-4:C[3,3,5]-4:C[5]-4:    C[3,3,5,5]-4:C[5]-3:H-1:H-1:    C[3,3,5,5](Ti[10x3,5]C10)(C[3,3,5]TiCC)2(C[5]CHH)    C[5](C[3,3,5,5]TiCC)(C[5]CC)(H)2    1.4926    0.007    7    1.4931    0.0066    8    1.4931    0.0066    8
455    801    2:4:4:4:    4:4:4:4:    Cr[10x3,5]-2:C[3,3,5]-4:C[3,3,5]-4:C[5]-4:    C[3,3,5,5]-4:C[5]-4:C-4:C-4:    C[3,3,5,5](Cr[10x3,5]C10)(C[3,3,5]CrCH)2(C[5]C3)    C[5](C[3,3,5,5]CrCC)(C[5]C3)(CH3)2    1.5294    0.006    15    1.5294    0.0060    15    1.5294    0.0060    15
455    801    4:10:4:1:    4:4:1:1:    C[3,3,6]-4:Ru[9x3,5]-10:C[5,6]-4:H-1:    C[3,5,6]-4:C[5,6]-4:H-1:H-1:    C[3,5,6](C[3,3,6]RuCH)(Ru[9x3,5]C9)(C[5,6]CHH)(H)    C[5,6](C[3,5,6]RuCH)(C[5,6]CHH)(H)2    1.5179    0.002    5    1.5197    0.0048    6    1.5192    0.0046    7
455    801    4:4:10:4:    4:4:1:1:    C[3,3,3x5]-4:C[3,3,5]-4:Fe[10x3]-10:C[5]-4:    C[3,3,5,5]-4:P[5]-4:H-1:H-1:    C[3,3,5,5](C[3,3,3x5]FePdC)(C[3,3,5]FeCH)(Fe[10x3]C9)(C[5]HHP)    C[5](C[3,3,5,5]FeCC)(P[5]PdCC)(H)2    1.5042    0.012    6    1.5057    0.0100    10    1.5082    0.0099    29
455    801    4:4:10:4:    4:4:1:1:    C[3,3,5]-4:C[3,3,5]-4:Co[10x3,5]-10:C[5]-4:    C[3,3,5,5]-4:C[5]-4:H-1:H-1:    C[3,3,5,5](C[3,3,5]CoCH)2(Co[10x3,5]C9)(C[5]CHH)    C[5](C[3,3,5,5]CoCC)(C[5]CHH)(H)2    1.5157    0.011    5    1.5157    0.0110    5    1.5082    0.0099    29
455    801    4:4:10:4:    4:4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C[5]-4:    C[3,3,5]-4:C[5]-4:N[5]-3:H-1:    C[3,3,5](C[3,3,5]FeCC)(C[3,3,5]FeCH)(Fe[10x3]C9)(C[5]CHN)    C[5](C[3,3,5]FeCC)(C[5]CHH)(N[5]CC)(H)    1.5119    0.004    5    1.5087    0.0065    7    1.5094    0.0064    8
455    801    4:4:2:1:    4:2:2:1:    C[3,6,7]-4:C[5,6,7]-4:O[3]-2:H-1:    C[3,6,7]-4:O[5,6]-2:O[5,7]-2:H-1:    C[3,6,7](C[3,6,7]CHO)(C[5,6,7]HOO)(O[3]C)(H)    C[5,6,7](C[3,6,7]CHO)(O[5,6]C)(O[5,7]C)(H)    1.5195    0.008    7    1.5195    0.0080    7    1.5147    0.0118    9
455    801    4:4:2:1:    4:4:1:1:    C[3,5,6]-4:C[5]-4:O[3]-2:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](C[3,5,6]CCO)(C[5]CHH)(O[3]C)(H)    C[5](C[3,5]CHO)(C[5]CCH)(H)2    1.5008    0.009    5    1.5037    0.0089    7    1.5006    0.0112    27
455    801    4:4:2:1:    4:4:1:1:    C[3,5]-4:C[5]-4:O[3]-2:H-1:    C[3,5]-4:C[5,6]-4:H-1:H-1:    C[3,5](C[3,5]CCO)(C[5]CHH)(O[3]C)(H)    C[5](C[3,5]CHO)(C[5,6]CCH)(H)2    1.5051    0.009    10    1.5051    0.0090    10    1.5006    0.0112    27
455    801    4:4:2:1:    4:4:2:1:    C[3,5,7]-4:C[5,6,7]-4:O[3]-2:H-1:    C[3,5,7]-4:C[6,7]-4:O[5,6]-2:H-1:    C[3,5,7](C[3,5,7]CHO)(C[5,6,7]CHO)(O[3]C)(H)    C[5,6,7](C[3,5,7]CHO)(C[6,7]HHO)(O[5,6]C)(H)    1.5130    0.008    5    1.5135    0.0071    10    1.5022    0.0123    62
455    801    4:4:2:1:    4:4:2:1:    C[3,6,7]-4:C[5,6,7]-4:O[3]-2:H-1:    C[3,6,7]-4:C[5,7]-4:O[5,6]-2:H-1:    C[3,6,7](C[3,6,7]CHO)(C[5,6,7]CHO)(O[3]C)(H)    C[5,6,7](C[3,6,7]CHO)(C[5,7]HHO)(O[5,6]C)(H)    1.5080    0.012    10    1.5080    0.0120    10    1.5022    0.0123    62
455    801    4:4:2:1:    4:4:2:1:    C[3]-4:C[5]-4:O[3]-2:H-1:    C[3]-4:C[5]-4:O[5]-2:H-1:    C[3](C[3]CCO)(C[5]CHO)(O[3]C)(H)    C[5](C[3]CHO)(C[5]CCH)(O[5]C)(H)    1.4919    0.008    23    1.4922    0.0080    27    1.5022    0.0123    62
455    801    4:4:2:1:    4:4:4:1:    C[3,5,7]-4:C[5,6,7]-4:O[3]-2:H-1:    C[3,5,7]-4:C[6,7]-4:N[5,6]-4:H-1:    C[3,5,7](C[3,5,7]CHO)(C[5,6,7]CHN)(O[3]C)(H)    C[5,6,7](C[3,5,7]CHO)(C[6,7]CHH)(N[5,6]C3)(H)    1.5006    0.008    6    1.5006    0.0080    6    1.5018    0.0113    15
455    801    4:4:2:3:    4:4:4:4:    C[3,5]-4:C[5,6]-4:O[3]-2:C-3:    C[3,5]-4:C[5,6]-4:C[6]-4:C-4:    C[3,5](C[3,5]CHO)(C[5,6]C3)(O[3]C)(CCO)    C[5,6](C[3,5]CCO)(C[5,6]CCH)(C[6]CHH)(CH3)    1.5212    0.007    10    1.5212    0.0070    10    1.5212    0.0070    10
455    801    4:4:2:4:    4:4:4:1:    C[3,5,6]-4:C[5,5,6]-4:O[3]-2:C-4:    C[3,5,6]-4:C[5,5]-4:C[5,6]-4:H-1:    C[3,5,6](C[3,5,6]CCO)(C[5,5,6]CCH)(O[3]C)(CCHH)    C[5,5,6](C[3,5,6]CCO)(C[5,5]CHH)(C[5,6]CHH)(H)    1.5227    0.006    5    1.5227    0.0060    5    1.5196    0.0078    10
455    801    4:4:2:4:    4:4:4:3:    C[3,5,6]-4:C[5,5,6]-4:O[3]-2:C-4:    C[3,5,6]-4:C[5,5]-4:C[5,6]-4:C[6]-3:    C[3,5,6](C[3,5,6]CCO)(C[5,5,6]C3)(O[3]C)(CH3)    C[5,5,6](C[3,5,6]CCO)(C[5,5]CHH)(C[5,6]CHH)(C[6]CC)    1.5437    0.006    5    1.5437    0.0060    5    1.5437    0.0060    5
455    801    4:4:3:1:    4:3:1:1:    C[3,5]-4:C[5]-4:N[3]-3:H-1:    C[3,5]-4:N[5,5]-3:H-1:H-1:    C[3,5](C[3,5]CHN)(C[5]HHN)(N[3]CC)(H)    C[5](C[3,5]CHN)(N[5,5]CC)(H)2    1.5075    0.019    5    1.5075    0.0190    5    1.5052    0.0163    7
455    801    4:4:3:1:    4:4:1:1:    C[3,5]-4:C[5]-4:N[3]-3:H-1:    C[3,5]-4:Si[5]-4:H-1:H-1:    C[3,5](C[3,5]CHN)(C[5]SiHH)(N[3]CS)(H)    C[5](C[3,5]CHN)(Si[5]C3)(H)2    1.5087    0.005    6    1.5087    0.0050    6    1.5126    0.0076    9
455    801    4:4:4:10:    4:3:3:3:    C[3,3,5,6,6]-4:C[3,3,5,6,6]-4:C[5,6,6]-4:Fe[10x3]-10:    C[3,3,5,6,6]-4:C[5,6,6]-3:C[5,6,6]-3:C[6]-3:    C[3,3,5,6,6](C[3,3,5,6,6]FeCC)2(C[5,6,6]C3)(Fe[10x3]C9)    C[5,6,6](C[3,3,5,6,6]FeCC)(C[5,6,6]CC)2(C[6]CC)    1.5154    0.005    14    1.5154    0.0050    14    1.5154    0.0050    14
455    801    4:4:4:10:    4:3:3:4:    C[3,3,5,6,6]-4:C[3,3,5,6,6]-4:C[5,6,6]-4:Fe[10x3]-10:    C[3,3,5,6,6]-4:C[5,6,6]-3:C[5,6,6]-3:C-4:    C[3,3,5,6,6](C[3,3,5,6,6]FeCC)2(C[5,6,6]C3)(Fe[10x3]C9)    C[5,6,6](C[3,3,5,6,6]FeCC)(C[5,6,6]CC)2(CCHH)    1.4846    0.011    5    1.4846    0.0110    5    1.4894    0.0153    6
455    801    4:4:4:1:    4:4:1:1:    C[3,5,6]-4:C[3,5,5]-4:C[5,6]-4:H-1:    C[3,5,6]-4:C[3,5,6]-4:H-1:H-1:    C[3,5,6](C[3,5,6]CCH)(C[3,5,5]C3)(C[5,6]CHH)(H)    C[5,6](C[3,5,6]CCH)2(H)2    1.5102    0.003    14    1.5102    0.0030    14    1.5097    0.0146    55
