542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]S[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]S[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]S[5]S)(N[5]C[5])(BN[5]2H){1|C<4>}	N[5](C[5]S[5]C)(N[5]C[5]B){1|S<2>}	B(N[5]C[5]N[5])3(H)	120.2010	0.000	1	119.9875	1.203	6	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]S[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]S[5]H)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]S[5]S)(N[5]C[5])(BN[5]2H){1|H<1>}	N[5](C[5]S[5]H)(N[5]C[5]B){1|S<1>}	B(N[5]C[5]N[5])3(H)	119.1947	0.531	3	119.1947	0.531	3	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	N[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]C[5]H)(N[5]N[5])(BN[5]2H)	N[5](N[5]C[5]Cd)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]C[5]H)(N[5]N[5])(BN[5]2H){1|Cd<6>,1|H<1>}	N[5](N[5]C[5]Cd)(N[5]C[5]B){2|H<1>}	B(N[5]C[5]N[5])3(H)	120.6100	1.444	3	120.6100	1.444	3	120.7668	1.220	4	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	N[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H)	N[5](N[5]N[5]Na)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H){1|Na<6>,1|C<4>}	N[5](N[5]N[5]Na)(N[5]C[5]B){1|C<4>,1|S<1>}	B(N[5]C[5]N[5])3(H)	121.2370	0.000	1	121.2370	0.000	1	120.7668	1.220	4	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:3:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:C[6a]-3:C[6a]-3:C[6a]-3:	N[5](C[5]N[5]H)(N[5]C[5])(BC[6a]3)	N[5](C[5]N[5]H)(N[5]C[5]B)	B(N[5]C[5]N[5])(C[6a]C[6a]2)3	N[5](C[5]N[5]H)(N[5]C[5])(BC[6a]3){1|C<3>,1|H<1>}	N[5](C[5]N[5]H)(N[5]C[5]B){1|C<3>,1|H<1>}	B(N[5]C[5]N[5])(C[6a]C[6a]2)3	120.2490	0.000	1	120.2490	0.000	1	120.2490	0.000	1	120.2490	0.000	1	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:4:2:	3:3:	3:3:1:1:	C[5]-3:B-4:N[5]-2:	C[5]-3:N[5]-3:	N[5a]-3:N[5]-3:H-1:H-1:	N[5](C[5]N[5]H)(BN[5a]HH)(N[5]C[5])	N[5](C[5]N[5]H)(N[5]C[5]B)	B(N[5a]C[5a]N[5a])(N[5]C[5]N[5])(H)2	N[5](C[5]N[5]H)(BN[5a]HH)(N[5]C[5]){1|Mn<6>,1|H<1>}	N[5](C[5]N[5]H)(N[5]C[5]B){1|Mn<6>,1|H<1>}	B(N[5a]C[5a]N[5a])(N[5]C[5]N[5])(H)2	121.6950	0.000	1	121.6950	0.000	1	121.6950	0.000	1	121.6950	0.000	1	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	4:3:2:	3:3:	3:3:3:1:	B-4:C[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5a]-3:N[5]-3:N[5]-3:H-1:	N[5](BN[5a]N[5]H)(C[5]N[5]H)(N[5]C[5])	N[5](C[5]N[5]H)(N[5]C[5]B)	B(N[5a]C[5a]N[5a])(N[5]C[5]N[5])2(H)	N[5](BN[5a]N[5]H)(C[5]N[5]H)(N[5]C[5]){1|Cu<4>,1|H<1>}	N[5](C[5]N[5]H)(N[5]C[5]B){1|Cu<4>,1|H<1>}	B(N[5a]C[5a]N[5a])(N[5]C[5]N[5])2(H)	121.7630	1.547	2	121.7630	1.547	2	121.7630	1.547	2	121.7630	1.547	2	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP3_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]C)(N[5]C[5])(BN[5]2H)	N[5](C[5]C[6a]N[5])(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]C)(N[5]C[5])(BN[5]2H){1|Zn<4>,1|C<3>}	N[5](C[5]C[6a]N[5])(N[5]C[5]B){1|Zn<4>,1|C<4>,2|C<3>}	B(N[5]C[5]N[5])3(H)	118.3340	0.000	1	118.3340	0.000	1	120.0537	1.909	3	120.0537	1.909	3	120.2460	1.606	4	120.2460	1.606	4
542	346	610	0:SP3_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]N[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H){2|C<4>}	N[5](C[5]N[5]C)(N[5]C[5]B){1|C<4>,1|S<1>}	B(N[5]C[5]N[5])3(H)	122.1080	0.000	1	120.9135	1.689	2	120.0537	1.909	3	120.0537	1.909	3	120.2460	1.606	4	120.2460	1.606	4
542	346	610	0:SP3_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]N[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H){2|C<4>}	N[5](C[5]N[5]C)(N[5]C[5]B){1|C<4>,1|S<2>}	B(N[5]C[5]N[5])3(H)	119.7190	0.000	1	120.9135	1.689	2	120.0537	1.909	3	120.0537	1.909	3	120.2460	1.606	4	120.2460	1.606	4
