466	690	730	4:4:2:1:	4:	4:3:	C[6]-4:C[6]-4:P-2:H-1:	C[6]-4:	C[6]-4:C-3:	C[6](C[6]C[6]HH)2(PC)(H)	H(C[6]C[6]2P)	P(C[6]C[6]2H)(CCC)	C[6](C[6]C[6]HH)2(PC)(H){1|C<4>,4|H<1>}	H(C[6]C[6]2P)	P(C[6]C[6]2H)(CCC)	109.4660	0.024	2	109.4660	0.024	2     109.1217       0.408      4      109.1217     0.408     4
466	690	730	4:4:2:1:	4:	4:3:	C[6]-4:C[6]-4:P-2:H-1:	C[6]-4:	C[6]-4:C-3:	C[6](C[6]C[6]HH)2(PC)(H)	H(C[6]C[6]2P)	P(C[6]C[6]2H)(CMgC)	C[6](C[6]C[6]HH)2(PC)(H){1|C<4>,4|H<1>}	H(C[6]C[6]2P)	P(C[6]C[6]2H)(CMgC)	108.7775	0.155	2	108.7775	0.155	2     109.1217       0.408      4      109.1217     0.408     4
466	690	742	4:4:1:1:	4:	4:4:4:1:	B[4,6,6]-4:N[4,6,6]-4:H-1:H-1:	C[6,6]-4:	N[4,6,6]-4:N[4,6,6]-4:C[6,6]-4:H-1:	C[6,6](B[4,6,6]N[4,6,6]2H)(N[4,6,6]B[4,6,6]2H)(H)2	H(C[6,6]B[4,6,6]N[4,6,6]H)	B[4,6,6](N[4,6,6]B[4,6,6]C[6,6]H)2(C[6,6]N[4,6,6]HH)(H)	C[6,6](B[4,6,6]N[4,6,6]2H)(N[4,6,6]B[4,6,6]2H)(H)2{1|B<4>,1|N<4>,2|C<4>,4|H<1>}	H(C[6,6]B[4,6,6]N[4,6,6]H)	B[4,6,6](N[4,6,6]B[4,6,6]C[6,6]H)2(C[6,6]N[4,6,6]HH)(H){1|C<4>,2|B<4>,6|H<1>}	110.9521	0.981	14	110.9521	0.981	14     110.9521       0.981      14      110.9521     0.981     14
466	690	762	2:3:1:1:	4:	2:4:1:	N[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(H)2	H(C[6]C[6]N[6]H)	C[6](O[6]C[5,6,6])(C[6]N[6]HH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(H)2{2|C<4>}	H(C[6]C[6]N[6]H)	C[6](O[6]C[5,6,6])(C[6]N[6]HH)(O){1|C<3>,1|C<4>,1|H<1>}	108.8590	0.008	2	108.8590	0.008	2     108.8590       0.008      2      108.8590     0.008     2
466	690	762	2:3:1:1:	4:	2:4:3:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	O[6]-2:C[6]-4:C-3:	C[6](O[6]C[6,6a])(C[6]O[6]C)(H)2	H(C[6]C[6]O[6]H)	C[6](O[6]C[6,6a])(C[6]O[6]HH)(CCH)	C[6](O[6]C[6,6a])(C[6]O[6]C)(H)2{2|C<3>}	H(C[6]C[6]O[6]H)	C[6](O[6]C[6,6a])(C[6]O[6]HH)(CCH){2|C<3>}	109.3410	0.007	2	109.3410	0.007	2     109.3410       0.007      2      109.3410     0.007     2
466	690	762	2:3:1:1:	4:	3:4:1:	N[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:H-1:	C[6](N[6]C[6,6])(C[6]C[6]H)(H)2	H(C[6]C[6]N[6]H)	C[6](C[6]C[6,6]C[6a])(C[6]N[6]HH)(H)	C[6](N[6]C[6,6])(C[6]C[6]H)(H)2{1|C<3>,2|C<4>}	H(C[6]C[6]N[6]H)	C[6](C[6]C[6,6]C[6a])(C[6]N[6]HH)(H){1|C<4>,4|C<3>}	108.1140	0.071	2	108.1140	0.071	2     108.1140       0.071      2      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[5,6,6])(C[6]C[6]H)(H)2	H(C[6]C[6]O[6]H)	C[6](C[6]C[5,6,6]C)(C[6]O[6]HH)(H)	C[6](O[6]C[5,6,6])(C[6]C[6]H)(H)2{1|C<3>,1|O<2>,2|C<4>}	H(C[6]C[6]O[6]H)	C[6](C[6]C[5,6,6]C)(C[6]O[6]HH)(H){1|C<3>,1|C<4>,1|O<2>}	109.1510	0.013	2	109.1510	0.013	2     109.0514       0.170      8      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[5,6])(C[6]C[6]H)(H)2	H(C[6]C[6]O[6]H)	C[6](C[6]C[5,6]H)(C[6]O[6]HH)(H)	C[6](O[6]C[5,6])(C[6]C[6]H)(H)2{2|C<4>,2|H<1>}	H(C[6]C[6]O[6]H)	C[6](C[6]C[5,6]H)(C[6]O[6]HH)(H){1|C<4>,1|H<1>,1|O<2>}	109.2145	0.011	2	109.2145	0.011	2     109.0514       0.170      8      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6])(C[6]C[6]H)(H)2	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6]H)(C[6]O[6]HH)(H)	C[6](O[6]C[6,6])(C[6]C[6]H)(H)2{1|C<3>,1|C<4>,2|H<1>}	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6]H)(C[6]O[6]HH)(H){1|H<1>,2|C<4>}	109.0420	0.028	2	108.9200	0.142	4     109.0514       0.170      8      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6])(C[6]C[6]H)(H)2	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6]H)(C[6]O[6]HH)(H)	C[6](O[6]C[6,6])(C[6]C[6]H)(H)2{2|C<4>,2|H<1>}	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6]H)(C[6]O[6]HH)(H){1|C<4>,1|H<1>,1|O<2>}	108.7980	0.004	2	108.9200	0.142	4     109.0514       0.170      8      108.9874     0.713     54
