818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:N-4:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHN)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(NBCH)(H)2	C[5](N[5]C[6a]C[5])2(BHHN){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(NBCH)(H)2	127.4860	1.502	2	127.4860	1.502	2	127.4860	1.502	2	127.7295	0.842	8	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:S-4:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHS)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(SC[5a]OO)(H)2	C[5](N[5]C[6a]C[5])2(BHHS){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(SC[5a]OO)(H)2	127.2230	0.110	2	127.2230	0.110	2	127.2230	0.110	2	127.7295	0.842	8	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:4:2:	N[5]-3:C[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C-4:C-4:O-2:	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BCCO)	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]C)	B(C[5]C[5]N[5])(CCHH)2(OS)	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BCCO){1|C<4>,3|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]C){1|H<1>,2|C<4>,3|C<3>}	B(C[5]C[5]N[5])(CCHH)2(OS)	131.2440	0.000	1	131.2440	0.000	1	131.2440	0.000	1	131.2440	0.000	1	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:4:4:	N[5]-3:C[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C-4:C-4:C-4:	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC3)	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]C)	B(C[5]C[5]N[5])(CCHH)3	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC3){1|C<4>,3|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]C){1|H<1>,2|C<4>,3|C<3>}	B(C[5]C[5]N[5])(CCHH)3	131.3400	0.000	1	131.3400	0.000	1	131.3400	0.000	1	129.0983	2.849	3	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:4:4:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C-4:C-4:C-4:	C[5](N[5]C[6a]C[5])2(BC3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(CCHH)3	C[5](N[5]C[6a]C[5])2(BC3){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(CCHH)3	127.9775	2.949	2	127.9775	2.949	2	127.9775	2.949	2	129.0983	2.849	3	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:C[5]-3:C-4:	C[5]-3:Cl-1:Cl-1:Cl-1:	C[5](N[5]C[5]C)2(BCl3)	N[5](C[5]C[5]C)(C[5]N[5]B)(CCCH)	B(C[5]N[5]2)(Cl)3	C[5](N[5]C[5]C)2(BCl3){2|C<4>}	N[5](C[5]C[5]C)(C[5]N[5]B)(CCCH){2|C<4>}	B(C[5]N[5]2)(Cl)3	126.9655	4.678	4	126.9655	4.678	4	127.0240	4.640	6	126.9442	2.660	26	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:C[5]-3:C-4:	C[5]-3:Cl-1:Cl-1:Cl-1:	C[5](N[5]C[5]C)2(BCl3)	N[5](C[5]C[5]H)(C[5]N[5]B)(CCCH)	B(C[5]N[5]2)(Cl)3	C[5](N[5]C[5]C)2(BCl3){2|H<1>}	N[5](C[5]C[5]H)(C[5]N[5]B)(CCCH){1|C<4>,1|H<1>}	B(C[5]N[5]2)(Cl)3	127.1410	6.479	2	127.1410	6.479	2	127.0240	4.640	6	126.9442	2.660	26	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:C[5]-3:C-4:	C[5]-3:F-1:F-1:F-1:	C[5](N[5]C[5]C)2(BF3)	N[5](C[5]C[5]H)(C[5]N[5]B)(CH3)	B(C[5]N[5]2)(F)3	C[5](N[5]C[5]C)2(BF3){1|H<1>,1|N<3>}	N[5](C[5]C[5]H)(C[5]N[5]B)(CH3){1|C<4>,1|N<3>}	B(C[5]N[5]2)(F)3	125.3945	1.122	4	126.2285	2.368	8	126.7820	2.111	12	126.9442	2.660	26	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:C[5]-3:C-4:	C[5]-3:F-1:F-1:F-1:	C[5](N[5]C[5]C)2(BF3)	N[5](C[5]C[5]H)(C[5]N[5]B)(CH3)	B(C[5]N[5]2)(F)3	C[5](N[5]C[5]C)2(BF3){2|H<1>}	N[5](C[5]C[5]H)(C[5]N[5]B)(CH3){1|C<4>,1|H<1>}	B(C[5]N[5]2)(F)3	127.0625	3.158	4	126.2285	2.368	8	126.7820	2.111	12	126.9442	2.660	26	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:C[5]-3:C-4:	C[5]-3:F-1:F-1:F-1:	C[5](N[5]C[5]C)2(BF3)	N[5](C[5]C[5]N)(C[5]N[5]B)(CH3)	B(C[5]N[5]2)(F)3	C[5](N[5]C[5]C)2(BF3){1|H<1>,1|N<3>}	N[5](C[5]C[5]N)(C[5]N[5]B)(CH3){1|C<4>,1|H<1>}	B(C[5]N[5]2)(F)3	127.1120	0.000	2	127.1120	0.000	2	126.7820	2.111	12	126.9442	2.660	26	127.5331	2.435	128	127.4367	2.547	130
