930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(C[6]C[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(C[6]C[6]H)(CCO){3|C<3>}	116.9575	0.457	2	116.9575	0.457	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO){1|N<3>,2|H<1>,3|C<3>}	118.2970	0.000	1	118.8385	0.766	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO){1|O<2>,2|H<1>,3|C<3>}	119.3800	0.000	1	118.8385	0.766	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]N[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]N[6]H)(CCO){1|H<1>,1|N<3>,3|C<3>}	117.4230	0.000	1	117.4230	0.000	1     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6]HH)(C[6]C[6]O)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6]HH)(C[6]C[6]O)(CCO){1|C<3>,1|N<3>,1|O<1>}	120.1500	1.319	2	120.1500	1.319	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6a]C[6]H)(C[6]N[6]S)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6a]C[6]H)(C[6]N[6]S)(CCO){1|H<1>,4|C<3>}	121.5610	0.000	1	121.5610	0.000	1     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:N[6]-3:C-3:	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[5,6]HH)(N[6]C[6]H)(CCO)	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[5,6]HH)(N[6]C[6]H)(CCO){1|O<2>,2|C<4>,2|H<1>}	117.0390	0.000	1	117.0390	0.000	1     117.2835       0.346      2      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:N[6]-3:C-3:	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(N[6]C[6a]C[6])(CCO)	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(N[6]C[6a]C[6])(CCO){1|O<1>,4|C<3>}	117.5280	0.000	1	117.5280	0.000	1     117.2835       0.346      2      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6,6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[3x6]-4:C[6,6]-4:C-3:	C(N[6,6]C[3x6]C[6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]CH)(CCO)	C(N[6,6]C[3x6]C[6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]CH)(CCO){1|C<4>,1|N<3>,1|O<1>,1|W<8>,2|H<1>}	118.6350	0.000	1	118.6350	0.000	1     118.1845       0.637      2      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6,6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[3x6]-4:C[6,6]-4:C-3:	C(N[6,6]C[3x6]C[6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[3x6]C[6,6]O[6,6]H)(C[6,6]C[3x6]CH)(CCO)	C(N[6,6]C[3x6]C[6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[3x6]C[6,6]O[6,6]H)(C[6,6]C[3x6]CH)(CCO){1|C<4>,1|N<3>,1|W<8>,2|H<1>}	117.7340	0.000	1	117.7340	0.000	1     118.1845       0.637      2      117.7708     1.426     72
