979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC){1|C<3>,1|C<4>}	99.6919	0.000	1	100.3033	0.532	3     100.5381       0.456      7      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC){1|C<3>,1|N<3>}	100.5540	0.000	1	100.3033	0.532	3     100.5381       0.456      7      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(N[5a]N[5a])(SC){1|H<1>,1|N<3>}	100.6640	0.000	1	100.3033	0.532	3     100.5381       0.456      7      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]O[5a]C)(N[5a]C[5a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]O[5a]C)(N[5a]C[5a])(SC){1|C<4>}	100.4900	0.000	1	100.4900	0.000	1     100.5381       0.456      7      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:O[5a]-2:S-2:	S(C[5a]C[5a]O[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC)	S(C[5a]C[5a]O[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC){1|H<1>,1|S<4>}	105.9490	0.000	1	105.9490	0.000	1     103.5865       3.341      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:O[5a]-2:S-2:	S(C[5a]C[5a]O[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]N[5a])(O[5a]C[5a])(SC)	S(C[5a]C[5a]O[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a]N[5a])(O[5a]C[5a])(SC){1|O<2>,2|C<3>}	101.2240	0.000	1	101.2240	0.000	1     103.5865       3.341      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-3:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(SC){2|C<3>}	99.9269	0.597	8	99.9269	0.597	8     99.6758       0.661      15      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-3:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a]H)(N[5a]C[5a,6a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a]H)(N[5a]C[5a,6a])(SC){2|C<3>}	100.6820	0.000	1	100.6820	0.000	1     99.6758       0.661      15      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-3:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a]C)(N[5a]C[5a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a]C)(N[5a]C[5a])(SC){2|C<3>}	99.3276	0.000	1	99.3276	0.000	1     99.6758       0.661      15      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-3:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a]H)(N[5a]C[5a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a]H)(N[5a]C[5a])(SC){2|C<3>}	99.2758	0.374	3	99.2758	0.374	3     99.6758       0.661      15      101.7069     1.494     189
