727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:3:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[5a]-3:C[6a]-3:	C[5a]-3:	C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(C[6a]C[6a]2)	F(C[5a]C[5a]2)	C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F){5|C<3>}	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(C[6a]C[6a]2){2|H<1>,5|C<3>}	F(C[5a]C[5a]2)	124.3580	0.000	1	124.3580	0.000	1	124.3580	0.000	1	125.9810	0.767	11	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:3:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[6a]-3:N[5a]-3:	C[5a]-3:	C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F)	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(N[5a]C[5a]H)	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F){1|H<1>,3|C<3>}	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(N[5a]C[5a]H){1|F<1>,2|H<1>,3|C<3>}	F(C[5a]C[5a]2)	126.4173	0.296	3	126.4173	0.296	3	126.4173	0.296	3	125.9810	0.767	11	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:3:	3:	C[5a]-3:C[5a]-3:F-1:	C[6]-3:C[5a]-3:N[5a]-3:	C[5a]-3:	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F)	C[5a](C[6]C[6]O[6])(C[5a]C[5a]F)(N[5a]C[5a]H)	F(C[5a]C[5a]2)	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F){1|C<3>,1|O<2>,2|H<1>}	C[5a](C[6]C[6]O[6])(C[5a]C[5a]F)(N[5a]C[5a]H){1|B<4>,1|C<3>,1|F<1>,2|H<1>}	F(C[5a]C[5a]2)	125.8780	0.324	2	126.2866	0.565	5	126.2866	0.565	5	125.9810	0.767	11	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:3:	3:	C[5a]-3:C[5a]-3:F-1:	C[6]-3:C[5a]-3:N[5a]-3:	C[5a]-3:	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F)	C[5a](C[6]C[6]O[6])(C[5a]C[5a]F)(N[5a]C[5a]H)	F(C[5a]C[5a]2)	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F){1|H<1>,1|O<2>,2|C<3>}	C[5a](C[6]C[6]O[6])(C[5a]C[5a]F)(N[5a]C[5a]H){1|B<4>,1|F<1>,1|H<1>,2|C<3>}	F(C[5a]C[5a]2)	126.5590	0.554	3	126.2866	0.565	5	126.2866	0.565	5	125.9810	0.767	11	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:4:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:N[5a]-3:C-4:	C[5a]-3:	C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F)	C[5a](C[5a]C[5a]F)(N[5a]N[5a]C)(CCHO)	F(C[5a]C[5a]2)	C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F){1|C<4>}	C[5a](C[5a]C[5a]F)(N[5a]N[5a]C)(CCHO){1|H<1>}	F(C[5a]C[5a]2)	124.8830	0.000	1	124.8830	0.000	1	124.8830	0.000	1	124.8830	0.000	1	126.0687	1.688	44	125.9487	1.697	47
727	727	846	0:SP2_SP2_SP2	C[5a]	C[5a]	C[4]	3:3:3:	3:2:4:	3:3:4:	C[5a]-3:C[5a]-3:C[4]-3:	C[5a]-3:O[5a]-2:C-4:	C[4]-3:C[5a]-3:C[4]-4:	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)	C[5a](C[5a]C[5a]C[4])(O[5a]C[5a])(CH3)	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<3>,2|C<4>,2|F<1>}	C[5a](C[5a]C[5a]C[4])(O[5a]C[5a])(CH3){1|C<3>,1|H<1>,2|C<4>}	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}	126.9025	0.538	4	126.4177	0.662	8	126.4177	0.662	8	126.4177	0.662	8	126.7524	0.931	17	126.7524	0.931	17
727	727	846	0:SP2_SP2_SP2	C[5a]	C[5a]	C[4]	3:3:3:	3:2:4:	3:3:4:	C[5a]-3:C[5a]-3:C[4]-3:	C[5a]-3:O[5a]-2:C-4:	C[4]-3:C[5a]-3:C[4]-4:	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)	C[5a](C[5a]C[5a]C[4])(O[5a]C[5a])(CH3)	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<4>,2|C<3>,2|F<1>}	C[5a](C[5a]C[5a]C[4])(O[5a]C[5a])(CH3){1|C<4>,1|H<1>,2|C<3>}	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}	125.9330	0.325	4	126.4177	0.662	8	126.4177	0.662	8	126.4177	0.662	8	126.7524	0.931	17	126.7524	0.931	17
727	727	846	0:SP2_SP2_SP2	C[5a]	C[5a]	C[4]	3:3:3:	3:3:1:	3:3:4:	C[5a]-3:C[5a]-3:C[4]-3:	C[5a]-3:C[5a]-3:H-1:	C[4]-3:C[5a]-3:C[4]-4:	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)	C[5a](C[5a]C[5a]C[4])(C[5a]O[5a]C)(H)	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<4>,2|C<3>,2|F<1>}	C[5a](C[5a]C[5a]C[4])(C[5a]O[5a]C)(H){1|C<3>,2|C<4>}	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}	127.7417	0.252	4	127.7417	0.252	4	127.3419	0.653	8	127.3419	0.653	8	126.7524	0.931	17	126.7524	0.931	17
727	727	846	0:SP2_SP2_SP2	C[5a]	C[5a]	C[4]	3:3:3:	3:3:1:	3:3:4:	C[5a]-3:C[5a]-3:C[4]-3:	C[5a]-3:C[5a]-3:H-1:	C[4]-3:C[5a]-3:C[4]-4:	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)	C[5a](C[5a]C[5a]C[4])(C[5a]O[5a]C[6])(H)	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)	C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<3>,2|C<4>,2|F<1>}	C[5a](C[5a]C[5a]C[4])(C[5a]O[5a]C[6])(H){1|C<3>,1|H<1>,2|C<4>,2|O<2>}	C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}	126.9420	0.711	4	126.9420	0.711	4	127.3419	0.653	8	127.3419	0.653	8	126.7524	0.931	17	126.7524	0.931	17
727	727	846	0:SP2_SP2_SP2	C[5a]	C[5a]	C[4]	3:3:3:	3:3:2:	3:3:4:	N[5a]-3:C[5a]-3:C[4]-3:	C[5a,6a]-3:C[5a]-3:N-2:	C[5a]-3:N[4]-3:C[4]-4:	C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4])	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]C[4])(NC[6a])	C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC)	C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4]){1|H<1>,1|N<3>,3|C<4>,4|C<3>}	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]C[4])(NC[6a]){1|H<1>,1|N<3>,2|C<3>,2|C<4>}	C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC){1|C<4>,1|N<2>,1|O<1>,4|C<3>}	124.7140	0.000	1	124.7140	0.000	1	124.7140	0.000	1	124.7140	0.000	1	126.7524	0.931	17	126.7524	0.931	17
