490	310	988	4:4:1:1:	4:4:4:1:	4:2:1:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-1:O-1:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OH)(O)2	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OH)(O)2	116.2540	0.000	1	116.2540	0.000	1     114.4920       2.492      2      114.4920     2.492     2
490	310	988	4:4:1:1:	4:4:4:1:	4:2:1:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-1:O-1:	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OH)(O)2	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OH)(O)2	112.7300	0.000	1	112.7300	0.000	1     114.4920       2.492      2      114.4920     2.492     2
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCa)(OH)(O)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCa)(OH)(O)	114.4660	0.885	2	114.4660	0.885	2     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCd)(OH)(O)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCd)(OH)(O)	121.2350	0.000	1	121.2350	0.000	1     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OGd)(OH)(O)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OGd)(OH)(O)	119.0400	0.000	1	119.0400	0.000	1     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(ONd)(OH)(O)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(ONd)(OH)(O)	119.8120	0.000	1	119.8120	0.000	1     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CC[6a]HH)(CHHP)2(H)	P(CHHN)(OPb)(OH)(O)	C(NCCH)(PO3)(H)2	N(CC[6a]HH)(CHHP)2(H)	P(CHHN)(OPb)(OH)(O)	115.3060	0.000	1	115.3060	0.000	1     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OCd)(OH)(O)	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OCd)(OH)(O)	119.3800	0.191	2	119.3800	0.191	2     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OMn)(OH)(O)	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OMn)(OH)(O)	119.1330	0.406	2	119.1330	0.406	2     117.8823       2.475      11      117.8823     2.475     11
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-1:	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OMg)(OH)(O)	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OMg)(OH)(O)	115.3540	0.000	1	115.3540	0.000	1     117.8823       2.475      11      117.8823     2.475     11
