490	474	542	4:3:1:1:	4:2:4:1:	3:3:4:	C[5]-4:N[5]-3:H-1:H-1:	C[3,5]-4:O[5]-2:C-4:H-1:	C[5]-3:C[5]-3:C-4:	C(C[5]C[3,5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[3,5]C[3,5]O[3]H)(O[5]C[5])(CN[5]HH)(H)	N[5](C[5]C[5,6a]O)2(CC[5]HH)	C(C[5]C[3,5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[3,5]C[3,5]O[3]H)(O[5]C[5])(CN[5]HH)(H){1|S<2>,2|H<1>}	N[5](C[5]C[5,6a]O)2(CC[5]HH){2|C<3>}	114.2600	0.000	1	114.2600	0.000	1     114.2600       0.000      1      113.6570     1.821     6
490	474	542	4:3:1:1:	4:2:4:1:	3:3:4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:O[5]-2:C-4:H-1:	C[5]-3:C[5]-3:C-4:	C(C[5]C[5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]HS)(O[5]C[5])(CN[5]HH)(H)	N[5](C[5]C[5,6a]O)2(CC[5]HH)	C(C[5]C[5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]HS)(O[5]C[5])(CN[5]HH)(H){1|N<3>,3|H<1>}	N[5](C[5]C[5,6a]O)2(CC[5]HH){2|C<3>}	116.8260	0.000	1	116.8260	0.000	1     113.5364       2.009      5      113.6570     1.821     6
490	474	542	4:3:1:1:	4:2:4:1:	3:3:4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:O[5]-2:C-4:H-1:	C[5]-3:C[5]-3:C-4:	C(C[5]C[5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[5]O[5]CH)(O[5]C[5])(CN[5]HH)(H)	N[5](C[5]C[5]H)(C[5]N[5]S)(CC[5]HH)	C(C[5]C[5]O[5]H)(N[5]C[5]2)(H)2	C[5](C[5]O[5]CH)(O[5]C[5])(CN[5]HH)(H){2|C<4>}	N[5](C[5]C[5]H)(C[5]N[5]S)(CC[5]HH){1|C<4>,1|H<1>}	112.7140	0.935	4	112.7140	0.935	4     113.5364       2.009      5      113.6570     1.821     6
490	474	542	4:3:1:1:	4:3:4:1:	4:4:4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:C[5]-3:C-4:H-1:	C[5]-4:C[5]-4:C-4:	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]CH)(C[5]O[5]O)(CN[5]HH)(H)	N[5](C[5]C[5]HH)2(CC[5]HH)	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]CH)(C[5]O[5]O)(CN[5]HH)(H){1|C<4>,1|H<1>}	N[5](C[5]C[5]HH)2(CC[5]HH){4|H<1>}	114.0955	0.428	2	114.0955	0.428	2     113.9677       0.375      3      113.9677     0.375     3
490	474	542	4:3:1:1:	4:3:4:1:	4:4:4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:C[5]-3:C-4:H-1:	C[5]-4:C[5]-4:C-4:	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]CO)(C[5]C[5]H)(CN[5]HH)(H)	N[5](C[5]C[5]HH)2(CC[5]HH)	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]CO)(C[5]C[5]H)(CN[5]HH)(H){1|C<4>,1|O<1>}	N[5](C[5]C[5]HH)2(CC[5]HH){4|H<1>}	113.7120	0.000	1	113.7120	0.000	1     113.9677       0.375      3      113.9677     0.375     3
490	474	542	4:3:1:1:	4:4:4:1:	3:3:4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:C[5]-4:C-4:H-1:	C[5]-3:C[5]-3:C-4:	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]HH)(C[5]O[5]HH)(CN[5]HH)(H)	N[5](C[5]C[5]H)(C[5]N[5]H)(CC[5]HH)	C(C[5]C[5]2H)(N[5]C[5]2)(H)2	C[5](C[5]C[5]HH)(C[5]O[5]HH)(CN[5]HH)(H){2|H<1>}	N[5](C[5]C[5]H)(C[5]N[5]H)(CC[5]HH){1|C<4>,1|H<1>}	110.1820	0.000	1	110.1820	0.000	1     110.1820       0.000      1      110.1820     0.000     1
490	474	542	4:3:3:1:	4:2:4:1:	4:3:4:	C[5]-4:N[5]-3:N[5]-3:H-1:	C[5]-4:S[5]-2:C-4:H-1:	C[5]-4:C[5]-3:C-4:	C(C[5]C[5]S[5]H)(N[5]C[5]2)2(H)	C[5](C[5]C[5]HH)(S[5]C[5])(CN[5]2H)(H)	N[5](C[5]C[5,6a]HH)(C[5]C[5,6a]O)(CC[5]N[5]H)	C(C[5]C[5]S[5]H)(N[5]C[5]2)2(H)	C[5](C[5]C[5]HH)(S[5]C[5])(CN[5]2H)(H){4|H<1>}	N[5](C[5]C[5,6a]HH)(C[5]C[5,6a]O)(CC[5]N[5]H){2|C<3>}	113.6015	0.459	2	113.6015	0.459	2     113.6015       0.459      2      113.6015     0.459     2
490	474	542	4:3:4:1:	3:4:3:4:	4:4:4:	C[5,5]-4:N[5]-3:C-4:H-1:	N[5,5]-3:C[5]-4:C[5]-3:C-4:	C[5]-4:C[5]-4:C-4:	C(C[5,5]N[5,5]C[5]2)(N[5]C[5]2)(CC3)(H)	C[5,5](N[5,5]C[5]2)(C[5]C[5]HH)(C[5]O[5]O)(CN[5]CH)	N[5](C[5]C[5]CH)(C[5]C[5]HH)(CC[5,5]CH)	C(C[5,5]N[5,5]C[5]2)(N[5]C[5]2)(CC3)(H)	C[5,5](N[5,5]C[5]2)(C[5]C[5]HH)(C[5]O[5]O)(CN[5]CH){1|C<4>,5|H<1>}	N[5](C[5]C[5]CH)(C[5]C[5]HH)(CC[5,5]CH){4|H<1>}	107.7530	0.000	1	107.7530	0.000	1     107.7530       0.000      1      107.7530     0.000     1
490	474	610	4:4:1:1:	4:4:4:1:	3:3:3:4:	C[5]-4:B-4:H-1:H-1:	C[5,5]-4:N[5]-4:C-4:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[5](C[5,5]C[5,5]C[5]Fe)(N[5]C[5]CC)(CBHH)(H)	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[5](C[5,5]C[5,5]C[5]Fe)(N[5]C[5]CC)(CBHH)(H){2|H<1>,3|C<4>}	B(C[6a]C[6a]2)3(CC[5]HH)	117.9460	0.000	1	117.9460	0.000	1     118.1215       0.248      2      118.1215     0.248     2
490	474	610	4:4:1:1:	4:4:4:1:	3:3:3:4:	C[5]-4:B-4:H-1:H-1:	C[5,5]-4:N[5]-4:C-4:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[5](C[5,5]C[5,5]C[5]Fe)(N[5]C[5]CH)(CBHH)(H)	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[5](C[5,5]C[5,5]C[5]Fe)(N[5]C[5]CH)(CBHH)(H){2|H<1>,3|C<4>}	B(C[6a]C[6a]2)3(CC[5]HH)	118.2970	0.000	1	118.2970	0.000	1     118.1215       0.248      2      118.1215     0.248     2
