490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]CH)(N[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]CH)(N[5]C[5]HH)(CH3)(H){1|C<3>,1|O<2>,2|H<1>}	H(CC[5]HH)	109.4707	0.028	3	109.4707	0.028	3     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CH3)(H){1|C<3>,3|H<1>}	H(CC[5]HH)	109.4560	0.034	3	109.5415	1.035	6     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CH3)(H){4|H<1>}	H(CC[5]HH)	109.6270	1.630	3	109.5415	1.035	6     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]B[5]CC)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]B[5]CC)(CH3)(H){1|Sn<5>,2|C<3>,2|C<4>}	H(CC[5]HH)	109.4675	0.025	8	109.4675	0.025	8     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]B[5]CH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]B[5]CH)(CH3)(H){1|Sn<5>,2|C<3>,2|C<4>}	H(CC[5]HH)	109.4810	0.029	5	109.4810	0.029	5     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]C[5]PdC)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]N[5]H)(H)3	C[5](C[5]C[6a]O[5]H)(N[5]C[5]PdC)(CH3)(H){1|H<1>,3|C<3>}	H(CC[5]HH)	109.4830	0.019	4	109.4830	0.019	4     109.4946       0.424      32      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:P[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]B[5]HH)(P[5]N[5]CC)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]B[5]HH)(P[5]N[5]CC)(CH3)(H){1|Si<4>,2|C<3>}	H(CC[5]HH)	109.5003	0.057	3	109.5003	0.057	3     109.7035       0.435      12      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:P[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]C[5]HH)(P[5]C[5]2O)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]C[5]HH)(P[5]C[5]2O)(CH3)(H){1|C<3>,1|C<4>,1|S<2>,3|H<1>}	H(CC[5]HH)	109.4568	0.036	6	109.4568	0.036	6     109.7035       0.435      12      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	C[5]-4:P[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]C[5]HH)(P[5]C[5]BC)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](C[5]C[5]HH)(P[5]C[5]BC)(CH3)(H){4|H<1>}	H(CC[5]HH)	110.4000	0.251	3	110.4000	0.251	3     109.7035       0.435      12      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	N[5,5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]N[5,5]C[5]H)(H)3	C[5](N[5,5]B[5,5,6]C[5]B)(C[5]O[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]N[5,5]C[5]H)(H)3	C[5](N[5,5]B[5,5,6]C[5]B)(C[5]O[5]HH)(CH3)(H){1|C<4>,1|N<4>,1|O<2>,2|H<1>}	H(CC[5]HH)	109.4863	0.032	3	109.4863	0.032	3     110.4175       1.690      6      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	N[5,5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]N[5,5]C[5]H)(H)3	C[5](N[5,5]C[5,5]C[5]C)(C[5]C[5]CH)(CH3)(H)	H(CC[5]HH)	C(C[5]N[5,5]C[5]H)(H)3	C[5](N[5,5]C[5,5]C[5]C)(C[5]C[5]CH)(CH3)(H){2|C<4>,5|H<1>}	H(CC[5]HH)	111.3487	2.130	3	111.3487	2.130	3     110.4175       1.690      6      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	N[5,6]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]N[5,6]C[5]H)(H)3	C[5](N[5,6]B[5,5,6]B[6]C)(C[5]N[5,5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]N[5,6]C[5]H)(H)3	C[5](N[5,6]B[5,5,6]B[6]C)(C[5]N[5,5]HH)(CH3)(H){1|B<4>,1|C<4>,1|N<3>,2|H<1>,2|O<2>}	H(CC[5]HH)	109.4990	0.035	3	109.4990	0.035	3     109.4690       0.050      6      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	N[5,6]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]N[5,6]C[5]H)(H)3	C[5](N[5,6]C[5,6]C[6]H)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]N[5,6]C[5]H)(H)3	C[5](N[5,6]C[5,6]C[6]H)(C[5]C[5]HH)(CH3)(H){2|C<4>,5|H<1>}	H(CC[5]HH)	109.4390	0.048	3	109.4390	0.048	3     109.4690       0.050      6      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5,6a]C[6a]B)(C[5]C[5,6a]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5,6a]C[6a]B)(C[5]C[5,6a]HH)(CH3)(H){4|C<3>}	H(CC[5]HH)	109.4800	0.032	3	109.4800	0.032	3     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Pd)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Pd)(C[5]C[5]HH)(CH3)(H){1|Fe<10>,3|C<4>,3|H<1>}	H(CC[5]HH)	109.4534	0.033	8	109.4534	0.033	8     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Pt)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Pt)(C[5]C[5]HH)(CH3)(H){1|Fe<10>,3|C<4>,3|H<1>}	H(CC[5]HH)	109.4860	0.036	14	109.4860	0.036	14     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Rh)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Rh)(C[5]C[5]HH)(CH3)(H){1|C<3>,1|C<4>,1|S<2>,3|H<1>}	H(CC[5]HH)	109.4748	0.029	5	109.4693	0.042	16     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Rh)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Rh)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4667	0.048	11	109.4693	0.042	16     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Se)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]2Se)(C[5]C[5]HH)(CH3)(H){1|Fe<10>,3|C<4>,3|H<1>}	H(CC[5]HH)	109.4746	0.026	7	109.4746	0.026	7     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]C[6]Pd)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]C[6]Pd)(C[5]C[5]HH)(CH3)(H){3|C<4>,4|H<1>}	H(CC[5]HH)	109.4659	0.059	8	109.4659	0.059	8     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]NiC)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]NiC)(C[5]C[5]HH)(CH3)(H){1|C<4>,3|H<1>}	H(CC[5]HH)	109.4709	0.065	14	109.4709	0.065	14     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]PdC)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]PdC)(C[5]C[5]HH)(CH3)(H){1|C<4>,3|H<1>}	H(CC[5]HH)	109.4589	0.045	18	109.4589	0.045	18     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]PtC)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]PtC)(C[5]C[5]HH)(CH3)(H){1|C<4>,3|H<1>}	H(CC[5]HH)	109.4721	0.046	32	109.4721	0.046	32     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]RhC)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]RhC)(C[5]C[5]HH)(CH3)(H){1|C<4>,3|H<1>}	H(CC[5]HH)	109.4686	0.047	10	109.4686	0.047	10     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]RuC)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[5]RuC)(C[5]C[5]HH)(CH3)(H){1|C<4>,3|H<1>}	H(CC[5]HH)	109.4659	0.041	19	109.4659	0.041	19     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H){1|N<2>,6|C<3>}	H(CC[5]HH)	109.4517	0.063	3	109.4660	0.054	9     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H){1|O<1>,6|C<3>}	H(CC[5]HH)	109.4867	0.067	3	109.4660	0.054	9     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]2N[5])(C[5]B[5]HH)(CH3)(H){1|O<2>,6|C<3>}	H(CC[5]HH)	109.4597	0.046	3	109.4660	0.054	9     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Fe)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Fe)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4662	0.026	6	109.4662	0.026	6     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Ir)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Ir)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4680	0.039	6	109.4680	0.039	6     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]O)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]O)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4637	0.029	11	109.4676	0.030	15     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]O)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]O)(C[5]C[5]HH)(CH3)(H){2|C<3>,2|C<4>,2|H<1>}	H(CC[5]HH)	109.4783	0.032	4	109.4676	0.030	15     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Pd)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Pd)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4562	0.051	18	109.4562	0.051	18     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Pt)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Pt)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4698	0.048	52	109.4698	0.048	52     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Rh)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Rh)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4996	0.048	5	109.4996	0.048	5     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Ru)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]Ru)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4180	0.072	2	109.4180	0.072	2     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:H-1:	P[5]-4:C[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]S)(C[5]C[5]HH)(CH3)(H)	H(CC[5]HH)	C(C[5]C[5]P[5]H)(H)3	C[5](P[5]C[6a]C[5]S)(C[5]C[5]HH)(CH3)(H){1|C<4>,2|C<3>,3|H<1>}	H(CC[5]HH)	109.4919	0.024	8	109.4919	0.024	8     109.4691       0.045      270      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:1:	4:	C[5]-4:H-1:H-1:O-1:	C[5]-4:N[5]-4:C-4:H-1:	C-4:	C(C[5]C[5]N[5]H)(H)2(O)	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CHHO)(H)	H(CC[5]HO)	C(C[5]C[5]N[5]H)(H)2(O)	C[5](C[5]C[5]HH)(N[5]C[5]HH)(CHHO)(H){1|C<3>,3|H<1>}	H(CC[5]HO)	109.0745	0.564	2	109.0745	0.564	2     109.0745       0.564      2      109.5345     1.008     1036
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,5,6]-4:C[4,5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[4,5,6]C[5,5,6]O)(H)3	C[5,6](C[5,5,6]C[5,5,6]O[5,5]H)(C[4,5,6]C[5,5,6]C[4]2)(CH3)(OH)	H(CC[5,6]HH)	C(C[5,6]C[4,5,6]C[5,5,6]O)(H)3	C[5,6](C[5,5,6]C[5,5,6]O[5,5]H)(C[4,5,6]C[5,5,6]C[4]2)(CH3)(OH){4|C<4>,5|H<1>}	H(CC[5,6]HH)	109.4565	0.021	4	109.4565	0.021	4     109.4565       0.021      4      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,5,6]-4:C[5,5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[3x5,6]O[5]C)(C[5,5,6]C[5,5]C[5,6]H)(CH3)(OC)	H(CC[5,6]HH)	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[3x5,6]O[5]C)(C[5,5,6]C[5,5]C[5,6]H)(CH3)(OC){1|C<3>,2|C<4>,4|H<1>}	H(CC[5,6]HH)	109.4295	0.019	2	109.4295	0.019	2     109.4000       0.115      7      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,5,6]-4:C[5,5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[3x5,6]O[5]C)(C[5,5,6]C[5,5]C[5,6]H)(CH3)(OH)	H(CC[5,6]HH)	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[3x5,6]O[5]C)(C[5,5,6]C[5,5]C[5,6]H)(CH3)(OH){1|C<3>,2|C<4>,4|H<1>}	H(CC[5,6]HH)	109.5120	0.020	2	109.5120	0.020	2     109.4000       0.115      7      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,5,6]-4:C[5,5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,5,6]C[5,6]C[5]2)(CH3)(OH)	H(CC[5,6]HH)	C(C[5,6]C[5,5,6]2O)(H)3	C[5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,5,6]C[5,6]C[5]2)(CH3)(OH){1|O<1>,1|O<2>,4|H<1>,5|C<4>}	H(CC[5,6]HH)	109.3057	0.112	3	109.3057	0.112	3     109.4000       0.115      7      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,5,6]-4:C[5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[5,5,6]C[5,6]O)(H)3	C[5,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6]C[5,5,6]HH)(CH3)(OC)	H(CC[5,6]HH)	C(C[5,6]C[5,5,6]C[5,6]O)(H)3	C[5,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6]C[5,5,6]HH)(CH3)(OC){3|C<4>,3|H<1>}	H(CC[5,6]HH)	109.4720	0.048	3	109.4720	0.048	3     109.4720       0.048      3      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[5,6]-4:C-4:O-2:	C-4:	C(C[5,6]C[5,6]2O)(H)3	C[5,6](C[5,6]C[5a,6]C[5]H)(C[5,6]C[5]C[6]H)(CH3)(OC)	H(CC[5,6]HH)	C(C[5,6]C[5,6]2O)(H)3	C[5,6](C[5,6]C[5a,6]C[5]H)(C[5,6]C[5]C[6]H)(CH3)(OC){1|O<1>,3|C<3>,4|H<1>}	H(CC[5,6]HH)	109.5107	0.030	3	109.5107	0.030	3     109.5107       0.030      3      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5]-4:H-1:H-1:H-1:	C[3,5,6]-4:C[5]-4:C-4:O-2:	C-4:	C(C[5]C[3,5,6]C[5]O)(H)3	C[5](C[3,5,6]C[3,6]C[5,6]O[3])(C[5]C[5]HH)(CH3)(OH)	H(CC[5]HH)	C(C[5]C[3,5,6]C[5]O)(H)3	C[5](C[3,5,6]C[3,6]C[5,6]O[3])(C[5]C[5]HH)(CH3)(OH){2|C<4>,4|H<1>}	H(CC[5]HH)	109.4733	0.030	3	109.4733	0.030	3     109.4733       0.030      3      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5]-4:H-1:H-1:H-1:	C[3,5]-4:C[5]-4:C-4:O-2:	C-4:	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3,5,6]C[3,6]H)(C[5]C[5]HH)(CH3)(OH)	H(CC[5]HH)	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3,5,6]C[3,6]H)(C[5]C[5]HH)(CH3)(OH){2|C<4>,3|H<1>}	H(CC[5]HH)	109.9218	1.465	12	109.9218	1.465	12     109.7490       1.170      19      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5]-4:H-1:H-1:H-1:	C[3,5]-4:C[5]-4:C-4:O-2:	C-4:	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3,5]C[3]O[3])(C[5]C[5]HH)(CH3)(OH)	H(CC[5]HH)	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3,5]C[3]O[3])(C[5]C[5]HH)(CH3)(OH){1|O<2>,2|C<4>,3|H<1>}	H(CC[5]HH)	109.4504	0.108	5	109.4504	0.108	5     109.7490       1.170      19      109.4923     0.746     278
490	474	690	4:1:1:1:	4:4:4:2:	4:	C[5]-4:H-1:H-1:H-1:	C[3,5]-4:C[5]-4:C-4:O-2:	C-4:	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3]2C[5])(C[5]N[5]HH)(CH3)(OH)	H(CC[5]HH)	C(C[5]C[3,5]C[5]O)(H)3	C[5](C[3,5]C[3]2C[5])(C[5]N[5]HH)(CH3)(OH){1|C<3>,1|O<1>,4|H<1>}	H(CC[5]HH)	109.4590	0.018	2	109.4590	0.018	2     109.7490       1.170      19      109.4923     0.746     278
