893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:2:2:	2:	C[5,3x6]-4:H-1:	C[5,5,6,6]-4:C[5,6,6]-4:O[6,6]-2:O-2:	O-2:	O(C[5,3x6]C[5,5,6,6]C[5,6,6]O[6,6])(H)	C[5,3x6](C[5,5,6,6]C[5,6,6]C[5,5]O)(C[5,6,6]O[6,6]C[5]H)(O[6,6]C[6,6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,5,6,6]C[5,6,6]O[6,6])(H)	C[5,3x6](C[5,5,6,6]C[5,6,6]C[5,5]O)(C[5,6,6]O[6,6]C[5]H)(O[6,6]C[6,6])(OH){1|C<3>,1|O<2>,2|C<4>,5|H<1>}	H(OC[5,3x6])	109.4740	0.000	1	109.4740	0.000	1	109.4740	0.000	1	119.8124	537.208	5	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[3x5,6,6]-4:C[5,6,6]-4:C[6,6]-3:O-2:	O-2:	O(C[5,3x6]C[3x5,6,6]C[5,6,6]C[6,6])(H)	C[5,3x6](C[3x5,6,6]C[3x5,6,6]C[5,5]C[5])(C[5,6,6]C[5,6,6]O[5]C)(C[6,6]C[6,6]C)(OH)	H(OC[5,3x6])	O(C[5,3x6]C[3x5,6,6]C[5,6,6]C[6,6])(H)	C[5,3x6](C[3x5,6,6]C[3x5,6,6]C[5,5]C[5])(C[5,6,6]C[5,6,6]O[5]C)(C[6,6]C[6,6]C)(OH){1|O<1>,2|C<3>,3|C<4>,4|O<2>}	H(OC[5,3x6])	109.4690	0.000	1	109.4690	0.000	1	109.4690	0.000	1	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[4,5,6,6]-4:C[5,5,3x6]-4:C[6,6]-3:O-2:	O-2:	O(C[5,3x6]C[4,5,6,6]C[5,5,3x6]C[6,6])(H)	C[5,3x6](C[4,5,6,6]C[4,5,5,6]C[4,5,6,6]H)(C[5,5,3x6]C[5,5,3x6]C[3x5,6]H)(C[6,6]N[6,6]O)(OH)	H(OC[5,3x6])	O(C[5,3x6]C[4,5,6,6]C[5,5,3x6]C[6,6])(H)	C[5,3x6](C[4,5,6,6]C[4,5,5,6]C[4,5,6,6]H)(C[5,5,3x6]C[5,5,3x6]C[3x5,6]H)(C[6,6]N[6,6]O)(OH){4|C<4>,5|H<1>}	H(OC[5,3x6])	109.8790	0.642	2	109.8790	0.412	2	109.8790	0.412	2	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[4,5,6,6]-4:C[5,5,3x6]-4:N[6,6]-3:O-2:	O-2:	O(C[5,3x6]C[4,5,6,6]C[5,5,3x6]N[6,6])(H)	C[5,3x6](C[4,5,6,6]C[4,5,5,6]C[4,5,6,6]H)(C[5,5,3x6]C[5,5,3x6]C[3x5,6]H)(N[6,6]C[6,6]H)(OH)	H(OC[5,3x6])	O(C[5,3x6]C[4,5,6,6]C[5,5,3x6]N[6,6])(H)	C[5,3x6](C[4,5,6,6]C[4,5,5,6]C[4,5,6,6]H)(C[5,5,3x6]C[5,5,3x6]C[3x5,6]H)(N[6,6]C[6,6]H)(OH){1|O<1>,4|C<4>,4|H<1>}	H(OC[5,3x6])	109.4450	0.000	1	109.4450	0.000	1	109.4450	0.000	1	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[5,5,6,6]-4:C[4x6]-4:C[5,6]-3:O-2:	O-2:	O(C[5,3x6]C[5,5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,5,6,6]C[5,3x6]C[5,5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,5,6,6]C[5,3x6]C[5,5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH){1|O<1>,2|C<3>,2|O<2>,3|C<4>,5|H<1>}	H(OC[5,3x6])	109.4610	0.000	1	109.4610	0.000	1	109.4610	0.000	1	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[5,6,6]-4:C[4x6]-4:C[5,6]-3:O-2:	O-2:	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH){1|O<1>,1|O<2>,2|C<3>,3|C<4>,6|H<1>}	H(OC[5,3x6])	109.4560	0.020	2	109.4597	0.000	3	109.4615	0.000	4	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[5,6,6]-4:C[4x6]-4:C[5,6]-3:O-2:	O-2:	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH){1|O<1>,1|O<2>,2|C<4>,3|C<3>,5|H<1>}	H(OC[5,3x6])	109.4670	0.000	1	109.4597	0.000	3	109.4615	0.000	4	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:3:2:	2:	C[5,3x6]-4:H-1:	C[5,6,6]-4:C[4x6]-4:C[5,6]-3:O-2:	O-2:	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]O)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,6,6]C[4x6]C[5,6])(H)	C[5,3x6](C[5,6,6]C[3x6]C[5]O)(C[4x6]C[6,6]2C[6])(C[5,6]C[5]C[6])(OH){1|O<1>,1|O<2>,2|C<3>,3|C<4>,5|H<1>}	H(OC[5,3x6])	109.4670	0.000	1	109.4670	0.000	1	109.4615	0.000	4	109.5532	0.086	9	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:4:2:	2:	C[5,3x6]-4:H-1:	C[5,5,3x6]-4:C[5,5,6,6]-4:C[6]-4:O-2:	O-2:	O(C[5,3x6]C[5,5,3x6]C[5,5,6,6]C[6])(H)	C[5,3x6](C[5,5,3x6]C[5,5,6,6]C[3x5,6]O)(C[5,5,6,6]C[3x5,6]C[5,5,6]C)(C[6]C[5,6]HH)(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,5,3x6]C[5,5,6,6]C[6])(H)	C[5,3x6](C[5,5,3x6]C[5,5,6,6]C[3x5,6]O)(C[5,5,6,6]C[3x5,6]C[5,5,6]C)(C[6]C[5,6]HH)(OH){1|H<1>,4|O<2>,5|C<4>}	H(OC[5,3x6])	109.9620	0.000	1	109.9620	0.000	1	109.9620	0.000	1	109.4667	0.210	3	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:4:2:	2:	C[5,3x6]-4:H-1:	C[5,5,3x6]-4:C[5,5x6]-4:C[6,6]-4:O-2:	O-2:	O(C[5,3x6]C[5,5,3x6]C[5,5x6]C[6,6])(H)	C[5,3x6](C[5,5,3x6]C[5,5,3x6]C[5,5,6,6]C[6])(C[5,5x6]C[5,3x6]C[6,6]2)(C[6,6]C[3x6]HH)(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,5,3x6]C[5,5x6]C[6,6])(H)	C[5,3x6](C[5,5,3x6]C[5,5,3x6]C[5,5,6,6]C[6])(C[5,5x6]C[5,3x6]C[6,6]2)(C[6,6]C[3x6]HH)(OH){10|H<1>,1|N<3>,2|C<3>,3|C<4>}	H(OC[5,3x6])	109.2190	0.228	2	109.2190	0.052	2	109.2190	0.052	2	109.4667	0.210	3	112.3823	148.951	18	108.9912	10.377	3916
