490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5a]-3:N[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[6a]HH)	C[5a](C[5a]C[5a,6a]Br)(N[5a]C[5a,6a]S)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[6a]HH)	C[5a](C[5a]C[5a,6a]Br)(N[5a]C[5a,6a]S)(CHHN){2|C<3>}	115.7800	0.000	1	115.7800	0.000	1     112.0340       2.637      4      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5a]-3:N[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]S)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]S)(CHHN){2|C<3>}	110.2060	0.380	2	110.2060	0.380	2     112.0340       2.637      4      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5a]-3:N[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](C[5a]C[5a,6a]H)(N[5a]C[5a,6a]S)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](C[5a]C[5a,6a]H)(N[5a]C[5a,6a]S)(CHHN){2|C<3>}	111.9440	0.000	1	111.9440	0.000	1     112.0340       2.637      4      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5a,6a]-3:C[5a]-3:C-4:	C(C[5a]N[5a,6a]C[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](N[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C[6a])(CHHN)	C(C[5a]N[5a,6a]C[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CH3)	C[5a](N[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C[6a])(CHHN){1|H<1>,5|C<3>}	112.6150	0.000	1	112.6150	0.000	1     112.6150       0.000      1      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5a]-3:C[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)2	C[5a](N[5a]C[5a]C[6a])(C[5a]C[5a]C)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)2	C[5a](N[5a]C[5a]C[6a])(C[5a]C[5a]C)(CHHN){4|C<3>}	114.6900	0.115	2	114.6900	0.115	2     114.6900       0.115      2      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:S-4:	C[5a]-3:N[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]S)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(SC[6a]OO)	C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]S)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]S)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(SC[6a]OO)	C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]S)(CHHN){2|C<3>}	110.7720	0.000	1	110.7720	0.000	1     110.7720       0.000      1      112.5722     1.790     39
490	670	818	3:3:1:1:	4:3:1:	3:2:4:	C[5]-3:N-3:H-1:H-1:	C-4:C-3:H-1:	C[5]-3:S[5]-2:C-4:	C(C[5]C[5]S[5])(NCH)(H)2	N(CC[5]HH)(CC[6a]O)(H)	C[5](C[5]C[5]H)(S[5]C[5])(CHHN)	C(C[5]C[5]S[5])(NCH)(H)2	N(CC[5]HH)(CC[6a]O)(H)	C[5](C[5]C[5]H)(S[5]C[5])(CHHN){2|H<1>}	113.6015	1.632	4	113.6015	1.632	4     113.6015       1.632      4      113.0021     1.501     15
490	670	818	3:3:1:1:	4:3:1:	3:2:4:	C[5]-3:N-3:H-1:H-1:	C-4:C-3:H-1:	N[5]-3:N[5]-2:C-4:	C(C[5]N[5]2)(NCH)(H)2	N(CC[5]HH)(CC[6a]O)(H)	C[5](N[5]C[5]N)(N[5]N[5])(CHHN)	C(C[5]N[5]2)(NCH)(H)2	N(CC[5]HH)(CC[6a]O)(H)	C[5](N[5]C[5]N)(N[5]N[5])(CHHN){1|H<1>,1|S<1>}	111.8115	1.272	2	111.8115	1.272	2     111.8115       1.272      2      113.0021     1.501     15
490	670	818	3:3:1:1:	4:3:1:	3:2:4:	C[5a]-3:N-3:H-1:H-1:	C-4:C-3:H-1:	C[5a]-3:O[5a]-2:C-4:	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CCN)(H)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHHN)	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CCN)(H)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHHN){2|H<1>}	111.2730	0.000	1	111.2730	0.000	1     113.5575       1.435      6      113.0021     1.501     15
490	670	818	3:3:1:1:	4:3:1:	3:2:4:	C[5a]-3:N-3:H-1:H-1:	C-4:C-3:H-1:	C[5a]-3:O[5a]-2:C-4:	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CC[5a]O)(H)	C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHHN)	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CC[5a]O)(H)	C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHHN){1|C<3>}	114.9460	0.000	1	114.9460	0.000	1     113.5575       1.435      6      113.0021     1.501     15
490	670	818	3:3:1:1:	4:3:1:	3:2:4:	C[5a]-3:N-3:H-1:H-1:	C-4:C-3:H-1:	C[5a]-3:O[5a]-2:C-4:	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CC[6]H)(H)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHHN)	C(C[5a]C[5a]O[5a])(NCH)(H)2	N(CC[5a]HH)(CC[6]H)(H)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHHN){2|H<1>}	114.4950	0.000	2	114.4950	0.000	2     113.5575       1.435      6      113.0021     1.501     15
