490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CCHH)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[3x6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CCHH)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[3x6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH){1|H<1>,5|C<4>}	108.3835	0.496	2	108.3835	0.496	2	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CC[6,6]HH)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6,6a]2H)(C[6,6]C[3x6]C)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CC[6,6]HH)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6,6a]2H)(C[6,6]C[3x6]C)(CCHH){1|H<1>,4|C<3>}	109.0800	0.000	1	109.0800	0.000	1	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[5,6,6]C[6,6]C)(C[6,6]C[3x6]C)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[5,6,6]C[6,6]C)(C[6,6]C[3x6]C)(CCHH){1|C<3>,1|H<1>,2|C<2>,3|C<4>}	108.8580	0.011	2	108.8580	0.011	2	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]C)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]C)(CCHH){1|H<1>,2|C<2>,4|C<4>}	108.3550	0.058	2	108.3550	0.058	2	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH){1|C<3>,1|H<1>,4|C<4>}	108.6580	0.006	2	108.5515	0.089	6	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:1:1:	4:	4:3:4:	C[6,6]-3:C-4:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH)	C(C[6,6]C[3x6]C[6,6])(CH3)(H)2	H(CC[6,6]CH)	C[6,6](C[3x6]C[6,6]N[6,6]H)(C[6,6]C[3x6]H)(CCHH){2|C<3>,2|H<1>,3|C<4>}	108.4982	0.044	4	108.5515	0.089	6	108.3866	0.371	19	108.3866	0.371	19	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:2:1:	4:	3:4:4:	C[6,6]-3:C-4:O-2:H-1:	C-4:	C[6,6]-3:C[3x6]-4:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)(OH)(H)	H(CC[6,6]CO)	C[6,6](C[6,6]N[5,3x6]H)(C[3x6]C[6,6]2H)(CCHO)	C(C[6,6]C[3x6]C[6,6])(CH3)(OH)(H)	H(CC[6,6]CO)	C[6,6](C[6,6]N[5,3x6]H)(C[3x6]C[6,6]2H)(CCHO){3|C<4>,3|H<1>}	107.3530	0.000	1	107.3530	0.000	1	107.3530	0.000	1	107.3530	0.000	1	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:2:1:	4:	4:3:4:	C[6,6]-3:C-4:N-2:H-1:	C-4:	C[4,6,6]-4:C[6,6]-3:C-4:	C(C[6,6]C[4,6,6]C[6,6])(CC[6,6]HN)(NC)(H)	H(CC[6,6]CN)	C[6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]H)(CCHN)	C(C[6,6]C[4,6,6]C[6,6])(CC[6,6]HN)(NC)(H)	H(CC[6,6]CN)	C[6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]H)(CCHN){3|C<4>,4|H<1>}	109.5520	0.000	1	109.5520	0.000	1	109.5520	0.000	1	109.5520	0.000	1	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:3:1:	4:	4:3:4:	C[6,6]-3:C-4:N-3:H-1:	C-4:	C[4,6,6]-4:C[6,6]-3:C-4:	C(C[6,6]C[4,6,6]C[6,6])(CN[5]2H)(NC[6a]H)(H)	H(CC[6,6]CN)	C[6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]H)(CCHN)	C(C[6,6]C[4,6,6]C[6,6])(CN[5]2H)(NC[6a]H)(H)	H(CC[6,6]CN)	C[6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]H)(CCHN){3|C<4>,4|H<1>}	108.5700	0.253	2	108.5700	0.253	2	108.5700	0.253	2	108.5700	0.253	2	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:4:4:1:	4:	4:3:4:	C[6,6]-3:C-4:C-4:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(CH3)2(H)	H(CC[6,6]CC)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]H)(CCCH)	C(C[6,6]C[3x6]C[6,6])(CH3)2(H)	H(CC[6,6]CC)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]H)(CCCH){1|O<1>,1|O<2>,2|C<4>,2|H<1>}	107.3930	0.000	1	107.3930	0.000	1	107.5649	0.912	8	107.5649	0.912	8	109.1565	1.278	131	109.3676	0.954	16711
