930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:4:3:	3:3:1:1:	N-2:C-4:C-4:	C-4:C-4:C-4:C-3:	C-3:C-3:H-1:H-1:	C(NC[6a])(CCHH)(CC3)	C(CH3)3(CCN)	C(CCN)2(H)2	C(NC[6a])(CCHH)(CC3)	C(CH3)3(CCN)	C(CCN)2(H)2	116.8695	6.162	2	116.8695	6.162	2	116.8695	6.162	2	116.8695	6.162	2	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:Cl-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[3]Cl)(CClHH)(CH3)	C(CCC)(Cl)(H)2	C(CCC)(H)3	C(CC[3]Cl)(CClHH)(CH3)	C(CCC)(Cl)(H)2	C(CCC)(H)3	116.1330	0.000	1	116.1330	0.000	1	116.1330	0.000	1	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[3]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[3]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	115.3536	1.466	7	115.3536	1.466	7	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[3]O)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[3]O)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	116.1020	0.000	1	116.1020	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[4]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[4]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	113.7680	0.000	1	113.7680	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[5]C)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[5]C)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	112.6690	0.625	2	112.6690	0.625	2	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[5]Cl)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[5]Cl)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.4315	0.144	2	114.4315	0.144	2	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[5]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[5]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.5538	0.648	13	114.5538	0.648	13	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[5a]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[5a]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.6887	0.875	3	114.6887	0.875	3	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.6766	0.292	12	114.6766	0.292	12	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
