762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[5a,6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(COO)	N[6a](C[5a,6a]N[5a,6a]C[5a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(OC)(O)	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(COO){1|C<3>,1|C<4>,1|N<3>}	N[6a](C[5a,6a]N[5a,6a]C[5a])(C[6a]C[6a]C){1|N<2>,2|C<3>,2|H<1>}	C(C[6a]C[6a]N[6a])(OC)(O)	116.7790	0.000	1	116.7790	0.000	1     116.7790       0.000      1      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6,6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO)	N[6a](C[6,6a]C[6,6a]2)(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(OH)(O)	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}	N[6a](C[6,6a]C[6,6a]2)(C[6a]C[6a]C){1|H<1>,1|N<2>,3|C<3>}	C(C[6a]C[6a]N[6a])(OH)(O)	115.8305	0.856	2	115.8305	0.856	2     116.1962       0.658      4      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6,6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO)	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(OH)(O)	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO){1|C<3>,1|H<1>,1|N<3>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]C){1|Ru<9>,1|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(OH)(O)	116.5620	0.181	2	116.5620	0.181	2     116.1962       0.658      4      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C){1|H<1>,4|C<3>}	C(C[6a]C[6a]N[6a])(NC[6])(H)	116.0480	0.000	1	116.0480	0.000	1     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC)(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC)(H)	114.9275	0.646	2	114.9275	0.646	2     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[5a])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[5a])(H)	115.3420	0.000	1	115.3420	0.000	1     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[6])(H)	115.3785	0.570	4	115.3785	0.570	4     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6a])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|C<4>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[6a])(H)	115.4595	0.049	2	115.4562	0.587	11     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6a])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){1|H<1>,1|O<2>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[6a])(H)	115.1260	0.000	1	115.4562	0.587	11     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6a])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[6a])(H)	115.4966	0.689	8	115.4562	0.587	11     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NN)(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){1|H<1>,1|O<2>,3|C<3>}	C(C[6a]C[6a]N[6a])(NN)(H)	114.1750	0.000	1	115.8630	0.938	12     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NN)(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NN)(H)	116.0165	0.810	11	115.8630	0.938	12     115.6797       0.795      40      116.1687     1.376     82
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:N-2:H-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(NC[6a])(H)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|C<3>,1|C<4>,1|N<2>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C){1|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(NC[6a])(H)	115.1115	0.449	4	115.1115	0.449	4     115.6797       0.795      40      116.1687     1.376     82
