991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]H)(C[6]C[6]CH)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]H)(C[6]C[6]CH)(SC[6a]OO){1|C<3>,1|C<4>,2|H<1>}	105.7700	0.076	2	105.7700	0.076	2     106.7673       1.521      12      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]O)(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]O)(C[6]C[6]HH)(SC[6a]OO){2|H<1>,3|C<4>}	106.7515	3.652	2	106.7515	3.652	2     106.7673       1.521      12      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(C[6]C[6]HH)(SC[6a]OO){1|H<1>,1|N<3>,3|C<3>}	105.9145	0.448	2	105.9145	0.448	2     106.7673       1.521      12      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]N[6a])(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]C[6])(C[6]C[6]HO)(SC[6a]OO)	S(C[6a]C[6a]N[6a])(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]C[6])(C[6]C[6]HO)(SC[6a]OO){1|C<4>,2|C<3>,3|H<1>}	107.2495	0.619	2	107.2495	0.619	2     106.7673       1.521      12      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[5,6,6]-3:C[6]-4:S-4:	S(N[6]C[5,6,6]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]HH)(SC[6a]OO)	S(N[6]C[5,6,6]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]HH)(SC[6a]OO){1|C<3>,1|O<2>,2|H<1>,3|C<4>}	106.1310	0.250	2	106.1310	0.250	2     106.1310       0.250      2      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[5,6]-3:C[6]-4:S-4:	S(N[6]C[5,6]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5,6]C[5,6]C[5])(C[6]C[6]CH)(SC[6a]OO)	S(N[6]C[5,6]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5,6]C[5,6]C[5])(C[6]C[6]CH)(SC[6a]OO){1|O<1>,2|H<1>,3|C<4>}	108.8140	2.708	2	108.8140	2.708	2     108.8140       2.708      2      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-4:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO){1|O<2>,2|C<3>,2|C<4>,4|H<1>}	107.2285	1.459	2	106.8537	1.254	6     106.7663       1.093      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-4:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO){1|O<2>,4|C<3>,4|H<1>}	106.3375	1.846	2	106.8537	1.254	6     106.7663       1.093      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-4:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(SC[6a]OO){1|S<2>,2|C<3>,2|C<4>,4|H<1>}	106.9950	1.215	2	106.8537	1.254	6     106.7663       1.093      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-4:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(SC[6a]OO){1|H<1>,3|C<4>,4|C<3>}	106.5040	0.566	2	106.5040	0.566	2     106.7663       1.093      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6,6]-4:S-4:	S(N[6]C[6,6a]C[6,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(SC[6a]OO)	S(N[6]C[6,6a]C[6,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(SC[6a]OO){1|N<2>,2|C<3>,2|C<4>,4|H<1>}	107.2540	0.209	2	107.0250	0.403	4     107.0250       0.403      4      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6,6]-4:S-4:	S(N[6]C[6,6a]C[6,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(SC[6a]OO)	S(N[6]C[6,6a]C[6,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(SC[6a]OO){1|S<2>,2|C<3>,2|C<4>,4|H<1>}	106.7960	0.484	2	107.0250	0.403	4     107.0250       0.403      4      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(SC[6a]OO){1|C<4>,1|N<3>,2|C<3>,2|H<1>}	108.0710	0.635	2	107.0070	1.112	10     106.7203       1.119      94      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(SC[6a]OO){1|C<4>,2|H<1>,3|C<3>}	106.7410	1.062	8	107.0070	1.112	10     106.7203       1.119      94      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]CH)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]CH)(SC[6a]OO){1|C<4>,1|H<1>,4|C<3>}	106.0545	0.424	2	106.0545	0.424	2     106.7203       1.119      94      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]HH)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]HH)(SC[6a]OO){1|C<4>,1|H<1>,3|C<3>}	106.1855	0.095	2	106.8035	0.989	6     106.7203       1.119      94      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]HH)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]HH)(SC[6a]OO){1|C<4>,1|H<1>,4|C<3>}	106.8300	0.520	2	106.8035	0.989	6     106.7203       1.119      94      106.8291     1.211     132
