474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,6]-4:O[5]-2:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[5,6]C[5,6]CO)(O[5]C[5])(O[6]C[6])(CH3)	C(C[5,6]C[5,6]O[5]O[6])(H)3	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5]C[6]H)	C[5,6](C[5,6]C[5,6]CO)(O[5]C[5])(O[6]C[6])(CH3){2|H<1>,4|C<4>}	C(C[5,6]C[5,6]O[5]O[6])(H)3	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5]C[6]H){1|C<3>,1|O<2>,3|H<1>,4|C<4>}	107.6320	0.000	1	107.6320	0.000	1     107.6320       0.000      1      107.0101     1.404     10
474	490	622	4:2:2:4:	4:2:1:1:	4:4:	C[5,6]-4:O[5]-2:O[6]-2:C-4:	C[5,6]-4:O-2:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[5,6]C[5,6]O[5]H)(O[5]B[5])(O[6]C[6])(CHHO)	C(C[5,6]C[5,6]O[5]O[6])(OH)(H)2	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5,6]HH)	C[5,6](C[5,6]C[5,6]O[5]H)(O[5]B[5])(O[6]C[6])(CHHO){1|C<3>,1|C<4>,1|O<2>,3|H<1>}	C(C[5,6]C[5,6]O[5]O[6])(OH)(H)2	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5,6]HH){1|B<3>,1|C<4>,2|H<1>,2|O<2>}	106.0170	0.000	1	106.0170	0.000	1     103.1435       1.967      4      103.1435     1.967     4
474	490	622	4:2:2:4:	4:2:1:1:	4:4:	C[5,6]-4:O[5]-2:O[6]-2:C-4:	C[5,6]-4:O-2:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[5,6]C[5,6]O[5]H)(O[5]C[5])(O[6]C[6])(CHHO)	C(C[5,6]C[5,6]O[5]O[6])(OS)(H)2	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5,6]HH)	C[5,6](C[5,6]C[5,6]O[5]H)(O[5]C[5])(O[6]C[6])(CHHO){1|O<2>,3|C<4>,3|H<1>}	C(C[5,6]C[5,6]O[5]O[6])(OS)(H)2	O[6](C[5,6]C[5,6]O[5]C)(C[6]C[5,6]HH){2|C<4>,2|H<1>,2|O<2>}	102.1857	0.549	3	102.1857	0.549	3     103.1435       1.967      4      103.1435     1.967     4
474	490	622	4:2:3:4:	4:1:1:1:	4:4:	C[5,3x6]-4:O[6,6]-2:C[5]-3:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:P[3x6]-4:	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]C)(O[6,6]P[3x6])(C[5]C[5]C)(CH3)	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]C[5]C)(P[3x6]C[6,6]O[6,6]W)	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]C)(O[6,6]P[3x6])(C[5]C[5]C)(CH3){1|H<1>,1|O<2>,1|W<6>,4|C<4>}	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]C[5]C)(P[3x6]C[6,6]O[6,6]W){1|H<1>,2|C<3>,4|C<4>}	104.6630	0.000	1	104.6630	0.000	1     104.6630       0.000      1      104.6630     0.000     1
474	490	622	4:2:4:4:	4:1:1:1:	3:4:	C[5,6]-4:O[6]-2:C[5]-4:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[6,6a]-3:C[5,6]-4:	C[5,6](C[5,6]C[5]C[6]H)(O[6]C[6,6a])(C[5]C[5]HH)(CH3)	C(C[5,6]C[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]C)	C[5,6](C[5,6]C[5]C[6]H)(O[6]C[6,6a])(C[5]C[5]HH)(CH3){1|C<4>,1|O<1>,2|C<3>,3|H<1>}	C(C[5,6]C[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]C){2|C<4>,3|C<3>,4|H<1>}	108.3445	0.112	2	108.3445	0.112	2     108.3445       0.112      2      108.3445     0.112     2
474	490	622	4:2:4:4:	4:1:1:1:	4:3:	C[4,5,6]-4:O[6]-2:C[5]-4:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6,6a]-3:	C[5,6](C[4,5,6]C[4,5]C[4,6]H)(O[6]C[6,6a])(C[5]C[5]HH)(CH3)	C(C[5,6]C[4,5,6]C[5]O[6])(H)3	O[6](C[5,6]C[4,5,6]C[5]C)(C[6,6a]C[6,6a]C[6a])	C[5,6](C[4,5,6]C[4,5]C[4,6]H)(O[6]C[6,6a])(C[5]C[5]HH)(CH3){1|C<4>,2|C<3>,4|H<1>}	C(C[5,6]C[4,5,6]C[5]O[6])(H)3	O[6](C[5,6]C[4,5,6]C[5]C)(C[6,6a]C[6,6a]C[6a]){2|C<3>,3|C<4>,4|H<1>}	104.5045	0.313	2	104.5045	0.313	2     104.5045       0.313      2      104.5045     0.313     2
474	490	622	4:2:4:4:	4:1:1:1:	4:4:	C[5,3x6]-4:O[6,6]-2:C[5]-4:C-4:	C[5,6,6]-4:Cl-1:H-1:H-1:	C[5,6,6]-4:C[3x6]-4:	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[3x6])(C[5]C[5]HO)(CClHH)	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(Cl)(H)2	O[6,6](C[5,6,6]C[5,3x6]C[5]C)(C[3x6]C[6,6]O[6,6]H)	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[3x6])(C[5]C[5]HO)(CClHH){1|C<3>,3|O<2>,4|H<1>}	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(Cl)(H)2	O[6,6](C[5,6,6]C[5,3x6]C[5]C)(C[3x6]C[6,6]O[6,6]H){1|C<3>,1|O<2>,2|H<1>,3|C<4>}	108.7920	0.000	1	108.7920	0.000	1     108.7920       0.000      1      108.0210     0.703     3
474	490	622	4:2:4:4:	4:1:1:1:	4:4:	C[5,3x6]-4:O[6,6]-2:C[5]-4:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[4x6]-4:C[5,6,6]-4:	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[4x6])(C[5]C[5]HH)(CH3)	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(H)3	O[6,6](C[4x6]C[3x6]C[6,6]C[6])(C[5,6,6]C[5,3x6]C[5]C)	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[4x6])(C[5]C[5]HH)(CH3){1|C<4>,2|C<3>,4|H<1>}	C(C[5,6,6]C[5,3x6]O[6,6]C[5])(H)3	O[6,6](C[4x6]C[3x6]C[6,6]C[6])(C[5,6,6]C[5,3x6]C[5]C){1|O<1>,3|C<4>,3|H<1>,4|C<3>}	107.6355	0.313	2	107.6355	0.313	2     107.6355       0.313      2      108.0210     0.703     3
474	490	622	4:3:2:4:	4:1:1:1:	4:4:	C[5,6]-4:C[5]-3:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[5,6]C[5]C[6]H)(C[5]C[5]O)(O[6]C[6])(CH3)	C(C[5,6]C[5,6]C[5]O[6])(H)3	O[6](C[5,6]C[5,6]C[5]C)(C[6]C[6]HH)	C[5,6](C[5,6]C[5]C[6]H)(C[5]C[5]O)(O[6]C[6])(CH3){1|C<3>,1|O<2>,2|C<4>,5|H<1>}	C(C[5,6]C[5,6]C[5]O[6])(H)3	O[6](C[5,6]C[5,6]C[5]C)(C[6]C[6]HH){1|O<1>,3|C<4>,3|H<1>}	111.9760	0.175	2	111.9760	0.175	2     111.9760       0.175      2      111.9760     0.175     2
474	490	622	4:4:2:4:	4:1:1:1:	4:4:	C[3,5,6]-4:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[3,5,6]C[3,5]C[6]O[3])(C[5]C[5]HO)(O[6]C[6])(CH3)	C(C[5,6]C[3,5,6]C[5]O[6])(H)3	O[6](C[5,6]C[3,5,6]C[5]C)(C[6]O[6]CC)	C[5,6](C[3,5,6]C[3,5]C[6]O[3])(C[5]C[5]HO)(O[6]C[6])(CH3){1|O<2>,2|C<4>,5|H<1>}	C(C[5,6]C[3,5,6]C[5]O[6])(H)3	O[6](C[5,6]C[3,5,6]C[5]C)(C[6]O[6]CC){1|H<1>,2|O<2>,3|C<4>}	110.0570	0.151	2	110.0570	0.151	2     110.0570       0.151      2      109.1200     1.626     3
