490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]Se[5]2)(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]Se[5]2)(CH3)	109.5433	0.096	3	109.5433	0.096	3     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]Se[5]C[5])(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]Se[5]C[5])(CH3)	109.4373	0.045	4	109.4373	0.045	4     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6]C[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6]C[5a])(CH3)	109.4790	0.021	11	109.4790	0.021	11     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6]N[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6]N[5a])(CH3)	109.4922	0.042	9	109.4922	0.042	9     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6a]C[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6a]C[5a])(CH3)	109.4714	0.028	117	109.4714	0.028	117     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6a]N[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a,6a]N[5a])(CH3)	109.4416	0.039	5	109.4416	0.039	5     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]2)(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]2)(CH3)	109.4944	0.039	11	109.4944	0.039	11     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]N[5a])(CH3)	109.4686	0.027	32	109.4686	0.027	32     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]O[5a])(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]C[5a]O[5a])(CH3)	109.4725	0.037	6	109.4725	0.037	6     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5a]-3:C-4:	C(SC[5a])(H)3	H(CHHS)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	H(CHHS)	S(C[5a]N[5a]2)(CH3)	109.4709	0.038	55	109.4709	0.038	55     109.4725       0.032      246      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6]-3:C-4:	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6,6a]2)(CH3)	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6,6a]2)(CH3)	109.4657	0.060	3	109.4657	0.060	3     109.3371       0.914      88      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6]-3:C-4:	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]2)(CH3)	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]2)(CH3)	109.4764	0.037	25	109.4764	0.037	25     109.3371       0.914      88      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6]-3:C-4:	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]N[6])(CH3)	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]N[6])(CH3)	109.4567	0.027	6	109.4567	0.027	6     109.3371       0.914      88      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6]-3:C-4:	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]S[6])(CH3)	C(SC[6])(H)3	H(CHHS)	S(C[6]C[6]S[6])(CH3)	108.9035	1.835	21	108.9035	1.835	21     109.3371       0.914      88      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6]-3:C-4:	C(SC[6])(H)3	H(CHHS)	S(C[6]N[6]2)(CH3)	C(SC[6])(H)3	H(CHHS)	S(C[6]N[6]2)(CH3)	109.4741	0.033	33	109.4741	0.033	33     109.3371       0.914      88      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5,6a]C[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5,6a]C[6a])(CH3)	109.7232	0.534	6	109.7232	0.534	6     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5,6a]N[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5,6a]N[6a])(CH3)	109.4623	0.024	14	109.4623	0.024	14     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5a,6a]N[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[5a,6a]N[6a])(CH3)	109.4663	0.033	25	109.4663	0.033	25     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]2)(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]2)(CH3)	109.4885	0.029	11	109.4885	0.029	11     109.4729       0.060      802      109.4671     0.269     1640
