762	762	979	3:3:3:	3:3:1:	3:3:3:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:	C[6a](C[6a]C[6a]H)2(SeC[6a]2)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)3	C[6a](C[6a]C[6a]H)2(SeC[6a]2){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)3	119.0242	3.265	6	119.0242	3.265	6     119.0242       3.265      6      119.0242     3.265     6
762	762	979	3:3:3:	3:3:1:	3:3:4:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:C-4:	C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]C)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[5,6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]C){1|Br<1>,1|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[5,6a]H)(H){1|C<4>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	116.9570	0.000	1	117.0960	0.197	2     117.0960       0.197      2      118.6565     1.607     6
762	762	979	3:3:3:	3:3:1:	3:3:4:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:C-4:	C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]C)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[5,6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]C){1|Se<2>,1|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[5,6a]H)(H){1|C<4>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	117.2350	0.000	1	117.0960	0.197	2     117.0960       0.197      2      118.6565     1.607     6
762	762	979	3:3:3:	3:3:1:	3:3:4:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:C-4:	C[6a](C[6a]C[6a]H)2(SeC[6a]C)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	C[6a](C[6a]C[6a]H)2(SeC[6a]C){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(CH3)	119.4368	1.362	4	119.4368	1.362	4     119.4368       1.362      4      118.6565     1.607     6
762	762	979	3:3:3:	3:3:1:	3:4:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C-4:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeCO)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(CH3)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeCO){1|Se<2>,1|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H){1|H<1>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(CH3)(O)	111.3170	0.000	1	112.7603	1.251	3     112.7603       1.251      3      113.5165     1.825     4
762	762	979	3:3:3:	3:3:1:	3:4:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C-4:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeCO)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(CH3)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeCO){1|Se<3>,1|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H){1|H<1>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(CH3)(O)	113.4820	0.065	2	112.7603	1.251	3     112.7603       1.251      3      113.5165     1.825     4
762	762	979	3:3:3:	3:3:1:	3:4:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C-4:O-1:	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeCO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(CC[6a]HH)(O)	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeCO){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|C<4>,1|H<1>}	Se(C[6a]C[6a]2)(CC[6a]HH)(O)	115.7850	0.000	1	115.7850	0.000	1     115.7850       0.000      1      113.5165     1.825     4
762	762	979	3:3:3:	3:3:3:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a,6a]-3:C[6a]-3:C[6a]-3:	C[6a]-3:C[6a]-3:Br-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]Br)	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Se)(C[6a]C[6a]S)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]Br){1|H<1>,1|S<2>,3|C<3>}	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Se)(C[6a]C[6a]S){2|C<3>,4|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	119.5420	0.000	1	119.5420	0.000	1     119.5420       0.000      1      122.6830     4.032     3
762	762	979	3:3:3:	3:3:3:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a,6a]-3:C[6a]-3:C[6a]-3:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O)	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Br)(C[6a]C[6a]Se)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O){1|Br<1>,1|H<1>,3|C<3>}	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Br)(C[6a]C[6a]Se){2|C<3>,4|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	127.2290	0.000	1	127.2290	0.000	1     124.2535       4.208      2      122.6830     4.032     3
762	762	979	3:3:3:	3:3:3:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a,6a]-3:C[6a]-3:C[6a]-3:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O)	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Se)(C[6a]C[6a]H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O){2|H<1>,3|C<3>}	C[6a,6a](C[6a,6a]C[6a]2)(C[6a]C[6a]Se)(C[6a]C[6a]H){2|C<3>,4|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	121.2780	0.000	1	121.2780	0.000	1     124.2535       4.208      2      122.6830     4.032     3
