988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PCl2N)(PClNO)	N(PCl2N)(PClNO)	P(NP)2(Cl)2	N(PCl2N)(PClNO)	N(PCl2N)(PClNO)	122.0965	0.288	2	122.0965	0.288	2     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PCl2N)(PClNO)	N(PCl2N)(PN3)	P(NP)2(Cl)2	N(PCl2N)(PClNO)	N(PCl2N)(PN3)	122.3410	0.928	2	122.3410	0.928	2     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PCl2N)(PNOO)	N(PCl2N)(PNOO)	P(NP)2(Cl)2	N(PCl2N)(PNOO)	N(PCl2N)(PNOO)	122.9945	0.228	2	122.9945	0.228	2     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PCl2N)2	N(PCl2N)2	P(NP)2(Cl)2	N(PCl2N)2	N(PCl2N)2	115.6500	0.000	1	115.6500	0.000	1     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P[6]-4:P-4:	P-4:P-4:	P(NP[6])(NP)(Cl)2	N(P[6]N[6]O[6]N)(PCl2N)	N(PCl2N)2	P(NP[6])(NP)(Cl)2	N(P[6]N[6]O[6]N)(PCl2N)	N(PCl2N)2	122.5710	0.000	1	122.5710	0.000	1     122.5710       0.000      1      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:F-1:F-1:	P-4:P-4:	P-4:P-4:	P(NP)2(F)2	N(PFFN)(PFNO)	N(PFFN)2	P(NP)2(F)2	N(PFFN)(PFNO)	N(PFFN)2	123.0500	0.000	1	123.0500	0.000	1     123.3233       0.714      4      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:F-1:F-1:	P-4:P-4:	P-4:P-4:	P(NP)2(F)2	N(PFFN)(PNOO)	N(PFFN)2	P(NP)2(F)2	N(PFFN)(PNOO)	N(PFFN)2	123.0545	0.808	2	123.0545	0.808	2     123.3233       0.714      4      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:F-1:F-1:	P-4:P-4:	P-4:P-4:	P(NP)2(F)2	N(PFFN)2	N(PFFN)2	P(NP)2(F)2	N(PFFN)2	N(PFFN)2	124.1340	0.000	1	124.1340	0.000	1     123.3233       0.714      4      121.2526     2.757     15
988	210	210	2:2:2:1:	3:4:	3:4:	N-2:N-2:N-2:Cl-1:	C-3:P-4:	C-3:P-4:	P(NC)2(NP)(Cl)	N(CC[6a]N)(PClNN)	N(CC[6a]N)(PClNN)	P(NC)2(NP)(Cl)	N(CC[6a]N)(PClNN)	N(CC[6a]N)(PClNN)	122.5430	0.000	1	122.5430	0.000	1     122.5430       0.000      1      122.5430     0.000     1
988	210	210	2:2:2:1:	3:4:	4:4:	N-2:N-2:N-2:Cl-1:	C-3:P-4:	P-4:P-4:	P(NC)2(NP)(Cl)	N(CC[6a]N)(PClNN)	N(PClNN)(PCl3)	P(NC)2(NP)(Cl)	N(CC[6a]N)(PClNN)	N(PClNN)(PCl3)	106.1655	3.463	2	106.1655	3.463	2     106.1655       3.463      2      106.1655     3.463     2
988	210	210	2:2:2:1:	4:4:	4:4:	N-2:N-2:O-2:F-1:	P-4:P-4:	P-4:P-4:	P(NP)2(OC)(F)	N(PFFN)(PFNO)	N(PFNO)2	P(NP)2(OC)(F)	N(PFFN)(PFNO)	N(PFNO)2	120.4500	0.000	1	120.4500	0.000	1     120.4500       0.000      1      123.1106     1.717     8
988	210	210	2:2:2:1:	4:4:	4:4:	O-2:N-2:N-2:Cl-1:	P-4:P-4:	P-4:P-4:	P(OC[6a])(NP)2(Cl)	N(PCl2N)(PClNO)	N(PCl2N)(PClNO)	P(OC[6a])(NP)2(Cl)	N(PCl2N)(PClNO)	N(PCl2N)(PClNO)	121.2860	0.000	1	121.2860	0.000	1     121.2860       0.000      1      123.1106     1.717     8
988	210	210	2:2:2:1:	4:4:	4:4:	O-2:N-2:N-2:Cl-1:	P[5]-4:P-4:	P-4:P-4:	P(OC[6a])(NP[5])(NP)(Cl)	N(P[5]N[5]2N)(PClNO)	N(PCl2N)(PClNO)	P(OC[6a])(NP[5])(NP)(Cl)	N(P[5]N[5]2N)(PClNO)	N(PCl2N)(PClNO)	122.7560	0.782	2	122.7560	0.782	2     123.9855       1.491      4      123.1106     1.717     8
988	210	210	2:2:2:1:	4:4:	4:4:	O-2:N-2:N-2:Cl-1:	P[5]-4:P-4:	P-4:P-4:	P(OC[6a])(NP[5])(NP)(Cl)	N(P[5]N[5]2N)(PClNO)	N(PN[6]2N)(PClNO)	P(OC[6a])(NP[5])(NP)(Cl)	N(P[5]N[5]2N)(PClNO)	N(PN[6]2N)(PClNO)	125.2150	0.092	2	125.2150	0.092	2     123.9855       1.491      4      123.1106     1.717     8
988	210	210	2:2:2:1:	4:4:	4:4:	O-2:N-2:N-2:Cl-1:	P[6]-4:P-4:	P-4:P-4:	P(OC[6a])(NP[6])(NP)(Cl)	N(P[6]N[6]2N)(PClNO)	N(PCl2N)(PClNO)	P(OC[6a])(NP[6])(NP)(Cl)	N(P[6]N[6]2N)(PClNO)	N(PCl2N)(PClNO)	123.6035	0.161	2	123.6035	0.161	2     123.6035       0.161      2      123.1106     1.717     8
988	210	210	2:2:2:2:	4:3:	4:3:	N-2:N-2:N-2:N-2:	P-4:C-3:	P-4:C-3:	P(NC)4	N(PN3)(CNN)	N(PN3)(CNN)	P(NC)4	N(PN3)(CNN)	N(PN3)(CNN)	105.8133	2.812	3	105.8133	2.812	3     105.8133       2.812      3      105.8133     2.812     3
988	210	210	2:2:2:2:	4:4:	4:3:	N-2:N-2:N-2:N-2:	C-4:P-4:	P-4:C-3:	P(NC)4	N(CC3)(PN3)	N(PN3)(CNN)	P(NC)4	N(CC3)(PN3)	N(PN3)(CNN)	112.9497	5.192	3	112.9497	5.192	3     112.9497       5.192      3      112.9497     5.192     3
988	210	210	2:2:2:2:	4:4:	4:4:	N-2:N-2:N-2:N-2:	C-4:P-4:	P-4:P-4:	P(NC)(NP)3	N(CC3)(PN3)	N(PN3)2	P(NC)(NP)3	N(CC3)(PN3)	N(PN3)2	112.7290	3.714	3	112.7290	3.714	3     112.7290       3.714      3      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	N-2:N-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(NC)(NP)3	N(PN3)2	N(PN3)2	P(NC)(NP)3	N(PN3)2	N(PN3)2	106.0357	1.836	3	106.0357	1.836	3     107.5542       2.823      7      115.4475     6.482     22
