474  727  945  0:SP3_SP2_SP3  C[5]  C[5,6a]  P  3:3:3:3:  3:4:3:  4:3:3:  C[5,6a]-3:C[5,6a]-3:P-3:P-3:  C[5,6a]-3:C[5]-4:C[6a]-3:  C[5]-4:C[6a]-3:C[6a]-3:  417_10901_1  416_2042_1  694_794_0  109.4070  5.786  4  109.4070  33.483  4  109.4070  33.483  4  109.4070  33.483  4  110.3095  14.206  10  110.3095  14.206  10  
474  727  945  0:SP3_SP2_SP3  C[5]  C[5,6a]  P  3:4:3:1:  3:3:4:  4:3:3:  C[5,6a]-3:C[5]-4:P-3:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C[6a]-3:C[6a]-3:  417_8941_1  416_1203_1  694_813_0  112.6940  0.000  1  112.6940  0.000  1  112.6940  0.000  1  112.6940  0.000  1  110.3095  14.206  10  110.3095  14.206  10  
474  727  951  0:SP3_SP-NON_SP2  C[3x5,6]  C[5,6,6a]  H  4:4:3:1:  4:3:3:  4:  C[3,5,5,6]-4:C[4x5]-4:C[5,6,6a]-3:H-1:  C[3x5,6]-4:C[5,6,6a]-3:C[6a]-3:  C[3x5,6]-4:  341_3_1  413_30_1  567_2686_0  116.4267  0.146  3  116.4267  0.021  3  116.4267  0.021  3  116.4267  0.021  3  116.4267  0.021  3  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,3x6]  C[5,6,6a]  H  3:4:4:1:  4:3:3:  4:  C[5,6,6a]-3:C[5,6,6]-4:C[4x6]-4:H-1:  C[5,3x6]-4:C[5,6a]-3:C[6,6a]-3:  C[5,3x6]-4:  399_243_2  413_37_2  567_3440_0  110.3260  0.000  1  110.5760  0.107  4  110.5760  0.107  4  110.5760  0.107  4  110.8042  0.341  5  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,3x6]  C[5,6,6a]  H  3:4:4:1:  4:3:3:  4:  C[5,6,6a]-3:C[5,6,6]-4:C[4x6]-4:H-1:  C[5,3x6]-4:C[5,6a]-3:C[6,6a]-3:  C[5,3x6]-4:  399_243_1  413_37_1  567_3440_0  110.6593  0.346  3  110.5760  0.107  4  110.5760  0.107  4  110.5760  0.107  4  110.8042  0.341  5  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,3x6]  C[5,6,6a]  H  4:3:4:1:  4:3:3:  4:  C[5,5,6,6]-4:C[5,6,6a]-3:C[4x6]-4:H-1:  C[5,3x6]-4:C[5,6a]-3:C[6,6a]-3:  C[5,3x6]-4:  399_117_1  413_36_1  567_3432_0  111.7170  0.000  1  111.7170  0.000  1  111.7170  0.000  1  111.7170  0.000  1  110.8042  0.341  5  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6,6]  C[5,6,6a]  H  4:3:4:1:  4:3:3:  4:  C[5,5,6]-4:C[5,6,6a]-3:C[5,6,6]-4:H-1:  C[5,5,6,6]-4:C[5,6,6a]-3:C[6a]-3:  C[5,5,6,6]-4:  404_138_1  413_95_1  567_3488_0  115.9370  0.000  1  115.9370  0.000  1  116.1210  0.068  2  116.1210  0.068  2  116.1210  0.068  2  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6,6]  C[5,6,6a]  H  4:3:4:1:  4:3:3:  4:  C[5,5,6]-4:C[5,6,6a]-3:C[5,6,6]-4:H-1:  C[5,5,6,6]-4:C[5,6,6a]-3:C[6a]-3:  C[5,5,6,6]-4:  404_139_1  413_95_2  567_3488_0  116.3050  0.000  1  116.3050  0.000  1  116.1210  0.068  2  116.1210  0.068  2  116.1210  0.068  2  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:3:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-3:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1301_2  408_5_1  567_3624_0  117.7875  0.698  2  117.7875  0.487  2  117.9257  0.527  4  117.9257  0.527  4  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:3:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-3:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1301_1  408_6_1  567_3624_0  118.0640  1.008  2  118.0640  1.017  2  117.9257  0.527  4  117.9257  0.527  4  116.4328  0.897  19  110.8175  3.411  8466  
