454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5]-3:C[5]-3:	C[5,5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]H)	C[5,5](C[5,5]C[5]S[5])(S[5]C[5])2	C[5](C[5]C[5,5]C[6a])(S[5]C[5,5])(H)	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]H){1|S<2>,2|C<3>}	C[5,5](C[5,5]C[5]S[5])(S[5]C[5])2{1|C<3>,1|H<1>,1|S<1>}	C[5](C[5]C[5,5]C[6a])(S[5]C[5,5])(H){2|C<3>,2|S<2>}	89.9085	0.000	1	89.9085	0.000	1     90.2904       0.340      7      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	C[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]Br)	C[5,5a](C[5,5a]N[5a]C[5])(N[5a]C[5a])(S[5]C[5])	C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br)	S[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]Br){1|C<3>,1|H<1>,1|N<3>}	C[5,5a](C[5,5a]N[5a]C[5])(N[5a]C[5a])(S[5]C[5]){1|Br<1>,3|H<1>}	C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br){1|N<2>,1|N<3>}	89.2123	0.000	1	89.2123	0.000	1     89.2123       0.000      1      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]C[5a,6a]C[5])(N[5a]C[5a,6a])(S[5]C[5])	C[5](C[5]N[5,5a]C)(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){1|C<4>,2|C<3>}	C[5,5a](N[5,5a]C[5a,6a]C[5])(N[5a]C[5a,6a])(S[5]C[5]){1|C<4>,1|H<1>,2|C<3>}	C[5](C[5]N[5,5a]C)(S[5]C[5,5a])(H){1|C<3>,1|N<2>}	89.9357	0.004	2	89.9357	0.004	2     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]C[5a,6a]C[5])(N[5a]C[5a,6a])(S[5]C[5])	C[5](C[5]N[5,5a]C[6a])(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){3|C<3>}	C[5,5a](N[5,5a]C[5a,6a]C[5])(N[5a]C[5a,6a])(S[5]C[5]){1|H<1>,3|C<3>}	C[5](C[5]N[5,5a]C[6a])(S[5]C[5,5a])(H){1|N<2>,3|C<3>}	90.0779	0.000	1	90.0779	0.000	1     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5])	C[5](C[5]N[5,5a]C)(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){1|C<4>,2|C<3>}	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5]){1|C<3>,1|C<4>,2|H<1>}	C[5](C[5]N[5,5a]C)(S[5]C[5,5a])(H){1|C<3>,1|N<2>}	89.7804	0.070	4	89.7804	0.070	4     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5])	C[5](C[5]N[5,5a]H)(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5]){1|C<3>,1|C<4>,2|H<1>}	C[5](C[5]N[5,5a]H)(S[5]C[5,5a])(H){1|C<3>,1|N<2>}	89.3217	0.212	3	89.4269	0.273	4     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5])	C[5](C[5]N[5,5a]H)(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5,5a](N[5,5a]C[5a]C[5])(N[5a]C[5a])(S[5]C[5]){1|C<4>,3|H<1>}	C[5](C[5]N[5,5a]H)(S[5]C[5,5a])(H){1|C<3>,1|N<2>}	89.7427	0.000	1	89.4269	0.273	4     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,5a]-3:C[5]-3:	N[5,5a]-3:N[5a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H)	C[5,5a](N[5,5a]N[5a]C[5])(N[5a]C[5a])(S[5]C[5])	C[5](C[5]N[5,5a]C[6a])(S[5]C[5,5a])(H)	S[5](C[5,5a]N[5,5a]N[5a])(C[5]C[5]H){1|N<2>,2|C<3>}	C[5,5a](N[5,5a]N[5a]C[5])(N[5a]C[5a])(S[5]C[5]){1|H<1>,2|C<3>}	C[5](C[5]N[5,5a]C[6a])(S[5]C[5,5a])(H){2|C<3>,2|N<2>}	89.6015	0.000	1	89.6015	0.000	1     89.6983       0.274      12      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	C[5,6]-3:P[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]C[5,6]P[6])(C[5]C[5]H)	C[5,6](C[5,6]C[5,6]C[5])(P[6]C[6])(S[5]C[5])	C[5](C[5]C[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]C[5,6]P[6])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5,6](C[5,6]C[5,6]C[5])(P[6]C[6])(S[5]C[5]){2|H<1>,3|C<3>}	C[5](C[5]C[5,6]H)(S[5]C[5,6])(H){1|C<3>,1|P<2>}	92.0941	0.000	1	92.0941	0.000	1     92.0941       0.000      1      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	C[5,6]-3:S[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]C[5,6]S[6])(C[5]C[5]H)	C[5,6](C[5,6]C[5]N[6])(S[6]C[5,6])(S[5]C[5])	C[5](C[5]C[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]C[5,6]S[6])(C[5]C[5]H){1|C<3>,1|H<1>,1|N<3>}	C[5,6](C[5,6]C[5]N[6])(S[6]C[5,6])(S[5]C[5]){1|S<2>,2|C<3>,2|H<1>}	C[5](C[5]C[5,6]H)(S[5]C[5,6])(H){1|N<3>,1|S<2>}	90.9863	0.209	2	90.9863	0.209	2     90.9863       0.209      2      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]B[6]C[5])(N[6]C[5a,6])(S[5]C[5])	C[5](C[5]N[5,6]C)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|B<4>,1|C<3>,1|C<4>}	C[5,6](N[5,6]B[6]C[5])(N[6]C[5a,6])(S[5]C[5]){1|C<3>,1|C<4>,1|H<1>,1|N<3>,2|F<1>}	C[5](C[5]N[5,6]C)(S[5]C[5,6])(H){1|B<4>,1|N<2>}	89.9311	0.288	2	89.9311	0.288	2     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5])	C[5](C[5]N[5,6]C)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|C<3>,2|C<4>}	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5]){2|C<3>,2|C<4>,2|H<1>}	C[5](C[5]N[5,6]C)(S[5]C[5,6])(H){1|C<4>,1|N<2>}	91.0399	0.000	1	91.0399	0.000	1     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5])	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>}	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5]){1|Re<6>,2|H<1>,3|C<3>}	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H){1|C<3>,1|N<2>}	90.6862	0.000	1	90.6741	0.075	3     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5])	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5]){1|C<3>,1|N<2>,1|S<1>,2|H<1>}	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H){1|C<3>,1|N<2>}	90.7426	0.000	1	90.6741	0.075	3     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5])	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5,6](N[5,6]C[5]C[6])(N[6]C[6])(S[5]C[5]){1|C<4>,2|C<3>,2|H<1>}	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H){1|C<3>,1|N<2>}	90.5936	0.000	1	90.6741	0.075	3     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6]-3:C[5]-3:	N[5,6]-3:N[6]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H)	C[5,6](N[5,6]C[6,6a]C[5])(N[6]N[6])(S[5]C[5])	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H)	S[5](C[5,6]N[5,6]N[6])(C[5]C[5]H){1|C<3>,1|H<1>,1|N<2>}	C[5,6](N[5,6]C[6,6a]C[5])(N[6]N[6])(S[5]C[5]){2|C<3>,2|H<1>}	C[5](C[5]N[5,6]H)(S[5]C[5,6])(H){1|C<3>,1|N<2>}	90.0061	0.000	2	90.0061	0.000	2     90.3671       0.458      8      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5,6a]-3:C[5]-3:	C[5,6a]-3:N[6a]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5,6a]C[5,6a]N[6a])(C[5]C[5]H)	C[5,6a](C[5,6a]C[6a,6a]C[5])(N[6a]N[6a])(S[5]C[5])	C[5](C[5]C[5,6a]H)(S[5]C[5,6a])(H)	S[5](C[5,6a]C[5,6a]N[6a])(C[5]C[5]H){1|C<3>,1|H<1>,1|N<2>}	C[5,6a](C[5,6a]C[6a,6a]C[5])(N[6a]N[6a])(S[5]C[5]){2|C<3>,2|H<1>}	C[5](C[5]C[5,6a]H)(S[5]C[5,6a])(H){1|C<3>,1|N<2>}	90.6714	0.000	1	90.6714	0.000	1     90.6714       0.000      1      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]2)(C[5]C[5]H)	C[5](C[5]C[5]S[5])(C[5]C[5])(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]2)(C[5]C[5]H){1|C<2>,1|H<1>,1|S<2>}	C[5](C[5]C[5]S[5])(C[5]C[5])(S[5]C[5]){2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>}	92.4872	0.000	1	92.4872	0.000	1     92.4872       0.000      1      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]N[5])(C[5]C[5]Br)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]C[6a]N[5])(S[5]C[5])(Br)	S[5](C[5]C[5]N[5])(C[5]C[5]Br){1|C<3>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){1|Br<1>,3|C<3>}	C[5](C[5]C[6a]N[5])(S[5]C[5])(Br){3|C<3>}	87.7481	0.000	1	87.7481	0.000	1     88.0066       0.366      2      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]N[5])(C[5]C[5]Br)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]C)(S[5]C[5])(Br)	S[5](C[5]C[5]N[5])(C[5]C[5]Br){1|C<4>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){1|Br<1>,1|C<4>,2|C<3>}	C[5](C[5]N[5]C)(S[5]C[5])(Br){1|C<3>}	88.2652	0.000	1	88.2652	0.000	1     88.0066       0.366      2      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]C[5]2)(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|H<1>,2|C<3>}	C[5](C[5]C[5]2)(N[5]C[5])(S[5]C[5]){1|S<2>,2|H<1>,3|C<3>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|C<3>}	89.3871	0.168	4	89.3871	0.168	4     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]C[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|C<3>,1|H<1>,1|S<2>}	C[5](C[5]C[5]S[5])(N[5]C[5])(S[5]C[5]){2|H<1>,3|C<3>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|C<3>}	89.5194	0.150	4	89.5194	0.150	4     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]N[5]2)(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|H<1>,2|N<3>}	C[5](C[5]N[5]2)(N[5]C[5])(S[5]C[5]){1|Hg<2>,1|O<2>,2|C<4>,2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|C<3>}	89.2811	0.000	1	89.2811	0.000	1     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]C[6a]N[5])(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|C<3>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){1|H<1>,3|C<3>}	C[5](C[5]C[6a]N[5])(S[5]C[5])(H){3|C<3>}	88.7399	0.003	2	88.7399	0.003	2     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|C<4>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){1|C<4>,1|H<1>,2|C<3>}	C[5](C[5]N[5]C)(S[5]C[5])(H){1|C<3>}	88.6805	0.054	4	88.6805	0.054	4     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|H<1>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){2|C<3>,2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|C<3>}	88.8196	0.000	1	88.8196	0.000	1     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]N[5])(C[5]C[5]H)	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5])	C[5](C[5]N[5]O)(S[5]C[5])(H)	S[5](C[5]C[5]N[5])(C[5]C[5]H){1|N<2>,1|O<2>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5])(S[5]C[5]){1|H<1>,1|O<2>,2|C<3>}	C[5](C[5]N[5]O)(S[5]C[5])(H){1|C<3>}	89.9964	0.000	1	89.9964	0.000	1     89.1721       0.432      17      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]C[5]S)	C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]C[5]S){1|C<3>,1|H<1>}	C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5]){2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|S<2>}	91.4744	0.330	2	91.4744	0.330	2     91.4744       0.330      2      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S-2:	N[5]-3:S[5]-2:O-1:	S[5](C[5]C[5]S)(C[5]N[5]O)	C[5](C[5]N[5]S)(S[5]C[5])(SAu)	C[5](N[5]C[5]C)(S[5]C[5])(O)	S[5](C[5]C[5]S)(C[5]N[5]O){1|C<4>,1|S<2>}	C[5](C[5]N[5]S)(S[5]C[5])(SAu){1|C<4>,1|O<1>}	C[5](N[5]C[5]C)(S[5]C[5])(O){2|S<2>}	91.3521	0.031	2	91.3521	0.031	2     91.3521       0.031      2      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]S)(C[5]N[5]S)	C[5](C[5]N[5]S)(S[5]C[5])(SAu)	C[5](N[5]C[5]C)(S[5]C[5])(S)	S[5](C[5]C[5]S)(C[5]N[5]S){1|C<4>,1|S<2>}	C[5](C[5]N[5]S)(S[5]C[5])(SAu){1|C<4>,1|S<1>}	C[5](N[5]C[5]C)(S[5]C[5])(S){2|S<2>}	92.1274	0.131	3	92.1274	0.131	3     92.2031       0.163      10      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]S)(C[5]N[5]S)	C[5](C[5]N[5]S)(S[5]C[5])(SMo)	C[5](N[5]C[5]C)(S[5]C[5])(S)	S[5](C[5]C[5]S)(C[5]N[5]S){1|C<4>,1|S<2>}	C[5](C[5]N[5]S)(S[5]C[5])(SMo){1|C<4>,1|S<1>}	C[5](N[5]C[5]C)(S[5]C[5])(S){2|S<2>}	92.2590	0.183	4	92.2590	0.183	4     92.2031       0.163      10      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]S)(C[5]N[5]S)	C[5](C[5]N[5]S)(S[5]C[5])(SNi)	C[5](N[5]C[5]C)(S[5]C[5])(S)	S[5](C[5]C[5]S)(C[5]N[5]S){1|C<4>,1|S<2>}	C[5](C[5]N[5]S)(S[5]C[5])(SNi){1|C<4>,1|S<1>}	C[5](N[5]C[5]C)(S[5]C[5])(S){2|S<2>}	92.2041	0.194	3	92.2041	0.194	3     92.2031       0.163      10      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]S[5])(C[5]C[5]Br)	C[5](C[5]S[5]2)(S[5]C[5])2	C[5](C[5]S[5]Br)(S[5]C[5])(Br)	S[5](C[5]C[5]S[5])(C[5]C[5]Br){1|Br<1>,2|S<2>}	C[5](C[5]S[5]2)(S[5]C[5])2{2|Br<1>,2|C<3>}	C[5](C[5]S[5]Br)(S[5]C[5])(Br){1|C<3>}	94.4913	0.617	7	94.4913	0.617	7     94.4913       0.617      7      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:Cl-1:	S[5](C[5]C[5]S[5])(C[5]C[5]Cl)	C[5](C[5]Se[5]2)(S[5]C[5])2	C[5](C[5]S[5]I)(S[5]C[5])(Cl)	S[5](C[5]C[5]S[5])(C[5]C[5]Cl){2|Se<2>,1|I<1>}	C[5](C[5]Se[5]2)(S[5]C[5])2{1|Cl<1>,1|I<1>,2|C<3>}	C[5](C[5]S[5]I)(S[5]C[5])(Cl){1|C<3>}	94.9792	0.000	1	94.9792	0.000	1     94.9792       0.000      1      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]S[5])(C[5]C[5]H)	C[5](C[5]C[5,5]2)(S[5]C[5])2	C[5](C[5]S[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]S[5])(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>}	C[5](C[5]C[5,5]2)(S[5]C[5])2{1|C<3>,1|C<4>,2|H<1>,3|S<2>}	C[5](C[5]S[5]H)(S[5]C[5])(H){1|C<3>}	95.2576	0.195	2	95.2576	0.195	2     94.8659       0.586      480      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]S[5])(C[5]C[5]H)	C[5](C[5]C[5]S[5])(S[5]C[5])2	C[5](C[5]S[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]S[5])(C[5]C[5]H){1|C<3>,1|H<1>,1|S<2>}	C[5](C[5]C[5]S[5])(S[5]C[5])2{1|C<3>,1|O<1>,1|S<2>,2|H<1>}	C[5](C[5]S[5]H)(S[5]C[5])(H){1|C<3>}	95.2883	0.500	16	95.3470	0.662	34     94.8659       0.586      480      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]S[5])(C[5]C[5]H)	C[5](C[5]C[5]S[5])(S[5]C[5])2	C[5](C[5]S[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]S[5])(C[5]C[5]H){1|C<3>,1|H<1>,1|S<2>}	C[5](C[5]C[5]S[5])(S[5]C[5])2{1|C<3>,1|S<1>,1|S<2>,2|H<1>}	C[5](C[5]S[5]H)(S[5]C[5])(H){1|C<3>}	95.4078	0.793	16	95.3470	0.662	34     94.8659       0.586      480      94.0469     2.027     727
454	818	818	3:3:	3:2:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:S[5]-2:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]S[5])(C[5]C[5]H)	C[5](C[5]C[5]S[5])(S[5]C[5])2	C[5](C[5]S[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]S[5])(C[5]C[5]H){1|C<3>,1|H<1>,1|S<2>}	C[5](C[5]C[5]S[5])(S[5]C[5])2{1|C<3>,2|H<1>,2|S<2>}	C[5](C[5]S[5]H)(S[5]C[5])(H){1|C<3>}	95.3302	1.074	2	95.3470	0.662	34     94.8659       0.586      480      94.0469     2.027     727
