466	762	790	3:4:3:1:	3:4:1:	4:	C[6]-3:C[6]-4:C-3:Cl-1:	C[6,6a]-3:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6a]O)(C[6]C[6]HH)(COO)(Cl)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClC)(O)	Cl(C[6]C[6]2C)	C[6](C[6]C[6,6a]O)(C[6]C[6]HH)(COO)(Cl){2|C<3>,2|H<1>}	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClC)(O){1|C<4>,2|C<3>,3|H<1>}	Cl(C[6]C[6]2C)	108.5460	0.000	1	108.5460	0.000	1     108.5460       0.000      1      108.5460     0.000     1
466	762	790	3:4:3:1:	4:4:1:	4:	C[6]-3:C[6]-4:C-3:Cl-1:	C[6,6]-4:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(COO)(Cl)	C[6](C[6,6]C[6,6]C[6]H)(C[6]C[6]ClC)(O)	Cl(C[6]C[6]2C)	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(COO)(Cl){2|C<4>,3|H<1>}	C[6](C[6,6]C[6,6]C[6]H)(C[6]C[6]ClC)(O){4|C<4>,4|H<1>}	Cl(C[6]C[6]2C)	104.7210	0.000	1	104.7210	0.000	1     104.7210       0.000      1      104.7210     0.000     1
466	762	790	4:3:1:1:	3:4:1:	4:	C[5,6]-4:C[6]-3:Cl-1:H-1:	C[5,6]-3:C[6]-4:Cl-1:	C[6]-4:	C[6](C[5,6]C[5,6]C[5]O)(C[6]C[5,6]Cl)(Cl)(H)	C[6](C[5,6]C[5,5,6]C[5,6])(C[6]C[5,6]ClH)(Cl)	Cl(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]C[5]O)(C[6]C[5,6]Cl)(Cl)(H){1|C<3>,2|H<1>,3|C<4>}	C[6](C[5,6]C[5,5,6]C[5,6])(C[6]C[5,6]ClH)(Cl){1|C<3>,1|H<1>,1|O<2>,5|C<4>}	Cl(C[6]C[5,6]C[6]H)	106.9400	0.000	1	106.9400	0.000	1     106.9400       0.000      1      108.5340     2.254     2
466	762	790	4:3:1:1:	3:4:1:	4:	C[5,6]-4:C[6]-3:Cl-1:H-1:	C[6,6]-3:C[6]-4:H-1:	C[6]-4:	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6,6]H)(Cl)(H)	C[6](C[6,6]C[6,6]C[6])(C[6]C[5,6]ClH)(H)	Cl(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6,6]H)(Cl)(H){1|H<1>,1|O<2>,3|C<4>}	C[6](C[6,6]C[6,6]C[6])(C[6]C[5,6]ClH)(H){1|C<4>,3|O<2>,4|H<1>}	Cl(C[6]C[5,6]C[6]H)	110.1280	0.000	1	110.1280	0.000	1     110.1280       0.000      1      108.5340     2.254     2
466	762	790	4:3:1:1:	3:4:3:	4:	C[6]-4:C[6]-3:Cl-1:H-1:	C[5,6]-3:C[6]-4:C-3:	C[6]-4:	C[6](C[6]C[6]ClH)(C[6]C[5,6]C)(Cl)(H)	C[6](C[5,6]C[5,6a]N[5,6])(C[6]C[6]ClH)(COO)	Cl(C[6]C[6]2H)	C[6](C[6]C[6]ClH)(C[6]C[5,6]C)(Cl)(H){1|Cl<1>,1|C<3>,1|H<1>,1|N<3>}	C[6](C[5,6]C[5,6a]N[5,6])(C[6]C[6]ClH)(COO){1|Cl<1>,1|C<4>,1|H<1>,1|N<2>,2|C<3>}	Cl(C[6]C[6]2H)	109.9950	0.000	1	109.9950	0.000	1     109.9950       0.000      1      109.9950     0.000     1
466	762	790	4:3:1:1:	4:3:1:	4:	C[5,5,6,6]-4:C[6]-3:Cl-1:Cl-1:	C[6]-4:C[6]-3:O-1:	C[6]-4:	C[6](C[5,5,6,6]C[5,6,6]C[5,6]O[5,5])(C[6]C[6]O)(Cl)2	C[6](C[6]C[5,5,6,6]Cl2)(C[6]C[6]H)(O)	Cl(C[6]C[5,5,6,6]C[6]Cl)	C[6](C[5,5,6,6]C[5,6,6]C[5,6]O[5,5])(C[6]C[6]O)(Cl)2{2|C<3>,3|C<4>,3|H<1>}	C[6](C[6]C[5,5,6,6]Cl2)(C[6]C[6]H)(O){1|H<1>,1|O<2>,2|C<4>}	Cl(C[6]C[5,5,6,6]C[6]Cl)	107.2790	2.833	2	107.2790	2.833	2     107.2790       2.833      2      108.6277     2.024     12
466	762	790	4:3:1:1:	4:3:1:	4:	C[5,6]-4:C[6]-3:Cl-1:H-1:	C[6]-4:C[6]-3:H-1:	C[6]-4:	C[6](C[5,6]C[5,6]C[5]O)(C[6]C[6]H)(Cl)(H)	C[6](C[6]C[5,6]ClH)(C[6]C[6]Br)(H)	Cl(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]C[5]O)(C[6]C[6]H)(Cl)(H){1|Br<1>,1|N<3>,1|O<1>,3|C<4>}	C[6](C[6]C[5,6]ClH)(C[6]C[6]Br)(H){1|C<3>,1|C<4>,1|O<2>,2|H<1>}	Cl(C[6]C[5,6]C[6]H)	110.1397	0.909	3	110.1397	0.909	3     110.1397       0.909      3      108.6277     2.024     12
466	762	790	4:3:1:1:	4:3:1:	4:	C[6,6]-4:C[6]-3:Cl-1:Cl-1:	C[6]-4:N[6]-3:O-1:	C[6]-4:	C[6](C[6,6]C[6,6]C[6]H)(C[6]N[6]O)(Cl)2	C[6](C[6]C[6,6]Cl2)(N[6]C[6,6]H)(O)	Cl(C[6]C[6,6]C[6]Cl)	C[6](C[6,6]C[6,6]C[6]H)(C[6]N[6]O)(Cl)2{1|Cl<1>,2|C<4>,4|H<1>}	C[6](C[6]C[6,6]Cl2)(N[6]C[6,6]H)(O){2|H<1>,3|C<4>}	Cl(C[6]C[6,6]C[6]Cl)	106.5265	3.538	2	106.5265	3.538	2     106.5265       3.538      2      108.6277     2.024     12
466	762	790	4:3:1:1:	4:3:1:	4:	C[6]-4:C[6]-3:Cl-1:H-1:	C[6]-4:C[6]-3:Cl-1:	C[6]-4:	C[6](C[6]C[6]Cl2)(C[6]C[6]Cl)(Cl)(H)	C[6](C[6]C[6]ClH)(C[6]C[6]H)(Cl)	Cl(C[6]C[6]2H)	C[6](C[6]C[6]Cl2)(C[6]C[6]Cl)(Cl)(H){1|C<4>,1|H<1>,1|O<1>}	C[6](C[6]C[6]ClH)(C[6]C[6]H)(Cl){3|Cl<1>,1|C<3>,1|C<4>}	Cl(C[6]C[6]2H)	109.8700	0.000	1	109.8700	0.000	1     109.8700       0.000      1      108.6277     2.024     12
466	762	790	4:3:1:1:	4:3:1:	4:	C[6]-4:C[6]-3:Cl-1:H-1:	C[6]-4:C[6]-3:H-1:	C[6]-4:	C[6](C[6]C[6]ClH)(C[6]C[6]H)(Cl)(H)	C[6](C[6]C[6]ClH)(C[6]C[6]H)(H)	Cl(C[6]C[6]2H)	C[6](C[6]C[6]ClH)(C[6]C[6]H)(Cl)(H){1|C<4>,1|O<2>,2|H<1>}	C[6](C[6]C[6]ClH)(C[6]C[6]H)(H){1|Cl<1>,1|C<4>,1|O<2>,2|H<1>}	Cl(C[6]C[6]2H)	108.2110	0.000	1	108.2110	0.000	1     109.0257       0.868      3      108.6277     2.024     12
