362  362  951  0:SPD6_SP-NON_SPD6  C[3x3,4,6]  C[3,3,4,4,6]  H  7:7:6:3:2:1:  7:6:6:2:2:1:  6:  C[6x3]-7:C[4x3,4,6]-7:C[3,3,4,4,6]-6:H[3,3]-3:H[4]-2:H-1:  C[6x3]-7:C[3x3,4,6]-6:C[3,3,4,4,6]-6:H[4]-2:H[4]-2:H-1:  C[3x3,4,6]-6:  317_0_1  246_0_1  567_2623_0  91.8388  1.566  2  91.8388  2.452  2  91.8388  2.452  2  91.8388  2.452  2  91.8388  2.452  2  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3,3]  H  7:5:6:2:1:1:  7:6:6:1:1:1:  6:  C[4x3,4,4]-7:C[3,3,3x4]-5:C[3,3]-6:H[3]-2:H-1:H-1:  C[4x3,4,4]-7:C[3x3]-6:C[3x3]-6:H-1:H-1:H-1:  C[3x3]-6:  333_18_1  260_37_1  567_2637_0  77.2028  16.752  2  77.2028  280.629  2  77.2028  280.629  2  77.2028  280.629  2  72.6700  176.041  4  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3,3]  H  7:6:5:2:1:1:  7:6:6:1:1:1:  6:  C[4x3,4,4]-7:C[3,3]-6:C[3,3]-5:H[3]-2:H-1:H-1:  C[4x3,4,4]-7:C[3x3]-6:C[3x3]-6:H-1:H-1:H-1:  C[3x3]-6:  333_19_1  260_37_1  567_2644_0  68.1371  12.857  2  68.1371  165.305  2  68.1371  165.305  2  68.1371  165.305  2  72.6700  176.041  4  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3x3]  H  6:4:2:2:1:1:  6:4:2:2:1:1:  6:  C[3x3]-6:N[3]-4:H[3]-2:H[3]-2:H-1:H-1:  C[3x3]-6:N[3]-4:H[3]-2:H[3]-2:H-1:H-1:  C[3x3]-6:  333_16_0  333_16_0  567_2643_0  125.1944  41.210  4  125.1944  1698.289  4  125.1944  1698.289  4  125.1944  1698.289  4  123.8413  834.234  10  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3x3]  H  6:4:2:2:4:1:  6:4:2:2:4:1:  6:  C[3x3]-6:C[3]-4:H[3]-2:H[3]-2:C-4:H-1:  C[3x3]-6:C[3]-4:H[3]-2:H[3]-2:C-4:H-1:  C[3x3]-6:  333_7_0  333_7_0  567_2640_0  118.4031  35.323  2  118.4031  1247.696  2  118.4031  1247.696  2  118.4031  1247.696  2  123.8413  834.234  10  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3x3]  H  6:5:3:2:1:1:  7:5:6:3:1:1:  6:  C[3x3]-6:N[3x3]-5:H[3,3]-3:H[3]-2:H-1:H-1:  C[4x3]-7:N[3x3]-5:C[3x3]-6:H[3,3]-3:H-1:H-1:  C[3x3]-6:  333_15_1  333_21_1  567_2642_0  125.1950  15.568  2  125.1950  242.352  2  125.1950  242.352  2  125.1950  242.352  2  123.8413  834.234  10  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3]  C[3x3]  H  7:5:6:3:1:1:  6:5:3:2:1:1:  6:  C[4x3]-7:N[3x3]-5:C[3x3]-6:H[3,3]-3:H-1:H-1:  C[3x3]-6:N[3x3]-5:H[3,3]-3:H[3]-2:H-1:H-1:  C[3x3]-6:  333_21_1  333_15_1  567_2641_0  125.2195  29.142  2  125.2195  849.256  2  125.2195  849.256  2  125.2195  849.256  2  123.8413  834.234  10  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  5:6:6:6:6:6:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:H-1:  C[3x3,3x5,12x6]-5:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:  C[5x3,5x5,20x6]-6:  434_201_1  434_345_1  567_5359_0  116.9820  0.000  1  116.9820  0.000  1  116.9820  0.000  1  116.9820  0.000  1  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_0_1  434_0_1  567_5359_0  121.5107  0.280  18  121.5107  0.078  18  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_14_1  434_14_1  567_5359_0  116.2540  1.407  2  116.2540  1.980  2  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
