474	690	914	4:4:2:1:	4:	4:3:	C[5,5]-4:C[5,6]-4:N[6]-2:H-1:	C[5,6]-4:	C[5,6]-4:C[6]-3:	C[5,6](C[5,5]C[5,5]C[5]H)(C[5,6]C[6]N[5]H)(N[6]C[6])(H)	H(C[5,6]C[5,5]C[5,6]N[6])	N[6](C[5,6]C[5,5]C[5,6]H)(C[6]C[6]S)	C[5,6](C[5,5]C[5,5]C[5]H)(C[5,6]C[6]N[5]H)(N[6]C[6])(H){1|N<3>,1|O<1>,1|S<2>,2|H<1>,3|C<3>}	H(C[5,6]C[5,5]C[5,6]N[6])	N[6](C[5,6]C[5,5]C[5,6]H)(C[6]C[6]S){1|C<4>,1|N<3>,2|C<3>,3|H<1>}	108.2230	0.000	1	108.2230	0.000	1     108.2230       0.000      1      109.5980     1.945     2
474	690	914	4:4:2:1:	4:	4:3:	C[5,6]-4:C[5]-4:N[6]-2:H-1:	C[5,6]-4:	C[5,6]-4:C[6]-3:	C[5,6](C[5,6]C[6]N[5]H)(C[5]C[5]HO)(N[6]C[6])(H)	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[5,6]C[5,6]C[5]H)(C[6]O[6]O)	C[5,6](C[5,6]C[6]N[5]H)(C[5]C[5]HO)(N[6]C[6])(H){1|O<1>,1|O<2>,1|S<4>,4|H<1>}	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[5,6]C[5,6]C[5]H)(C[6]O[6]O){1|N<3>,1|O<2>,2|C<4>,2|H<1>}	110.9730	0.000	1	110.9730	0.000	1     110.9730       0.000      1      109.5980     1.945     2
474	690	930	2:2:3:1:	4:	4:2:1:	O[5]-2:S[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](O[5]C[5])(S[5]C[5])(COO)(H)	H(C[5]O[5]S[5]C)	C(C[5]O[5]S[5]H)(OC[6])(O)	C[5](O[5]C[5])(S[5]C[5])(COO)(H){1|O<2>,3|H<1>}	H(C[5]O[5]S[5]C)	C(C[5]O[5]S[5]H)(OC[6])(O)	111.7200	0.000	1	111.7200	0.000	1     111.7200       0.000      1      111.7200     0.000     1
474	690	930	3:2:3:1:	4:	4:2:1:	C[5,6a]-3:S[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(S[5]C[5])(COO)(H)	H(C[5]C[5,6a]S[5]C)	C(C[5]C[5,6a]S[5]H)(OH)(O)	C[5](C[5,6a]C[5,6a]C[6a])(S[5]C[5])(COO)(H){2|C<3>,3|H<1>}	H(C[5]C[5,6a]S[5]C)	C(C[5]C[5,6a]S[5]H)(OH)(O)	109.5390	0.000	1	109.5390	0.000	1     109.5390       0.000      1      109.5390     0.000     1
474	690	930	3:2:3:1:	4:	4:3:1:	C[5]-3:O[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:C-3:H-1:	C[5](C[5]C[5]C)(O[5]C[5])(CCH)(H)	H(C[5]C[5]O[5]C)	C(C[5]C[5]O[5]H)(CCC)(H)	C[5](C[5]C[5]C)(O[5]C[5])(CCH)(H){1|C<4>,2|H<1>}	H(C[5]C[5]O[5]C)	C(C[5]C[5]O[5]H)(CCC)(H)	109.8430	0.000	1	109.8430	0.000	1     109.8430       0.000      1      109.8510     0.317     3
474	690	930	3:2:3:1:	4:	4:3:1:	N[5]-3:S[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:C-3:H-1:	C[5](N[5]C[5,6a]S)(S[5]C[5,6a])(CCH)(H)	H(C[5]N[5]S[5]C)	C(C[5]N[5]S[5]H)(CC[6a]H)(H)	C[5](N[5]C[5,6a]S)(S[5]C[5,6a])(CCH)(H){2|C<3>}	H(C[5]N[5]S[5]C)	C(C[5]N[5]S[5]H)(CC[6a]H)(H)	109.5380	0.000	1	109.5380	0.000	1     109.8550       0.448      2      109.8510     0.317     3
474	690	930	3:2:3:1:	4:	4:3:1:	N[5]-3:S[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:C-3:H-1:	C[5](N[5]C[5]C)(S[5]C[5])(CCH)(H)	H(C[5]N[5]S[5]C)	C(C[5]N[5]S[5]H)(CCC)(H)	C[5](N[5]C[5]C)(S[5]C[5])(CCH)(H){1|C<3>,1|H<1>,2|C<4>}	H(C[5]N[5]S[5]C)	C(C[5]N[5]S[5]H)(CCC)(H)	110.1720	0.000	1	110.1720	0.000	1     109.8550       0.448      2      109.8510     0.317     3
474	690	930	3:2:3:1:	4:	4:4:3:	C[5]-3:O[5]-2:C-3:H-1:	C[5]-4:	C[5]-4:C-4:C-3:	C[5](C[5]C[5,6a]C)(O[5]C[5,6a])(CCC)(H)	H(C[5]C[5]O[5]C)	C(C[5]C[5]O[5]H)(CH3)(CHH)	C[5](C[5]C[5,6a]C)(O[5]C[5,6a])(CCC)(H){2|C<3>}	H(C[5]C[5]O[5]C)	C(C[5]C[5]O[5]H)(CH3)(CHH)	109.4080	0.000	1	109.4080	0.000	1     109.4080       0.000      1      109.4080     0.000     1
474	690	930	3:3:3:1:	4:	4:2:1:	C[5,6a]-3:C[5,6a]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:H-1:	C[5](C[5,6a]C[5,6a]C[6a])2(CHO)(H)	H(C[5]C[5,6a]2C)	C(C[5]C[5,6a]2H)(OC)(H)	C[5](C[5,6a]C[5,6a]C[6a])2(CHO)(H){2|H<1>,4|C<3>}	H(C[5]C[5,6a]2C)	C(C[5]C[5,6a]2H)(OC)(H)	101.2320	0.000	1	101.2320	0.000	1     101.2320       0.000      1      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	C[5,6a]-3:C[5,6a]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[5,6a]C[5,6a]2)(COO)(H)	H(C[5]C[5,6a]2C)	C(C[5]C[5,6a]2H)(OC)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[5,6a]C[5,6a]2)(COO)(H){1|H<1>,5|C<3>}	H(C[5]C[5,6a]2C)	C(C[5]C[5,6a]2H)(OC)(O)	110.4210	1.113	3	110.4210	1.113	3     110.4210       1.113      3      109.4669     2.771     12
