849  762  951  0:SP3_SP-NON_SP2  P[6]  C[6]  H  3:3:4:1:  4:3:3:  4:  C[6]-3:C[6a]-3:C[6]-4:H-1:  P[6]-4:C[6a]-3:C[6]-3:  P[6]-4:  748_133_1  449_36332_1  567_7642_0  103.6340  0.000  1  103.6340  0.000  1  103.6340  0.000  1  103.6340  0.000  1  103.6340  0.000  1  103.6340  0.000  1  
849  762  977  0:SP3_SP-NON_SP2  P[6]  C[6,6]  S  3:2:2:1:  3:4:2:  4:  C[6,6]-3:S[6]-2:S-2:S-1:  C[6,6,6a]-3:P[6]-4:C[6]-2:  P[6]-4:  748_58_1  446_2884_1  749_2856_0  114.4690  0.000  1  114.4690  0.000  1  114.4690  0.000  1  114.4690  0.000  1  114.4690  0.000  1  111.3933  7.569  3  
849  762  977  0:SP3_SP-NON_SP2  P[6]  C[6]  S  4:3:3:1:  3:4:1:  4:  C[6]-4:C[6a]-3:C[6]-3:S-1:  C[6]-3:P[6]-4:H-1:  P[6]-4:  748_115_1  449_18406_1  749_2866_0  109.8555  0.974  2  109.8555  0.948  2  109.8555  0.948  2  109.8555  0.948  2  109.8555  0.948  2  111.3933  7.569  3  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_239_1  458_883_0  458_883_0  98.9060  0.000  1  98.9060  0.000  1  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_275_1  458_883_0  458_883_0  104.0780  0.000  1  104.0780  0.000  1  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_276_1  458_883_0  458_883_0  101.0724  0.183  8  101.0724  0.034  8  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_279_2  458_883_0  458_883_0  99.8373  0.251  4  100.2646  0.587  28  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_279_6  458_883_0  458_883_0  100.4986  0.940  2  100.2646  0.587  28  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_279_3  458_883_0  458_883_0  100.1150  0.000  1  100.2646  0.587  28  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
849  790  790  0:SP3_SP-NON_SP-NON  P[6]  Cl  Cl  2:2:1:1:  4:  4:  N[6]-2:N[6]-2:Cl-1:Cl-1:  P[6]-4:  P[6]-4:  748_279_4  458_883_0  458_883_0  101.0576  0.444  8  100.2646  0.587  28  100.6345  1.530  242  100.6345  1.530  242  100.9254  2.513  261  100.9254  2.513  261  
