478	790	818	4:4:3:1:	4:	3:4:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[5,6a]-3:C[4,5]-4:O-1:	C[4,5](C[4,5]C[5,6a]C[4,5]Cl)2(C[5]C[5,6a]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2Cl)(O)	C[4,5](C[4,5]C[5,6a]C[4,5]Cl)2(C[5]C[5,6a]O)(Cl){1|Cl<1>,5|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2Cl)(O){2|Cl<1>,1|C<4>,1|H<1>,3|C<3>}	111.0180	0.000	1	111.7280	1.004	2     111.7280       1.004      2      111.7280     1.004     2
478	790	818	4:4:3:1:	4:	3:4:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[5,6a]-3:C[4,5]-4:O-1:	C[4,5](C[4,5]C[5,6a]C[4,5]Cl)2(C[5]C[5,6a]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2Cl)(O)	C[4,5](C[4,5]C[5,6a]C[4,5]Cl)2(C[5]C[5,6a]O)(Cl){1|Cl<1>,5|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2Cl)(O){3|Cl<1>,1|C<4>,3|C<3>}	112.4380	0.000	1	111.7280	1.004	2     111.7280       1.004      2      111.7280     1.004     2
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4,5]C[5]Cl)(C[4,5]C[4,5]S[5]H)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[4,5]C[5]Cl)(C[4,5]C[4,5]S[5]H)(C[5]N[5]O)(Cl){1|C<4>,1|O<1>,3|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O){1|Cl<1>,1|C<4>,1|H<1>,1|O<1>,1|S<2>}	111.9060	0.000	1	111.9060	0.000	1     110.1030       2.033      4      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4,5]C[6a]O[5])(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[4,5]C[6a]O[5])(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl){1|C<4>,1|H<1>,1|O<1>,4|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O){1|Cl<1>,1|C<3>,1|C<4>,1|O<1>,1|O<2>}	111.8200	0.000	1	111.8200	0.000	1     110.1030       2.033      4      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[5,6a]C[4,5]C[6a])(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[5,6a]C[4,5]C[6a])(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl){1|C<4>,1|H<1>,1|O<1>,1|S<2>,4|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O){1|Cl<1>,1|C<4>,1|O<1>,2|C<3>}	108.2710	0.000	1	108.2710	0.000	1     110.1030       2.033      4      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4,5]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[5,6a]C[4,5]H)(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[5,6a]C[4,5]H)(C[4,5]C[4,5]C[5]Cl)(C[5]N[5]O)(Cl){1|C<4>,1|O<1>,1|O<2>,3|C<3>}	Cl(C[4,5]C[4,5]2C[5])	C[5](C[4,5]C[4,5]2Cl)(N[5]C[5]C)(O){1|Cl<1>,1|C<3>,1|C<4>,1|H<1>,1|O<1>}	108.4150	0.000	1	108.4150	0.000	1     110.1030       2.033      4      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]HH)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]HH)(C[5]N[5]O)(Cl){1|O<1>,3|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O){1|Cl<1>,1|C<4>,1|O<1>,2|C<3>,2|H<1>}	107.5050	0.000	1	107.5050	0.000	1     109.1493       1.586      3      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]2C[4])(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]2C[4])(C[5]N[5]O)(Cl){1|O<1>,2|H<1>,5|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O){1|Cl<1>,1|C<4>,1|O<1>,4|C<3>}	110.6700	0.000	1	110.6700	0.000	1     109.1493       1.586      3      109.6943     1.779     7
478	790	818	4:4:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-4:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]C[4]H)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]C[4]H)(C[5]N[5]O)(Cl){1|C<4>,1|O<1>,3|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[5]C)(O){1|Cl<1>,1|H<1>,1|O<1>,2|C<3>}	109.2730	0.000	1	109.2730	0.000	1     109.1493       1.586      3      109.6943     1.779     7
478	790	846	4:3:1:1:	4:	3:4:1:	C[4,5]-4:C[4]-3:Cl-1:H-1:	C[4]-4:	N[4,5]-3:C[4]-4:O-1:	C[4](C[4,5]N[4,5]S[5]H)(C[4]N[4,5]O)(Cl)(H)	Cl(C[4]C[4,5]C[4]H)	C[4](N[4,5]C[4,5]C[5])(C[4]C[4,5]ClH)(O)	C[4](C[4,5]N[4,5]S[5]H)(C[4]N[4,5]O)(Cl)(H){2|C<4>,2|O<1>}	Cl(C[4]C[4,5]C[4]H)	C[4](N[4,5]C[4,5]C[5])(C[4]C[4,5]ClH)(O){1|S<4>,2|C<4>,2|H<1>}	115.3920	0.000	1	115.3920	0.000	1     115.3920       0.000      1      114.0412     2.884     9
