930	670	973	3:2:1:	3:3:1:	3:3:	N-3:O-2:O-1:	C[6a]-3:C-3:H-1:	C[6a]-3:C-3:	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]2)(COO)(H)	O(C[6a]C[6a,6a]C[6a])(CNO)	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]2)(COO)(H)	O(C[6a]C[6a,6a]C[6a])(CNO)	108.0570	0.000	1	108.0570	0.000	1     107.9456       0.825      17      108.1365     0.988     19
930	670	973	3:2:1:	3:3:1:	3:3:	N-3:O-2:O-1:	C[6a]-3:C-3:H-1:	C[6a]-3:C-3:	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]2)(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]2)(COO)(H)	O(C[6a]C[6a]2)(CNO)	107.9109	0.927	13	107.9109	0.927	13     107.9456       0.825      17      108.1365     0.988     19
930	670	973	3:2:1:	3:3:1:	3:3:	N-3:O-2:O-1:	C[6a]-3:C-3:H-1:	C[6a]-3:C-3:	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]N[6a])(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(NC[6a]H)(OC[6a])(O)	N(C[6a]C[6a]N[6a])(COO)(H)	O(C[6a]C[6a]2)(CNO)	108.0587	0.508	3	108.0587	0.508	3     107.9456       0.825      17      108.1365     0.988     19
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CC3)(CNO)	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CC3)(CNO)	110.1150	0.000	1	110.1150	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CC[6a]HH)(CNO)	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CC[6a]HH)(CNO)	110.8680	0.000	1	110.8680	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CH3)(CNO)	C(NCH)(OC)(O)	N(CCC)(COO)(H)	O(CH3)(CNO)	110.7190	0.000	1	110.7190	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CC3)(CNO)	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CC3)(CNO)	108.0280	0.000	1	108.0280	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CCHH)(CNO)	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CCHH)(CNO)	107.9170	0.000	1	107.9170	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CC[6a]HH)(CNO)	C(NCH)(OC)(O)	N(CCO)(COO)(H)	O(CC[6a]HH)(CNO)	113.1830	0.000	1	113.1830	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CC[6]O)(COO)(H)	O(CH3)(CNO)	C(NCH)(OC)(O)	N(CC[6]O)(COO)(H)	O(CH3)(CNO)	108.1870	0.000	1	108.1870	0.000	1     108.8426       1.196      81      109.1414     1.669     300
