610	490	762	3:3:3:4:	4:3:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CZrC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CZrC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	108.8047	3.519	3	108.8047	3.519	3     109.4094       3.657      21      109.4094     3.657     21
610	490	762	3:3:3:4:	4:3:4:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:C-4:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCCH)	C(BC[6a]3)(CC[6a]N)(CH3)(H)	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCCH)	C(BC[6a]3)(CC[6a]N)(CH3)(H)	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.3923	5.064	3	109.3923	5.064	3     109.3923       5.064      3      109.3923     5.064     3
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CC3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CC3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	110.3213	4.807	6	110.3213	4.807	6     109.8628       4.393      27      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCHN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCHN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	110.6233	5.899	3	110.6233	5.899	3     109.8628       4.393      27      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CH3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CH3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	110.1770	4.073	6	110.1770	4.073	6     109.8628       4.393      27      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CHHN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CHHN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.1068	3.772	6	109.1068	3.772	6     109.8628       4.393      27      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CHHP)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CHHP)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.4658	5.562	6	109.4658	5.562	6     109.8628       4.393      27      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C[5]-4:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	110.0188	4.068	6	110.0188	4.068	6     109.7173       4.625      9      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C[5]-4:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5]2Zr)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5]2Zr)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.1143	6.586	3	109.1143	6.586	3     109.7173       4.625      9      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C[6]-4:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CC[6]HH)	C(C[6]C[6]N[6]H)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CC[6]HH)	C(C[6]C[6]N[6]H)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	110.6760	5.849	3	110.6760	5.849	3     110.6760       5.849      3      109.9248     4.472     46
