74	478	998	4:4:3:	4:3:3:1:	4:3:4:1:	P[4,5]-4:C[4]-4:C[6a]-3:	C[4,5]-4:N[4]-3:C[6a]-3:H-1:	C[4,5]-4:N[4]-3:P[5]-4:O-1:	N[4](P[4,5]C[4,5]P[5]O)(C[4]C[4,5]C[6a]H)(C[6a]C[6a]2)	C[4](C[4,5]P[4,5]C[6a]C[5])(N[4]P[4,5]C[6a])(C[6a]C[6a]2)(H)	P[4,5](C[4,5]C[6a]C[4]C[5])(N[4]C[6a]C[4])(P[5]C[5]CO)(O)	N[4](P[4,5]C[4,5]P[5]O)(C[4]C[4,5]C[6a]H)(C[6a]C[6a]2){1|C<4>,1|O<1>,2|H<1>,7|C<3>}	C[4](C[4,5]P[4,5]C[6a]C[5])(N[4]P[4,5]C[6a])(C[6a]C[6a]2)(H){1|O<1>,1|P<4>,2|H<1>,8|C<3>}	P[4,5](C[4,5]C[6a]C[4]C[5])(N[4]C[6a]C[4])(P[5]C[5]CO)(O){1|H<1>,7|C<3>}	98.5604	0.000	1	98.5604	0.000	1     98.5604       0.000      1      98.5604     0.000     1
74	478	998	4:4:4:	4:3:3:1:	4:4:3:1:	P[4,5]-4:C[4]-4:C-4:	C[4,5]-4:C[6a]-3:N[4]-3:H-1:	C[4,5]-4:P[5]-4:N[4]-3:O-1:	N[4](P[4,5]C[4,5]P[5]O)(C[4]C[4,5]C[6a]H)(CC3)	C[4](C[4,5]P[4,5]C[6a]C[5])(C[6a]C[6a]2)(N[4]P[4,5]C)(H)	P[4,5](C[4,5]C[6a]C[4]C[5])(P[5]C[5]CO)(N[4]C[4]C)(O)	N[4](P[4,5]C[4,5]P[5]O)(C[4]C[4,5]C[6a]H)(CC3){1|C<4>,1|O<1>,5|C<3>}	C[4](C[4,5]P[4,5]C[6a]C[5])(C[6a]C[6a]2)(N[4]P[4,5]C)(H){1|O<1>,1|P<4>,2|H<1>,6|C<3>}	P[4,5](C[4,5]C[6a]C[4]C[5])(P[5]C[5]CO)(N[4]C[4]C)(O){1|H<1>,5|C<3>}	97.7446	0.000	1	97.7446	0.000	1     97.7446       0.000      1      97.7446     0.000     1
74	490	518	4:3:4:	3:4:4:4:	3:3:1:1:	S[4]-4:Se[4]-3:C-4:	N[4]-3:C-4:C-4:C-4:	N[4]-3:N[4]-3:O-1:O-1:	N[4](S[4]N[4]OO)(Se[4]N[4]N)(CC3)	C(N[4]Se[4]S[4])(CH3)3	S[4](N[4]Se[4]C)2(O)2	N[4](S[4]N[4]OO)(Se[4]N[4]N)(CC3){1|C<4>}	C(N[4]Se[4]S[4])(CH3)3	S[4](N[4]Se[4]C)2(O)2{1|N<2>}	123.8960	1.307	4	123.8960	1.307	4     123.8960       1.307      4      123.8960     1.307     4
74	490	742	4:3:4:	3:4:4:1:	3:3:3:3:	B[4]-4:C[4]-3:C-4:	N[4]-3:C-4:C-4:H-1:	C[6a]-3:C[6a]-3:N[4]-3:N[4]-3:	N[4](B[4]C[6a]2N[4])(C[4]C[6a]N[4])(CCCH)	C(N[4]B[4]C[4])(CH3)2(H)	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2	N[4](B[4]C[6a]2N[4])(C[4]C[6a]N[4])(CCCH){1|C<4>,6|C<3>}	C(N[4]B[4]C[4])(CH3)2(H)	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2{4|F<1>,5|C<3>}	139.7840	0.300	2	139.7840	0.300	2     140.9192       1.324      4      140.9192     1.324     4
74	490	742	4:3:4:	3:4:4:1:	3:3:3:3:	B[4]-4:C[4]-3:C-4:	N[4]-3:C-4:C-4:H-1:	C[6a]-3:C[6a]-3:N[4]-3:N[4]-3:	N[4](B[4]C[6a]2N[4])(C[4]N[4]H)(CCCH)	C(N[4]B[4]C[4])(CH3)2(H)	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2	N[4](B[4]C[6a]2N[4])(C[4]N[4]H)(CCCH){1|C<4>,4|C<3>}	C(N[4]B[4]C[4])(CH3)2(H)	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2{1|H<1>,4|C<3>,4|F<1>}	142.0545	0.120	2	142.0545	0.120	2     140.9192       1.324      4      140.9192     1.324     4
74	490	742	4:3:4:	3:4:4:4:	3:3:3:3:	B[4]-4:C[4]-3:C-4:	N[4]-3:C-4:C-4:C-4:	C[6a]-3:C[6a]-3:N[4]-3:N[4]-3:	N[4](B[4]C[6a]2N[4])(C[4]N[4]H)(CC3)	C(N[4]B[4]C[4])(CH3)3	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2	N[4](B[4]C[6a]2N[4])(C[4]N[4]H)(CC3){1|C<4>,4|C<3>}	C(N[4]B[4]C[4])(CH3)3	B[4](C[6a]C[6a]2)2(N[4]C[4]C)2{1|H<1>,4|C<3>,4|F<1>}	141.0595	1.583	2	141.0595	1.583	2     141.0595       1.583      2      138.9490     2.874     4
74	490	742	4:3:4:	3:4:4:4:	3:3:3:3:	B[4]-4:C[4]-3:C-4:	N[4]-3:C-4:C-4:C-4:	C[6a]-3:N[4]-3:N[4]-3:N-3:	N[4](B[4]C[6a]N[4]N)(C[4]N[4]C)(CC3)	C(N[4]B[4]C[4])(CH3)3	B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H)	N[4](B[4]C[6a]N[4]N)(C[4]N[4]C)(CC3){1|C<4>,2|C<3>}	C(N[4]B[4]C[4])(CH3)3	B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H){1|C<4>,2|C<3>,2|H<1>}	136.8385	2.112	2	136.8385	2.112	2     136.8385       2.112      2      138.9490     2.874     4
74	490	742	4:4:4:	3:4:4:4:	3:3:1:1:	P[4]-4:B[4]-4:C-4:	N[4]-3:C-4:C-4:C-4:	N[4]-3:N[4]-3:Cl-1:Cl-1:	N[4](P[4]C[6a]2N[4])(B[4]N[4]Cl2)(CC3)	C(N[4]B[4]P[4])(CH3)3	B[4](N[4]C[6a]P[4])(N[4]P[4]C)(Cl)2	N[4](P[4]C[6a]2N[4])(B[4]N[4]Cl2)(CC3){5|C<3>}	C(N[4]B[4]P[4])(CH3)3	B[4](N[4]C[6a]P[4])(N[4]P[4]C)(Cl)2{4|C<3>}	134.2980	0.000	1	134.2980	0.000	1     134.2980       0.000      1      134.2980     0.000     1
74	490	846	3:2:4:	3:4:1:1:	4:3:1:	C[4]-3:O[4]-2:C-4:	N[4]-3:C-4:F-1:F-1:	C[4]-4:N[4]-3:O-1:	N[4](C[4]C[4]O)(O[4]C[4])(CCFF)	C(N[4]C[4]O[4])(CC[6a]HH)(F)2	C[4](C[4]C[6a]2O[4])(N[4]O[4]C)(O)	N[4](C[4]C[4]O)(O[4]C[4])(CCFF){2|C<3>}	C(N[4]C[4]O[4])(CC[6a]HH)(F)2	C[4](C[4]C[6a]2O[4])(N[4]O[4]C)(O){4|C<3>}	125.7770	0.000	1	125.7770	0.000	1     125.7770       0.000      1      125.7770     0.000     1
74	490	846	4:3:4:	3:1:1:1:	4:3:1:	C[4]-4:C[4]-3:C-4:	N[4]-3:H-1:H-1:H-1:	C[4]-4:N[4]-3:O-1:	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(CH3)	C(N[4]C[4]2)(H)3	C[4](C[4]C[4]CH)(N[4]C[4]C)(O)	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(CH3){1|H<1>,3|C<3>}	C(N[4]C[4]2)(H)3	C[4](C[4]C[4]CH)(N[4]C[4]C)(O){1|C<3>,1|H<1>}	132.6030	0.000	1	132.6030	0.000	1     132.6030       0.000      1      132.6030     0.000     1
