818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	127.4447	1.093	20	127.4447	1.093	20     126.2793       1.657      67      126.2793     1.657     67
818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){1|F<1>,1|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	125.7223	1.881	4	126.1775	0.994	42     126.2793       1.657      67      126.2793     1.657     67
818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	126.2254	0.885	38	126.1775	0.994	42     126.2793       1.657      67      126.2793     1.657     67
818	818	972	3:3:3:	3:2:4:	3:3:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SC[6a]O)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3)	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SC[6a]O){3|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	119.0910	0.209	3	119.0910	0.209	3     121.2949       2.449      70      121.2949     2.449     70
818	818	972	3:3:3:	3:2:4:	3:3:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3)	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O){1|C<4>,2|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	118.3445	0.496	24	121.3936	2.457	67     121.2949       2.449      70      121.2949     2.449     70
818	818	972	3:3:3:	3:2:4:	3:3:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3)	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O){1|H<1>,2|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	123.0954	1.037	43	121.3936	2.457	67     121.2949       2.449      70      121.2949     2.449     70
818	818	972	3:3:3:	3:2:4:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SCO){3|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	119.2410	0.000	1	119.2410	0.000	1     123.4465       1.149      37      123.7257     1.284     48
818	818	972	3:3:3:	3:2:4:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CCHH)	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO){1|H<1>,2|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CCHH){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	124.2350	0.000	1	124.2350	0.000	1     123.4465       1.149      37      123.7257     1.284     48
818	818	972	3:3:3:	3:2:4:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CCHH)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO){1|H<1>,2|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CCHH){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	123.4171	0.865	24	123.4171	0.865	24     123.4465       1.149      37      123.7257     1.284     48
818	818	972	3:3:3:	3:2:4:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C-4:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO){1|H<1>,2|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(CH3){2|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	123.8212	1.020	11	123.8212	1.020	11     123.4465       1.149      37      123.7257     1.284     48
