486	486	973	4:4:2:1:	4:4:4:2:	4:3:	C[3,6]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:C[6]-4:O[6]-2:	C[3]-4:C-3:	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HH)(OC)(H)	C[3,6](C[3]C[3]HH)(C[3]C[3]HO)(C[6]C[6]HO)(O[6]C[6])	O(C[3]C[3,6]C[3]H)(CC[5,5,6]O)	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HH)(OC)(H){1|H<1>,1|O<2>,2|C<4>}	C[3,6](C[3]C[3]HH)(C[3]C[3]HO)(C[6]C[6]HO)(O[6]C[6]){1|C<4>,2|H<1>,2|O<2>}	O(C[3]C[3,6]C[3]H)(CC[5,5,6]O)	118.2090	0.000	1	118.2090	0.000	1     118.2090       0.000      1      118.2090     0.000     1
486	486	973	4:4:2:1:	4:4:4:3:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:C-4:C-3:	C[3]-4:C-4:	C[3](C[3]C[3]CC)(C[3]C[3]HH)(OC)(H)	C[3](C[3]C[3]HH)(C[3]C[3]HO)(CH3)(CNO)	O(C[3]C[3]2H)(CCHH)	C[3](C[3]C[3]CC)(C[3]C[3]HH)(OC)(H){}	C[3](C[3]C[3]HH)(C[3]C[3]HO)(CH3)(CNO){}	O(C[3]C[3]2H)(CCHH)	117.8060	0.000	1	117.8060	0.000	1     118.6385       1.177      2      118.6385     1.177     2
486	486	973	4:4:2:1:	4:4:4:3:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:C-4:C-3:	C[3]-4:C-4:	C[3](C[3]C[6a]C[3]H)(C[3]C[3]CC)(OC)(H)	C[3](C[3]C[6a]C[3]H)(C[3]C[3]HO)(CH3)(CCH)	O(C[3]C[3]2H)(CH3)	C[3](C[3]C[6a]C[3]H)(C[3]C[3]CC)(OC)(H){2|C<3>}	C[3](C[3]C[6a]C[3]H)(C[3]C[3]HO)(CH3)(CCH){2|C<3>}	O(C[3]C[3]2H)(CH3)	119.4710	0.000	1	119.4710	0.000	1     118.6385       1.177      2      118.6385     1.177     2
486	486	973	4:4:3:2:	4:3:4:4:	4:4:	C[3,5,6]-4:C[3]-4:C[6a]-3:O-2:	C[5,5,6]-4:C[5,6]-3:C[3]-4:C[3]-4:	C[3]-4:C-4:	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]HH)(C[6a]C[6a]2)(OC)	C[3,5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6]C[5,5,6]O)(C[3]C[6a]C[3]O)(C[3]C[3]HH)	O(C[3]C[3,5,6]C[6a]C[3])(CH3)	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]HH)(C[6a]C[6a]2)(OC){1|O<1>,2|C<3>,3|C<4>,3|H<1>}	C[3,5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6]C[5,5,6]O)(C[3]C[6a]C[3]O)(C[3]C[3]HH){1|C<4>,2|C<3>,5|H<1>}	O(C[3]C[3,5,6]C[6a]C[3])(CH3)	114.1850	0.000	1	114.1850	0.000	1     114.1850       0.000      1      114.1850     0.000     1
486	486	973	4:4:3:2:	4:4:1:1:	4:1:	C[3]-4:C[3]-4:C-3:O-2:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:H-1:	C[3](C[3]C[3]HH)2(CCP)(OH)	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2	O(C[3]C[3]2C)(H)	C[3](C[3]C[3]HH)2(CCP)(OH){}	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2{}	O(C[3]C[3]2C)(H)	118.0015	0.513	2	118.0015	0.513	2     117.9007       0.900      4      117.9007     0.900     4
486	486	973	4:4:3:2:	4:4:1:1:	4:1:	C[3]-4:C[3]-4:C-3:O-2:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:H-1:	C[3](C[3]C[3]HH)2(COO)(OH)	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2	O(C[3]C[3]2C)(H)	C[3](C[3]C[3]HH)2(COO)(OH){}	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2{}	O(C[3]C[3]2C)(H)	117.8000	1.458	2	117.8000	1.458	2     117.9007       0.900      4      117.9007     0.900     4
486	486	973	4:4:3:2:	4:4:1:1:	4:3:	C[3]-4:C[3]-4:C-3:O-2:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:N-3:	C[3](C[3]C[3]HH)2(CNO)(ON)	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2	O(C[3]C[3]2C)(NCH)	C[3](C[3]C[3]HH)2(CNO)(ON){}	C[3](C[3]C[3]CO)(C[3]C[3]HH)(H)2{}	O(C[3]C[3]2C)(NCH)	114.9140	3.511	2	114.9140	3.511	2     114.9140       3.511      2      115.6286     1.873     5
486	486	973	4:4:3:2:	4:4:1:1:	4:3:	C[3]-4:C[3]-4:N-3:O-2:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:C-3:	C[3](C[3]C[3]CC)(C[3]C[3]HH)(NHS)(OC)	C[3](C[3]C[3]CC)(C[3]C[3]NO)(H)2	O(C[3]C[3]2N)(CCO)	C[3](C[3]C[3]CC)(C[3]C[3]HH)(NHS)(OC){}	C[3](C[3]C[3]CC)(C[3]C[3]NO)(H)2{}	O(C[3]C[3]2N)(CCO)	116.1050	0.033	3	116.1050	0.033	3     116.1050       0.033      3      115.6286     1.873     5
486	486	973	4:4:3:2:	4:4:1:1:	4:4:	C[3,5,6]-4:C[3]-4:C[6a]-3:O-2:	C[3,5,6]-4:C[3]-4:H-1:H-1:	C[3]-4:C-4:	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]HH)(C[6a]C[6a]2)(OC)	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]C[6a]O)(H)2	O(C[3]C[3,5,6]C[6a]C[3])(CH3)	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]HH)(C[6a]C[6a]2)(OC){1|O<1>,2|C<3>,3|C<4>,3|H<1>}	C[3](C[3,5,6]C[5,5,6]C[5,6]C[3])(C[3]C[3,5,6]C[6a]O)(H)2{1|H<1>,1|O<1>,2|C<3>,3|C<4>}	O(C[3]C[3,5,6]C[6a]C[3])(CH3)	117.6010	0.000	1	117.6010	0.000	1     117.6010       0.000      1      117.6010     0.000     1
486	486	973	4:4:3:2:	4:4:4:4:	4:3:	C[3]-4:C[3]-4:N-3:O-2:	C[3]-4:C[3]-4:C-4:C-4:	C[3]-4:C-3:	C[3](C[3]C[3]CC)(C[3]C[3]HH)(NHS)(OC)	C[3](C[3]C[3]HH)(C[3]C[3]NO)(CCHH)(CH3)	O(C[3]C[3]2N)(CCO)	C[3](C[3]C[3]CC)(C[3]C[3]HH)(NHS)(OC){}	C[3](C[3]C[3]HH)(C[3]C[3]NO)(CCHH)(CH3){}	O(C[3]C[3]2N)(CCO)	115.3180	0.000	2	115.3180	0.000	2     115.3253       0.013      3      115.3253     0.013     3
