474	818	830	3:4:1:1:	3:4:2:	4:	C[5,5]-3:C[5]-4:F-1:H-1:	N[5,5]-3:C[5]-4:N[5]-2:	C[5]-4:	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H)	C[5,5](N[5,5]C[5]2)(C[5]C[5]FH)(N[5]N[5])	F(C[5]C[5,5]C[5]H)	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<3>}	C[5,5](N[5,5]C[5]2)(C[5]C[5]FH)(N[5]N[5]){1|C<3>,1|C<4>,4|H<1>}	F(C[5]C[5,5]C[5]H)	108.6100	0.832	2	108.1368	0.728	4     108.1368       0.728      4      108.1368     0.728     4
474	818	830	3:4:1:1:	3:4:2:	4:	C[5,5]-3:C[5]-4:F-1:H-1:	N[5,5]-3:C[5]-4:N[5]-2:	C[5]-4:	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H)	C[5,5](N[5,5]C[5]2)(C[5]C[5]FH)(N[5]N[5])	F(C[5]C[5,5]C[5]H)	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H){1|C<3>,1|N<3>,2|H<1>}	C[5,5](N[5,5]C[5]2)(C[5]C[5]FH)(N[5]N[5]){1|C<3>,5|H<1>}	F(C[5]C[5,5]C[5]H)	107.6635	0.023	2	108.1368	0.728	4     108.1368       0.728      4      108.1368     0.728     4
474	818	830	3:4:1:1:	3:4:3:	4:	C[5]-3:C[5]-4:F-1:F-1:	C[5a]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5]FF)(C[5]C[5]2){1|C<4>,1|N<3>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	113.0330	1.510	2	113.0330	1.510	2     113.0330       1.510      2      112.8870     1.318     4
474	818	830	3:4:1:1:	3:4:3:	4:	C[5]-3:C[5]-4:F-1:F-1:	C[6a]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[6a]C[5])(C[5]C[5]FF)(F)2	C[5](C[6a]C[6a]2)(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[6a]C[5])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]FF)(C[5]C[5]2){1|H<1>,1|O<2>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	112.7410	1.687	2	112.7410	1.687	2     112.7410       1.687      2      112.8870     1.318     4
474	818	830	3:4:1:1:	3:4:4:	4:	C[5,6]-3:C[5]-4:F-1:F-1:	C[5,6]-3:C[5,6]-4:C[5]-4:	C[5]-4:	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2	C[5,6](C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5]O)(C[5]C[5]FF)	F(C[5]C[5,6]C[5]F)	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2{1|C<4>,1|O<2>,2|C<3>,2|F<1>}	C[5,6](C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5]O)(C[5]C[5]FF){1|C<4>,2|S<2>,3|C<3>,4|F<1>}	F(C[5]C[5,6]C[5]F)	112.9220	0.297	2	112.9220	0.297	2     112.9220       0.297      2      112.9220     0.297     2
474	818	830	3:4:1:1:	4:3:4:	4:	C[5,6]-3:C[5]-4:F-1:F-1:	C[5,6]-4:C[5,6]-3:C[5]-4:	C[5]-4:	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2	C[5,6](C[5,6]C[5,6]C[5]H)(C[5,6]C[5,6]C[5])(C[5]C[5]FF)	F(C[5]C[5,6]C[5]F)	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2{1|C<4>,1|H<1>,2|C<3>,2|F<1>}	C[5,6](C[5,6]C[5,6]C[5]H)(C[5,6]C[5,6]C[5])(C[5]C[5]FF){1|C<4>,1|H<1>,1|S<4>,3|C<3>,4|F<1>}	F(C[5]C[5,6]C[5]F)	112.9410	0.035	2	112.9410	0.035	2     112.9410       0.035      2      112.9410     0.035     2
474	818	830	4:3:1:1:	3:4:3:	4:	C[5]-4:C[5]-3:F-1:F-1:	C[5]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2	C[5](C[5]C[5,5]C[5])(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2{2|F<1>,3|C<3>}	C[5](C[5]C[5,5]C[5])(C[5]C[5]FF)(C[5]C[5]2){1|C<4>,2|S<2>,3|C<3>,4|F<1>}	F(C[5]C[5]2F)	112.6275	1.175	4	112.6275	1.175	4     112.4789       1.390      85      112.4789     1.390     85
474	818	830	4:3:1:1:	3:4:3:	4:	C[5]-4:C[5]-3:F-1:F-1:	C[5]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2	C[5](C[5]C[5,6a]C[5])(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2{2|F<1>,3|C<3>}	C[5](C[5]C[5,6a]C[5])(C[5]C[5]FF)(C[5]C[5]2){1|C<4>,1|S<2>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	112.3970	1.428	55	112.3970	1.428	55     112.4789       1.390      85      112.4789     1.390     85
474	818	830	4:3:1:1:	3:4:3:	4:	C[5]-4:C[5]-3:F-1:F-1:	C[5]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2	C[5](C[5]C[5]N[5])(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2{1|N<2>,2|C<3>,2|F<1>}	C[5](C[5]C[5]N[5])(C[5]C[5]FF)(C[5]C[5]2){1|C<4>,2|C<3>,2|S<2>,4|F<1>}	F(C[5]C[5]2F)	112.7960	2.131	2	112.9862	2.018	6     112.4789       1.390      85      112.4789     1.390     85
474	818	830	4:3:1:1:	3:4:3:	4:	C[5]-4:C[5]-3:F-1:F-1:	C[5]-3:C[5]-4:C[5]-3:	C[5]-4:	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2	C[5](C[5]C[5]N[5])(C[5]C[5]FF)(C[5]C[5]2)	F(C[5]C[5]2F)	C[5](C[5]C[5]FF)(C[5]C[5]2)(F)2{1|N<2>,2|C<3>,2|F<1>}	C[5](C[5]C[5]N[5])(C[5]C[5]FF)(C[5]C[5]2){1|O<2>,2|C<3>,2|S<2>,4|F<1>}	F(C[5]C[5]2F)	113.0812	2.289	4	112.9862	2.018	6     112.4789       1.390      85      112.4789     1.390     85
