930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|N<3>,4|H<1>}	S(CN[6]N)	122.1630	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	123.0610	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|S<2>,4|H<1>}	S(CN[6]N)	122.3190	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NHN)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NHN)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	124.1030	0.000	1	124.1030	0.000	1	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	4:3:1:	4:4:3:	3:	C[6]-4:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[6]C[6]2H)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6]S)	S(CC[6]N[6])	C(C[6]C[6]2H)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6]S){1|O<2>,4|H<1>}	S(CC[6]N[6])	122.2700	0.000	1	122.2700	0.000	1	122.2700	0.000	1	122.2700	0.000	1	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP3	C	N[6]	S	3:3:1:	3:4:3:	3:	N[6]-3:C[6a]-3:S-1:	C[6,6a]-3:C[6]-4:C-3:	C-3:	C(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(S)	N[6](C[6,6a]C[6,6a]2)(C[6]C[6]HH)(CC[6a]S)	S(CC[6a]N[6])	C(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(S)	N[6](C[6,6a]C[6,6a]2)(C[6]C[6]HH)(CC[6a]S){1|C<4>,1|N<3>,2|C<3>,2|H<1>}	S(CC[6a]N[6])	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	C-1:O-1:O-1:	C-3:	C-3:	C(C)(O)2	O(CCO)	O(CCO)	C(C)(O)2	O(CCO)	O(CCO)	90.6964	0.000	1	90.6964	0.000	1	90.6964	0.000	1	122.3746	5.436	64	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	H-1:O-1:O-1:	C-3:	C-3:	C(H)(O)2	O(CHO)	O(CHO)	C(H)(O)2	O(CHO)	O(CHO)	127.0176	1.525	26	127.0176	1.525	26	127.0176	1.525	26	122.3746	5.436	64	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	O-1:O-1:O-1:	C-3:	C-3:	C(O)3	O(COO)	O(COO)	C(O)3	O(COO)	O(COO)	119.9681	0.833	37	119.9681	0.833	37	119.9681	0.833	37	122.3746	5.436	64	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	C-2:O-1:O-1:	C-3:	C-3:	C(CC)(O)2	O(CCO)	O(CCO)	C(CC)(O)2	O(CCO)	O(CCO)	126.2890	1.105	8	126.2890	1.105	8	126.2890	1.105	8	126.2714	1.216	23	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	O-2:O-1:O-1:	C-3:	C-3:	C(OC)(O)2	O(COO)	O(COO)	C(OC)(O)2	O(COO)	O(COO)	127.6485	0.931	4	127.6485	0.931	4	126.2620	1.309	15	126.2714	1.216	23	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	O-2:O-1:O-1:	C-3:	C-3:	C(OH)(O)2	O(COO)	O(COO)	C(OH)(O)2	O(COO)	O(COO)	125.7578	1.044	11	125.7578	1.044	11	126.2620	1.309	15	126.2714	1.216	23	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CBrC)(O)2	O(CCO)	O(CCO)	C(CBrC)(O)2	O(CCO)	O(CCO)	126.1140	0.000	1	126.1140	0.000	1	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
