706	486	486	4:4:	4:2:4:1:	4:2:1:1:	C[3]-4:C[3]-4:	C[3]-4:S[3]-2:C-4:H-1:	C[3]-4:S[3]-2:H-1:H-1:	S[3](C[3]C[3]CH)(C[3]C[3]HH)	C[3](C[3]S[3]HH)(S[3]C[3])(CHHS)(H)	C[3](C[3]S[3]CH)(S[3]C[3])(H)2	S[3](C[3]C[3]CH)(C[3]C[3]HH){}	C[3](C[3]S[3]HH)(S[3]C[3])(CHHS)(H){}	C[3](C[3]S[3]CH)(S[3]C[3])(H)2{}	48.6916	0.000	1	48.6916	0.000	1     48.6916       0.000      1      48.6916     0.000     1
706	486	486	4:4:	4:2:4:1:	4:2:4:1:	C[3]-4:C[3]-4:	C[3]-4:S[3]-2:C-4:H-1:	C[3]-4:S[3]-2:C-4:H-1:	S[3](C[3]C[3]CH)2	C[3](C[3]S[3]CH)(S[3]C[3])(CHHN)(H)	C[3](C[3]S[3]CH)(S[3]C[3])(CH3)(H)	S[3](C[3]C[3]CH)2{}	C[3](C[3]S[3]CH)(S[3]C[3])(CHHN)(H){}	C[3](C[3]S[3]CH)(S[3]C[3])(CH3)(H){}	47.2352	0.000	2	47.2352	0.000	2     47.2352       0.000      2      47.2352     0.000     2
706	486	486	4:4:	4:3:3:2:	3:4:4:2:	C[3,5]-4:C[3,6]-4:	C[3,5]-4:C[6,6a]-3:C[6,6a]-3:S[3]-2:	C[5,6a]-3:C[3,6]-4:C[5]-4:S[3]-2:	S[3](C[3,5]C[5,6a]C[3,6]C[5])(C[3,6]C[6,6a]2C[3,5])	C[3,6](C[3,5]C[5,6a]C[5]S[3])(C[6,6a]C[6,6a]C[6a])2(S[3]C[3,5])	C[3,5](C[5,6a]C[6a,6a]C[5,6a])(C[3,6]C[6,6a]2S[3])(C[5]C[5]CH)(S[3]C[3,6])	S[3](C[3,5]C[5,6a]C[3,6]C[5])(C[3,6]C[6,6a]2C[3,5]){1|H<1>,2|C<4>,6|C<3>}	C[3,6](C[3,5]C[5,6a]C[5]S[3])(C[6,6a]C[6,6a]C[6a])2(S[3]C[3,5]){1|O<2>,2|C<4>,3|H<1>,6|C<3>}	C[3,5](C[5,6a]C[6a,6a]C[5,6a])(C[3,6]C[6,6a]2S[3])(C[5]C[5]CH)(S[3]C[3,6]){2|H<1>,7|C<3>}	50.2354	0.000	1	50.2354	0.000	1     50.2354       0.000      1      50.2354     0.000     1
706	486	486	4:4:	4:4:2:1:	4:2:1:1:	C[3]-4:C[3]-4:	C[5]-4:C[3]-4:S[3]-2:H-1:	C[3]-4:S[3]-2:H-1:H-1:	S[3](C[3]C[3]C[5]H)(C[3]C[3]HH)	C[3](C[5]C[5,6]C[5]O)(C[3]S[3]HH)(S[3]C[3])(H)	C[3](C[3]C[5]S[3]H)(S[3]C[3])(H)2	S[3](C[3]C[3]C[5]H)(C[3]C[3]HH){1|O<2>,2|C<4>}	C[3](C[5]C[5,6]C[5]O)(C[3]S[3]HH)(S[3]C[3])(H){2|H<1>,4|C<4>}	C[3](C[3]C[5]S[3]H)(S[3]C[3])(H)2{1|O<2>,2|C<4>}	47.8111	0.000	1	47.8111	0.000	1     47.8111       0.000      1      47.8111     0.000     1
706	486	902	4:3:	3:2:4:4:	4:2:2:	C[3]-4:C[3]-3:	C[3]-3:S[3]-2:C-4:C-4:	C[3]-4:S[3]-2:S-2:	S[3](C[3]C[3]CC)(C[3]C[3]S)	C[3](C[3]S[3]S)(S[3]C[3])(CC3)2	C[3](C[3]S[3]CC)(S[3]C[3])(SO)	S[3](C[3]C[3]CC)(C[3]C[3]S){}	C[3](C[3]S[3]S)(S[3]C[3])(CC3)2{}	C[3](C[3]S[3]CC)(S[3]C[3])(SO){}	47.1860	0.000	1	47.1860	0.000	1     47.1860       0.000      1      47.1860     0.000     1
730	210	818	3:2:	3:2:	3:3:2:	C[5]-3:N-2:	C[6a]-3:P-2:	N[5]-3:N[5]-3:P-2:	P(C[5]N[5]2)(NC[6a])	N(C[6a]C[6a]2)(PC[5])	C[5](N[5]C[5]C)2(PN)	P(C[5]N[5]2)(NC[6a])	N(C[6a]C[6a]2)(PC[5])	C[5](N[5]C[5]C)2(PN){2|C<4>}	102.4868	0.675	4	102.4868	0.675	4     102.4868       0.675      4      102.4868     0.675     4
730	210	971	2:2:	3:2:	3:2:	N-2:O-2:	C[6a]-3:P-2:	C-3:P-2:	P(NC[6a])(OC)	N(C[6a]C[6a]2)(PO)	O(CNN)(PN)	P(NC[6a])(OC)	N(C[6a]C[6a]2)(PO)	O(CNN)(PN)	105.7190	0.000	1	105.7190	0.000	1     105.7190       0.000      1      105.7190     0.000     1
730	210	972	3:2:	3:2:	3:3:2:	N[6]-3:N-2:	C[6a]-3:P-2:	C[6]-3:C[6]-3:P-2:	P(N[6]C[6]2)(NC[6a])	N(C[6a]C[6a]2)(PN[6])	N[6](C[6]C[6]H)2(PN)	P(N[6]C[6]2)(NC[6a])	N(C[6a]C[6a]2)(PN[6])	N[6](C[6]C[6]H)2(PN){1|C<3>,2|H<1>}	106.9490	0.000	1	106.9490	0.000	1     106.9490       0.000      1      106.9490     0.000     1
730	210	979	2:2:	3:2:	3:2:	N-2:S-2:	C[6a]-3:P-2:	C[5]-3:P-2:	P(NC[6a])(SC[5])	N(C[6a]C[6a]2)(PS)	S(C[5]N[5]2)(PN)	P(NC[6a])(SC[5])	N(C[6a]C[6a]2)(PS)	S(C[5]N[5]2)(PN)	114.1040	0.000	1	114.1040	0.000	1     114.1040       0.000      1      114.1040     0.000     1
730	246	818	3:3:	3:3:2:	3:3:2:	P[5a,5a]-3:C[5]-3:	P[3a,5a,5a]-3:P[4x5a]-3:P-2:	N[5]-3:N[5]-3:P-2:	P(P[5a,5a]P[3a,5a,5a]P[4x5a])(C[5]N[5]2)	P[5a,5a](P[3a,5a,5a]P[3a,5a,5a,6]2)(P[4x5a]P[3x5a,6]2)(PC[5])	C[5](N[5]C[6a]C[5])2(PP[5a,5a])	P(P[5a,5a]P[3a,5a,5a]P[4x5a])(C[5]N[5]2)	P[5a,5a](P[3a,5a,5a]P[3a,5a,5a,6]2)(P[4x5a]P[3x5a,6]2)(PC[5]){2|P<3>}	C[5](N[5]C[6a]C[5])2(PP[5a,5a]){4|C<3>,4|H<1>}	102.6100	0.000	1	102.6100	0.000	1     102.6100       0.000      1      102.6100     0.000     1
730	466	730	4:2:	3:3:4:2:	3:2:	C[3x6]-4:P-2:	C[6,6,6a]-3:C[6,6,6a]-3:C[5,6,6]-4:P-2:	C[6a]-3:P-2:	P(C[3x6]C[6,6,6a]2C[5,6,6])(PC[6a])	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(C[5,6,6]C[5,6,6]C[5]H)(PP)	P(C[6a]C[6a]2)(PC[3x6])	P(C[3x6]C[6,6,6a]2C[5,6,6])(PC[6a])	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(C[5,6,6]C[5,6,6]C[5]H)(PP){1|C<4>,1|O<1>,1|O<2>,3|H<1>,5|C<3>}	P(C[6a]C[6a]2)(PC[3x6])	102.9810	0.000	1	102.9810	0.000	1     102.9810       0.000      1      102.9810     0.000     1
730	466	930	4:3:	4:4:2:1:	4:2:4:	C[6]-4:C-3:	C[6]-4:C[6]-4:P-2:H-1:	C-4:P-2:C-4:	P(C[6]C[6]2H)(CCC)	C[6](C[6]C[6]HH)2(PC)(H)	C(CC[6a]HO)(PC[6])(CC3)	P(C[6]C[6]2H)(CCC)	C[6](C[6]C[6]HH)2(PC)(H){1|C<4>,4|H<1>}	C(CC[6a]HO)(PC[6])(CC3)	108.7195	0.090	2	108.7195	0.090	2     108.7195       0.090      2      108.7195     0.090     2
730	594	818	3:3:	3:3:2:	3:3:2:	P[3a]-3:C[5]-3:	P[3a,5a,6]-3:P[3a,5a,6]-3:P-2:	N[5]-3:N[5]-3:P-2:	P(P[3a]P[3a,5a,6]2)(C[5]N[5]2)	P[3a](P[3a,5a,6]P[3a,5a,6]P[3x5a,6])2(PC[5])	C[5](N[5]C[6a]C[5])2(PP[3a])	P(P[3a]P[3a,5a,6]2)(C[5]N[5]2)	P[3a](P[3a,5a,6]P[3a,5a,6]P[3x5a,6])2(PC[5]){3|P<3>}	C[5](N[5]C[6a]C[5])2(PP[3a]){4|C<3>,4|H<1>}	105.6570	0.000	1	105.6570	0.000	1     105.6570       0.000      1      103.4310     3.148     2
