973	979	979	3:3:	2:2:2:	2:2:2:	Se-3:Se-3:	O-2:O-2:O-2:	O-2:O-2:O-2:	O(SeOO)2	Se(OSe)(OZn)2	Se(OSe)(OZn)2	O(SeOO)2	Se(OSe)(OZn)2	Se(OSe)(OZn)2	118.8520	0.000	1	118.8520	0.000	1     118.8520       0.000      1      118.8520     0.000     1
973	988	988	4:4:	2:1:1:1:	2:1:1:1:	P-4:P-4:	O-2:F-1:F-1:O-1:	O-2:F-1:F-1:O-1:	O(PFFO)2	P(OP)(F)2(O)	P(OP)(F)2(O)	O(PFFO)2	P(OP)(F)2(O)	P(OP)(F)2(O)	140.8800	0.000	1	140.8800	0.000	1     140.8800       0.000      1      137.5717     5.903     3
973	988	988	4:4:	2:1:1:1:	2:1:1:1:	P-4:P-4:	O-2:F-1:O-1:O-1:	O-2:F-1:O-1:O-1:	O(PFOO)2	P(OP)(F)(O)2	P(OP)(F)(O)2	O(PFOO)2	P(OP)(F)(O)2	P(OP)(F)(O)2	130.7570	0.000	1	130.7570	0.000	1     130.7570       0.000      1      137.5717     5.903     3
973	988	988	4:4:	2:1:1:1:	2:1:1:1:	P-4:P-4:	O-2:O-1:O-1:O-1:	O-2:O-1:O-1:O-1:	O(PO3)2	P(OP)(O)3	P(OP)(O)3	O(PO3)2	P(OP)(O)3	P(OP)(O)3	141.0780	0.000	1	141.0780	0.000	1     141.0780       0.000      1      137.5717     5.903     3
973	988	988	4:4:	2:2:1:1:	2:1:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-1:O-1:O-1:	O(PO3)2	P(OP)2(O)2	P(OP)(O)3	O(PO3)2	P(OP)2(O)2	P(OP)(O)3	131.4720	0.000	1	131.4720	0.000	1     131.4720       0.000      1      131.4720     0.000     1
973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OC)(OP)(O)2	P(OH)(OP)(O)2	O(PO3)2	P(OC)(OP)(O)2	P(OH)(OP)(O)2	136.3380	0.000	1	136.3380	0.000	1     132.4157       2.794      117      132.4157     2.794     117
973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OC)(OP)(O)2	P(OP)2(O)2	O(PO3)2	P(OC)(OP)(O)2	P(OP)2(O)2	137.2370	0.000	1	137.2370	0.000	1     132.4157       2.794      117      132.4157     2.794     117
973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OH)(OP)(O)2	P(OH)(OP)(O)2	O(PO3)2	P(OH)(OP)(O)2	P(OH)(OP)(O)2	131.3243	3.887	4	131.3243	3.887	4     132.4157       2.794      117      132.4157     2.794     117
973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OH)(OP)(O)2	P(OP)2(O)2	O(PO3)2	P(OH)(OP)(O)2	P(OP)2(O)2	131.5500	1.318	2	131.5500	1.318	2     132.4157       2.794      117      132.4157     2.794     117
973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(ONa)(OP)(O)2	P(OP)2(O)2	O(PO3)2	P(ONa)(OP)(O)2	P(OP)2(O)2	129.7630	0.000	1	129.7630	0.000	1     132.4157       2.794      117      132.4157     2.794     117
