930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<5>,1|C<3>,1|H<1>}	117.3161	0.750	8	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<6>,1|C<3>,1|H<1>}	118.3650	0.409	6	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<8>,1|C<3>,1|H<1>}	117.9350	0.000	1	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Mn<6>,1|C<3>,1|H<1>}	118.3380	0.515	2	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ni<6>,1|C<3>,1|H<1>}	117.6242	0.376	6	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Pt<4>,1|C<3>,1|H<1>}	117.2420	0.658	4	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ru<6>,1|C<3>,1|H<1>}	117.2130	0.350	4	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Zn<4>,1|C<3>,1|H<1>}	117.2453	0.995	3	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Zn<6>,1|C<3>,1|H<1>}	118.3985	0.855	2	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO){1|C<3>,2|H<1>}	118.3950	0.000	1	117.4448	0.820	53     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO){1|N<3>,2|H<1>}	117.4266	0.817	52	117.4448	0.820	53     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-3:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(N[6]C[6]H)(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(N[6]C[6]H)(CNO){1|C<3>,2|H<1>}	116.7650	1.170	2	116.7650	1.170	2     116.7650       1.170      2      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:S-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(S)	N(CC[6]S)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNS)	C(C[6]C[6]2)(NHH)(S)	N(CC[6]S)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNS){1|C<3>,2|H<1>}	116.2940	0.000	1	116.2940	0.000	1     116.2940       0.000      1      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[5,6a]-3:C[6a]-3:C-3:	C(C[6a]C[5,6a]C[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]H)(CNO)	C(C[6a]C[5,6a]C[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]H)(CNO){1|C<3>,2|C<4>,3|H<1>}	117.3580	0.000	1	117.3580	0.000	1     117.3580       0.000      1      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[5a,6a]H)(C[6a]C[6a]H)(CNO)	C(C[6a]C[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[5a,6a]H)(C[6a]C[6a]H)(CNO){1|H<1>,2|C<3>}	119.0202	0.782	5	119.0202	0.782	5     117.8516       1.116      286      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(CNO)	C(C[6a]C[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(CNO){1|C<3>,1|F<1>,1|H<1>}	116.4640	0.000	1	116.7260	0.414	3     117.8516       1.116      286      117.7483     1.151     430
