965	310	973	4:2:	4:4:4:2:	3:2:	N-4:O-2:	C-4:C-4:C-4:H-2:	C-3:H-2:	H(NC3)(OC)	N(CCCH)(CH3)2(HO)	O(CC[6a]O)(HN)	H(NC3)(OC)	N(CCCH)(CH3)2(HO)	O(CC[6a]O)(HN)	166.1120	0.000	1	166.1120	0.000	1     170.9860       6.893      2      170.9860     6.893     2
965	310	973	4:2:	4:4:4:2:	3:2:	N-4:O-2:	C-4:C-4:C-4:H-2:	C-3:H-2:	H(NC3)(OC)	N(CC[6a]2H)(CH3)2(HO)	O(CC[6a]O)(HN)	H(NC3)(OC)	N(CC[6a]2H)(CH3)2(HO)	O(CC[6a]O)(HN)	175.8600	0.000	1	175.8600	0.000	1     170.9860       6.893      2      170.9860     6.893     2
965	410	410	3:3:	2:1:1:	2:1:1:	O-3:O-3:	H-2:H-1:H-1:	H-2:H-1:H-1:	H(OHH)2	O(HO)(H)2	O(HO)(H)2	H(OHH)2	O(HO)(H)2	O(HO)(H)2	171.1545	4.959	4	171.1545	4.959	4     171.1545       4.959      4      171.1545     4.959     4
965	410	490	4:3:	4:2:1:	2:2:1:1:	C-4:O-3:	C-4:H-2:H-1:	H-2:O-2:H-1:H-1:	H(CHHO)(OCH)	O(CH3)(HC)(H)	C(HO)(OH)(H)2	H(CHHO)(OCH)	O(CH3)(HC)(H)	C(HO)(OH)(H)2	145.6300	0.000	1	145.6300	0.000	1     145.6300       0.000      1      145.6300     0.000     1
965	410	542	3:3:	2:1:1:	2:2:2:	N[5a]-3:O-3:	H-2:H-1:H-1:	N[5a]-2:N[5a]-2:H-2:	H(N[5a]N[5a]2)(OHH)	O(HN[5a])(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(HO)	H(N[5a]N[5a]2)(OHH)	O(HN[5a])(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(HO){1|N<3>}	175.4680	0.000	1	175.4680	0.000	1     175.4680       0.000      1      175.4680     0.000     1
965	410	542	3:3:	2:1:1:	3:2:2:	N[5a]-3:O-3:	H-2:H-1:H-1:	C[5a]-3:N[5a]-2:H-2:	H(N[5a]C[5a]N[5a])(OHH)	O(HN[5a])(H)2	N[5a](C[5a]C[5a]N[5a])(N[5a]C[5a])(HO)	H(N[5a]C[5a]N[5a])(OHH)	O(HN[5a])(H)2	N[5a](C[5a]C[5a]N[5a])(N[5a]C[5a])(HO){1|N<3>,2|N<2>}	174.6800	0.000	1	174.6800	0.000	1     174.6800       0.000      1      174.6800     0.000     1
965	410	542	3:3:	2:1:1:	3:3:2:	N[5]-3:O-3:	H-2:H-1:H-1:	C[5,6a]-3:C[5]-3:H-2:	H(N[5]C[5,6a]C[5])(OHH)	O(HN[5])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]H)(HO)	H(N[5]C[5,6a]C[5])(OHH)	O(HN[5])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]H)(HO){1|H<1>,1|O<1>,2|N<3>}	177.1030	0.000	1	177.1030	0.000	1     177.1030       0.000      1      177.1030     0.000     1
965	410	542	3:3:	3:2:2:	3:3:2:	N[5]-3:O-3:	C-3:H-2:H-2:	C[5]-3:N[5]-3:H-2:	H(N[5]C[5]N[5])(OCH)	O(CC[6a]O)(HN[5])(HO)	N[5](C[5]C[5]C)(N[5]C[5]H)(HO)	H(N[5]C[5]N[5])(OCH)	O(CC[6a]O)(HN[5])(HO)	N[5](C[5]C[5]C)(N[5]C[5]H)(HO){2|C<4>}	159.3010	0.000	1	159.3010	0.000	1     159.3010       0.000      1      159.3010     0.000     1
965	410	762	3:3:	2:1:1:	3:2:2:	C[6a]-3:O-3:	H-2:H-1:H-1:	C[6a]-3:N[6a]-2:H-2:	H(C[6a]C[6a]N[6a])(OHH)	O(HC[6a])(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(HO)	H(C[6a]C[6a]N[6a])(OHH)	O(HC[6a])(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(HO){1|C<3>,1|H<1>,1|N<3>}	158.6540	0.000	1	158.6540	0.000	1     158.6540       0.000      1      158.6540     0.000     1
965	410	973	2:3:	2:1:1:	3:2:	O-2:O-3:	H-2:H-1:H-1:	C[6]-3:H-2:	H(OC[6])(OHH)	O(HO)(H)2	O(C[6]C[6,6a]C[6])(HO)	H(OC[6])(OHH)	O(HO)(H)2	O(C[6]C[6,6a]C[6])(HO)	177.7150	0.000	1	177.7150	0.000	1     175.3855       3.294      2      175.3855     3.294     2
