466	690	969	3:4:3:1:	4:	4:4:1:1:	C[5,6]-3:S[6]-4:C-3:H-1:	C[6]-4:	C[6]-4:C[6]-4:O-1:O-1:	C[6](C[5,6]C[5,6]C[5])(S[6]C[6]OO)(CC[6a]O)(H)	H(C[6]C[5,6]S[6]C)	S[6](C[6]C[5,6]CH)(C[6]C[6]CH)(O)2	C[6](C[5,6]C[5,6]C[5])(S[6]C[6]OO)(CC[6a]O)(H){1|C<3>,1|S<2>,2|C<4>,3|H<1>}	H(C[6]C[5,6]S[6]C)	S[6](C[6]C[5,6]CH)(C[6]C[6]CH)(O)2{1|C<4>,1|H<1>,2|C<3>}	107.9920	0.000	1	107.9920	0.000	1     108.3835       0.554      2      108.3835     0.554     2
466	690	969	3:4:3:1:	4:	4:4:1:1:	C[5,6]-3:S[6]-4:C-3:H-1:	C[6]-4:	C[6]-4:C[6]-4:O-1:O-1:	C[6](C[5,6]C[5,6]C[5])(S[6]C[6]OO)(COO)(H)	H(C[6]C[5,6]S[6]C)	S[6](C[6]C[5,6]CH)(C[6]C[6]CH)(O)2	C[6](C[5,6]C[5,6]C[5])(S[6]C[6]OO)(COO)(H){1|C<3>,1|S<2>,2|C<4>,3|H<1>}	H(C[6]C[5,6]S[6]C)	S[6](C[6]C[5,6]CH)(C[6]C[6]CH)(O)2{1|C<4>,1|H<1>,2|C<3>}	108.7750	0.000	1	108.7750	0.000	1     108.3835       0.554      2      108.3835     0.554     2
466	690	969	4:4:1:1:	4:	2:4:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	O[6]-2:C[6]-4:O-1:O-1:	C[6](C[6]C[6,6a]C[6a]H)(S[6]O[6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](O[6]C[6,6a])(C[6]C[6]HH)(O)2	C[6](C[6]C[6,6a]C[6a]H)(S[6]O[6]OO)(H)2{4|C<3>}	H(C[6]C[6]S[6]H)	S[6](O[6]C[6,6a])(C[6]C[6]HH)(O)2{1|H<1>,3|C<3>}	109.6407	0.091	4	109.6407	0.091	4     109.6407       0.091      4      109.6407     0.091     4
466	690	969	4:4:1:1:	4:	3:2:4:1:	S[6]-4:C[6]-4:H-1:H-1:	C[6]-4:	C[6a]-3:N[6]-2:C[6]-4:O-1:	C[6](S[6]C[6a]N[6]O)(C[6]C[6,6a]CH)(H)2	H(C[6]C[6]S[6]H)	S[6](C[6a]C[6a]2)(N[6]C[6,6a])(C[6]C[6]HH)(O)	C[6](S[6]C[6a]N[6]O)(C[6]C[6,6a]CH)(H)2{4|C<3>}	H(C[6]C[6]S[6]H)	S[6](C[6a]C[6a]2)(N[6]C[6,6a])(C[6]C[6]HH)(O){1|C<4>,3|H<1>,4|C<3>}	110.3785	0.257	10	110.3785	0.257	10     110.3785       0.257      10      110.3785     0.257     10
466	690	969	4:4:1:1:	4:	3:4:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	N[6,6]-3:C[6]-4:O-1:O-1:	C[6](C[6]N[6,6]HH)(S[6]N[6,6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](N[6,6]C[6,6]C[6])(C[6]C[6]HH)(O)2	C[6](C[6]N[6,6]HH)(S[6]N[6,6]OO)(H)2{3|C<4>}	H(C[6]C[6]S[6]H)	S[6](N[6,6]C[6,6]C[6])(C[6]C[6]HH)(O)2{1|N<3>,1|O<2>,6|H<1>}	104.3895	1.882	2	105.6710	2.386	6     105.6710       2.386      6      107.0947     2.559     10
466	690	969	4:4:1:1:	4:	3:4:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	N[6,6]-3:C[6]-4:O-1:O-1:	C[6](C[6]N[6,6]HH)(S[6]N[6,6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](N[6,6]C[6,6]C[6])(C[6]C[6]HH)(O)2	C[6](C[6]N[6,6]HH)(S[6]N[6,6]OO)(H)2{3|C<4>}	H(C[6]C[6]S[6]H)	S[6](N[6,6]C[6,6]C[6])(C[6]C[6]HH)(O)2{2|N<3>,6|H<1>}	106.3117	2.582	4	105.6710	2.386	6     105.6710       2.386      6      107.0947     2.559     10
466	690	969	4:4:1:1:	4:	3:4:1:1:	S[6]-4:C[6]-4:H-1:H-1:	C[6]-4:	C[6,6a]-3:C[6]-4:O-1:O-1:	C[6](S[6]C[6,6a]OO)(C[6]C[6]HH)(H)2	H(C[6]C[6]S[6]H)	S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(O)2	C[6](S[6]C[6,6a]OO)(C[6]C[6]HH)(H)2{1|H<1>,3|C<3>}	H(C[6]C[6]S[6]H)	S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(O)2{1|C<4>,2|C<3>,3|H<1>}	109.2302	0.157	4	109.2302	0.157	4     109.2302       0.157      4      107.0947     2.559     10
466	690	969	4:4:1:1:	4:	4:3:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	C[6]-4:C[6]-3:O-1:O-1:	C[6](C[6]O[6]HH)(S[6]C[6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](C[6]C[6]HH)(C[6]C[6]C)(O)2	C[6](C[6]O[6]HH)(S[6]C[6]OO)(H)2{2|C<3>}	H(C[6]C[6]S[6]H)	S[6](C[6]C[6]HH)(C[6]C[6]C)(O)2{1|C<4>,1|O<2>,2|H<1>}	110.1560	0.000	1	110.1560	0.000	1     110.1560       0.000      1      110.1560     0.000     1
466	690	969	4:4:1:1:	4:	4:4:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	C[5,6]-4:C[6]-4:O-1:O-1:	C[6](C[6]N[5,6]HH)(S[6]C[5,6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(O)2	C[6](C[6]N[5,6]HH)(S[6]C[5,6]OO)(H)2{1|H<1>,1|O<2>,2|C<4>}	H(C[6]C[6]S[6]H)	S[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(O)2{1|C<3>,1|N<3>,1|O<2>,5|H<1>}	109.2505	0.012	2	109.2505	0.012	2     109.2505       0.012      2      108.7311     0.765     33
466	690	969	4:4:1:1:	4:	4:4:1:1:	C[6]-4:S[6]-4:H-1:H-1:	C[6]-4:	C[6]-4:C[6]-4:O-1:O-1:	C[6](C[6]C[5,6]HH)(S[6]C[6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](C[6]C[6]HH)2(O)2	C[6](C[6]C[5,6]HH)(S[6]C[6]OO)(H)2{1|O<2>,2|C<4>,2|H<1>}	H(C[6]C[6]S[6]H)	S[6](C[6]C[6]HH)2(O)2{1|C<4>,4|H<1>}	109.3300	0.238	4	109.3300	0.238	4     109.4485       0.200      9      108.7311     0.765     33
