82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,5,6]  3:3:3:1:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5,5,6]-3:F-1:F-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  495_11_1  643_1119_1  635_48_1  77.2894  0.066  2  77.2894  0.004  2  77.2894  0.004  2  77.3956  0.063  6  77.3956  0.063  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,5,6]  3:3:3:1:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5,5,6]-3:I-1:I-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  495_13_1  643_1120_1  635_49_1  77.3050  0.113  2  77.3050  0.013  2  77.3050  0.013  2  77.3956  0.063  6  77.3956  0.063  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,5]  3:3:2:1:1:  5:3:3:  5:3:2:  N[5,6]-3:N[5,5]-3:S[5]-2:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:N[5]-2:  495_7_2  643_1121_1  636_467_1  76.6283  0.000  1  76.6283  0.000  1  76.5261  0.021  2  76.5261  0.021  2  76.5261  0.021  2  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,5]  3:3:2:1:1:  5:3:3:  5:3:2:  N[5,6]-3:N[5,5]-3:S[5]-2:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:N[5]-2:  495_7_1  643_1121_2  636_468_1  76.4239  0.000  1  76.4239  0.000  1  76.5261  0.021  2  76.5261  0.021  2  76.5261  0.021  2  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:2:2:1:  3:5:3:  3:5:3:  N[5,6]-3:N[5,6]-3:O[5]-2:O[5]-2:Cl-1:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  495_4_1  643_309_1  643_309_1  168.4640  0.000  1  168.4640  0.000  1  168.4640  0.000  1  168.4640  0.000  1  147.1526  2074.566  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:3:2:2:  3:5:3:  3:5:3:  N[5,6]-3:N[5,6]-3:N[5,6]-3:O[5]-2:O-2:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  495_6_1  643_278_1  643_278_1  78.8554  0.000  1  78.8554  0.000  1  78.8554  0.000  1  78.8554  0.000  1  147.1526  2074.566  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:3:3:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  495_15_1  643_1123_1  643_1123_1  171.4140  0.000  1  171.4140  0.000  1  171.4140  0.000  1  171.4140  0.000  1  147.1526  2074.566  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:3:3:3:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:O-3:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  495_16_1  643_1124_1  643_1124_1  169.8770  0.000  1  169.8770  0.000  1  169.8770  0.000  1  169.8770  0.000  1  147.1526  2074.566  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5]  3:3:3:3:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_15_1  643_1123_1  646_7565_1  88.0438  10.348  2  88.0438  107.090  2  88.0438  107.090  2  88.0438  107.090  2  85.1411  59.612  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5]  3:3:3:3:2:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:S-2:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_17_1  643_1125_1  646_7567_1  79.7988  0.538  2  79.7988  0.290  2  79.7988  0.290  2  79.7988  0.290  2  85.1411  59.612  6  90.5043  818.422  32  
