210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN){1|C<4>}	110.2000	0.000	1	110.3148	0.092	4     110.7025       0.579      11      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN){1|H<1>}	110.3920	0.000	1	110.3148	0.092	4     110.7025       0.579      11      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN){1|S<2>}	110.3335	0.076	2	110.3148	0.092	4     110.7025       0.579      11      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[6a]-3:N-2:	N[5]-2:N[5]-2:N-2:	N(C[5]N[5]2)(NC[6a])	N(C[6a]C[6a]2)(NC[5])	C[5](N[5]N[5])2(NN)	N(C[5]N[5]2)(NC[6a])	N(C[6a]C[6a]2)(NC[5])	C[5](N[5]N[5])2(NN){}	111.7790	1.137	7	111.7790	1.137	7     111.7790       1.137      7      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[6a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[6a])	N(C[6a]C[6a]2)(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[6a])	N(C[6a]C[6a]2)(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN){1|C<4>,1|H<1>}	111.9750	0.000	1	111.9750	0.000	1     111.9750       0.000      1      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	N-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NN)	N(NC[5]H)(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NN)	N(NC[5]H)(NC[5])	C[5](N[5]N[5])(S[5]C[5])(NN){1|C<4>}	108.1210	0.000	1	108.1210	0.000	1     108.1210       0.000      1      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN){1|Co<6>,1|H<1>}	112.8650	0.000	1	111.9150	0.841	3     111.8847       0.782      6      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN){1|Mn<6>,1|H<1>}	111.6150	0.000	1	111.9150	0.841	3     111.8847       0.782      6      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]N[5a])(NN){1|Mn<7>,1|H<1>}	111.2650	0.000	1	111.9150	0.841	3     111.8847       0.782      6      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]O[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a])(N[5a]O[5a])(NN){1|N<3>}	111.3320	0.007	2	111.3320	0.007	2     111.8847       0.782      6      111.9441     1.320     58
