490	210	690	3:2:1:1:	4:2:	4:	C-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(CNO)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	C(CNO)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	110.0210	0.748	2	110.0210	0.748	2     109.0393       0.637      20      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(COO)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	C(COO)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	109.0485	0.021	2	109.0485	0.021	2     109.0393       0.637      20      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[5a]-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(C[5a]C[5a]N[5a])(NN)(H)2	N(CC[5a]HH)(NN)	H(CC[5a]HN)	C(C[5a]C[5a]N[5a])(NN)(H)2	N(CC[5a]HH)(NN)	H(CC[5a]HN)	109.1280	0.010	2	109.1280	0.010	2     109.1280       0.010      2      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[6]-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(C[6]C[6]N[6])(NN)(H)2	N(CC[6]HH)(NN)	H(CC[6]HN)	C(C[6]C[6]N[6])(NN)(H)2	N(CC[6]HH)(NN)	H(CC[6]HN)	109.2090	0.008	2	109.2090	0.008	2     109.2090       0.008      2      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-2:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CPd)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CPd)	H(CC[6a]HN)	109.2355	0.064	2	109.2355	0.064	2     109.2355       0.064      2      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(C[6a]C[6a,6a]2)(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	C(C[6a]C[6a,6a]2)(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	109.3710	0.008	2	109.3710	0.008	2     109.4558       0.293      5      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(C[6a]C[6a]2)(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	109.7425	0.025	2	109.7425	0.025	2     109.4558       0.293      5      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(C[6a]C[6a]N[6a])(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	C(C[6a]C[6a]N[6a])(NN)(H)2	N(CC[6a]HH)(NN)	H(CC[6a]HN)	109.0520	0.000	1	109.0520	0.000	1     109.4558       0.293      5      109.1758     0.548     33
490	210	690	3:2:1:1:	4:3:	4:	C-3:N-2:H-1:H-1:	C-4:S-3:	C-4:	C(CCH)(NS)(H)2	N(CCHH)(SCO)	H(CCHN)	C(CCH)(NS)(H)2	N(CCHH)(SCO)	H(CCHN)	109.6870	0.030	2	109.6870	0.030	2     109.6870       0.030      2      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[5]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[5]C[5]S[5])(NC)(H)2	N(CC[5]HH)(CC[6a]H)	H(CC[5]HN)	C(C[5]C[5]S[5])(NC)(H)2	N(CC[5]HH)(CC[6a]H)	H(CC[5]HN)	109.3697	1.743	3	109.3697	1.743	3     109.3697       1.743      3      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[5a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[5a]C[5a]N[5a])(NC)(H)2	N(CC[5a]HH)(CC[6a]2)	H(CC[5a]HN)	C(C[5a]C[5a]N[5a])(NC)(H)2	N(CC[5a]HH)(CC[6a]2)	H(CC[5a]HN)	109.8150	0.000	1	109.8150	0.000	1     109.3081       0.304      7      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[5a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[5a]C[5a]O[5a])(NC)(H)2	N(CC[5a]HH)(CC[6a]H)	H(CC[5a]HN)	C(C[5a]C[5a]O[5a])(NC)(H)2	N(CC[5a]HH)(CC[6a]H)	H(CC[5a]HN)	109.0842	0.082	4	109.0842	0.082	4     109.3081       0.304      7      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[5a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[5a]N[5a]2)(NC)(H)2	N(CC[5a]HH)(CC[6a]2)	H(CC[5a]HN)	C(C[5a]N[5a]2)(NC)(H)2	N(CC[5a]HH)(CC[6a]2)	H(CC[5a]HN)	109.5025	0.016	2	109.5025	0.016	2     109.3081       0.304      7      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6]C[6]2)(NC)(H)2	N(CC[6]HH)(CC[6]H)	H(CC[6]HN)	C(C[6]C[6]2)(NC)(H)2	N(CC[6]HH)(CC[6]H)	H(CC[6]HN)	108.2645	1.548	2	108.2645	1.548	2     108.7765       1.073      4      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6]C[6]2)(NC)(H)2	N(CC[6]HH)(CC[6a]H)	H(CC[6]HN)	C(C[6]C[6]2)(NC)(H)2	N(CC[6]HH)(CC[6a]H)	H(CC[6]HN)	109.2885	0.088	2	109.2885	0.088	2     108.7765       1.073      4      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a,6a]C[6a])(NC)(H)2	N(CC[6a]HH)(CC[6a]C)	H(CC[6a]HN)	C(C[6a]C[6a,6a]C[6a])(NC)(H)2	N(CC[6a]HH)(CC[6a]C)	H(CC[6a]HN)	109.1730	0.028	2	109.1730	0.028	2     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCH)	H(CC[6a]HN)	109.6745	0.030	2	109.6745	0.030	2     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCN)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCN)	H(CC[6a]HN)	109.9240	0.068	2	109.9240	0.068	2     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCO)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CCO)	H(CC[6a]HN)	108.4810	0.000	1	108.4810	0.000	1     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[5]H)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[5]H)	H(CC[6a]HN)	109.3310	0.393	10	109.3310	0.393	10     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[5a]H)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[5a]H)	H(CC[6a]HN)	109.0782	0.161	4	109.0782	0.161	4     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6]H)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6]H)	H(CC[6a]HN)	109.4300	0.058	2	109.4300	0.058	2     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6]S)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6]S)	H(CC[6a]HN)	109.0505	0.022	2	109.0505	0.022	2     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6a]C)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6a]C)	H(CC[6a]HN)	109.2198	0.298	4	109.2198	0.298	4     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6a]H)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CC[6a]H)	H(CC[6a]HN)	109.3777	0.387	68	109.3777	0.387	68     109.3811       0.441      109      109.3623     0.514     125
490	210	690	3:2:1:1:	4:3:	4:	C[6a]-3:N-2:H-1:H-1:	C-4:C-3:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CN[5a]C)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]HH)(CN[5a]C)	H(CC[6a]HN)	109.3445	0.029	2	109.3445	0.029	2     109.3811       0.441      109      109.3623     0.514     125
