670	210	998	0:SP3_SP2_SP3	N	N	P	4:4:2:	3:3:	3:3:3:1:	P-4:C-4:N-2:	C-3:N-3:	C[6a]-3:N-3:N-3:O-1:	N(PC[6a]NO)(CH3)(NC)	N(CC[6a]H)(NCP)	P(C[6a]C[6a]2)(NCN)2(O)	N(PC[6a]NO)(CH3)(NC)	N(CC[6a]H)(NCP)	P(C[6a]C[6a]2)(NCN)2(O)	111.5588	1.911	4	111.5588	1.911	4	111.5588	1.911	4	113.5783	2.474	13	114.0467	2.953	14	114.0467	2.953	14
670	210	998	0:SP3_SP2_SP3	N	N	P	4:4:2:	3:3:	3:3:3:1:	P-4:C-4:N-2:	C-3:N-3:	N-3:N-3:N-3:S-1:	N(PNNS)(CH3)(NC)	N(CC[6a]H)(NCP)	P(NCN)3(S)	N(PNNS)(CH3)(NC)	N(CC[6a]H)(NCP)	P(NCN)3(S)	114.4759	2.206	9	114.4759	2.206	9	114.4759	2.206	9	113.5783	2.474	13	114.0467	2.953	14	114.0467	2.953	14
670	217	490	0:SP3_SP2_SP3	N	N[6a]	C	3:4:1:	3:2:3:	3:3:1:1:	N[6a]-3:C-4:H-1:	C[6a]-3:N[6a]-2:N-3:	C[6a]-3:N-3:H-1:H-1:	N(N[6a]C[6a]N[6a])(CC[6a]HH)(H)	N[6a](C[6a]C[5a,6a]C)(N[6a]C[6a])(NCH)	C(C[6a]C[6a]2)(NN[6a]H)(H)2	N(N[6a]C[6a]N[6a])(CC[6a]HH)(H)	N[6a](C[6a]C[5a,6a]C)(N[6a]C[6a])(NCH){3|C<3>}	C(C[6a]C[6a]2)(NN[6a]H)(H)2	110.1700	0.000	1	110.1700	0.000	1	110.1700	0.000	1	110.1700	0.000	1	110.3550	0.163	3	110.3550	0.163	3
670	217	490	0:SP3_SP2_SP3	N	N[6a]	C	3:4:4:	3:3:3:	3:1:1:1:	N[6a]-3:C-4:C-4:	C[6a,6a]-3:C[6a]-3:N-3:	N-3:H-1:H-1:H-1:	N(N[6a]C[6a,6a]C[6a])(CH3)2	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(NCC)	C(NN[6a]C)(H)3	N(N[6a]C[6a,6a]C[6a])(CH3)2	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(NCC){1|H<1>,4|C<3>}	C(NN[6a]C)(H)3	110.4475	0.040	2	110.4475	0.040	2	110.4475	0.040	2	110.4475	0.040	2	110.3550	0.163	3	110.3550	0.163	3
670	217	643	0:SP2_SP2_SP2	N	N[6a]	C[6a]	3:3:1:	3:3:3:	3:3:3:	C[6a]-3:N[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-3:	C[6a]-3:C[6a]-3:N-3:	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[5a,6a]O)(C[6a]N[6a]N)(NC[6a]H)	C[6a](C[6a]C[6a]H)2(NN[6a]H)	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[5a,6a]O)(C[6a]N[6a]N)(NC[6a]H){1|C<3>,1|N<2>}	C[6a](C[6a]C[6a]H)2(NN[6a]H){1|C<3>,2|H<1>}	115.8200	0.000	1	115.8200	0.000	1	115.7800	0.057	2	115.7800	0.057	2	115.7800	0.057	2	115.7800	0.057	2
670	217	643	0:SP2_SP2_SP2	N	N[6a]	C[6a]	3:3:1:	3:3:3:	3:3:3:	C[6a]-3:N[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-3:	C[6a]-3:C[6a]-3:N-3:	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[6a]N[6a])(C[6a]C[6a,6a]O)(NC[6a]H)	C[6a](C[6a]C[6a]H)2(NN[6a]H)	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[6a]N[6a])(C[6a]C[6a,6a]O)(NC[6a]H){4|C<3>}	C[6a](C[6a]C[6a]H)2(NN[6a]H){1|C<3>,2|H<1>}	115.7400	0.000	1	115.7400	0.000	1	115.7800	0.057	2	115.7800	0.057	2	115.7800	0.057	2	115.7800	0.057	2
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:1:1:	3:3:3:	3:	N[6a]-3:H-1:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]C)(NHH)	H(NN[6a]H)	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]C)(NHH){2|C<3>}	H(NN[6a]H)	120.0220	0.016	2	120.0220	0.016	2	120.0198	0.031	8	120.0198	0.031	8	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:1:1:	3:3:3:	3:	N[6a]-3:H-1:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NHH)	H(NN[6a]H)	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NHH){2|C<3>}	H(NN[6a]H)	120.0070	0.008	2	120.0070	0.008	2	120.0198	0.031	8	120.0198	0.031	8	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:1:1:	3:3:3:	3:	N[6a]-3:H-1:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a]O)(C[6a]N[6a]S)(NHH)	H(NN[6a]H)	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a]O)(C[6a]N[6a]S)(NHH){1|C<4>,1|N<2>}	H(NN[6a]H)	120.0250	0.044	4	120.0250	0.044	4	120.0198	0.031	8	120.0198	0.031	8	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:3:1:	3:3:3:	3:	C[6a]-3:N[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[5a,6a]O)(C[6a]N[6a]N)(NC[6a]H)	H(NC[6a]N[6a])	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[5a,6a]O)(C[6a]N[6a]N)(NC[6a]H){1|C<3>,1|N<2>}	H(NC[6a]N[6a])	122.0480	0.000	1	122.0480	0.000	1	122.0990	0.072	2	121.4854	1.708	5	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:3:1:	3:3:3:	3:	C[6a]-3:N[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[6a]N[6a])(C[6a]C[6a,6a]O)(NC[6a]H)	H(NC[6a]N[6a])	N(C[6a]C[6a]2)(N[6a]C[6a]2)(H)	N[6a](C[6a]C[6a]N[6a])(C[6a]C[6a,6a]O)(NC[6a]H){4|C<3>}	H(NC[6a]N[6a])	122.1500	0.000	1	122.1500	0.000	1	122.0990	0.072	2	121.4854	1.708	5	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:3:1:	3:3:3:	3:	N[6a]-3:C-3:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(CC[6a]O)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCH)	H(NN[6a]C)	N(N[6a]C[6a]2)(CC[6a]O)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCH){2|C<3>}	H(NN[6a]C)	122.3710	0.590	2	122.3710	0.590	2	121.0763	2.281	3	121.4854	1.708	5	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP2_SP-NON_SP2	N	N[6a]	H	3:3:1:	3:3:3:	3:	N[6a]-3:C-3:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(CC[6a]O)(H)	N[6a](C[6a]C[6a,6a]O)2(NCH)	H(NN[6a]C)	N(N[6a]C[6a]2)(CC[6a]O)(H)	N[6a](C[6a]C[6a,6a]O)2(NCH){3|C<3>}	H(NN[6a]C)	118.4870	0.000	1	118.4870	0.000	1	121.0763	2.281	3	121.4854	1.708	5	120.5835	1.234	13	120.5835	1.234	13
670	217	690	0:SP3_SP-NON_SP2	N	N[6a]	H	3:1:1:	3:3:3:	3:	N[6a]-3:H-1:H-1:	C[6a]-3:C[6a]-3:N-3:	N-3:	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a]H)(C[6a]N[6a]O)(NHH)	H(NN[6a]H)	N(N[6a]C[6a]2)(H)2	N[6a](C[6a]C[6a]H)(C[6a]N[6a]O)(NHH){2|C<3>}	H(NN[6a]H)	104.1095	1.718	4	104.1095	1.718	4	104.6936	1.717	12	104.6936	1.717	12	105.5989	3.023	15	105.5989	3.023	15
