762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CC[3]HO)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(N[6]C[6])(CC[3]HO)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.3940	0.000	1	110.3940	0.000	1     110.6497       0.597      11      110.6497     0.597     11
762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CC[6]HH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(N[6]C[6])(CC[6]HH)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.3930	0.000	1	110.3930	0.000	1     110.6497       0.597      11      110.6497     0.597     11
762	466	973	4:2:2:	3:2:4:4:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:O[6]-2:C-4:C-4:	C[6]-3:C-4:	C[6](C[6]O[6]CC)(N[6]C[3,6])(OC)	C[6](C[6]N[6]O)(O[6]C[6])(CC3)(CH3)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]O[6]CC)(N[6]C[3,6])(OC){1|C<3>,2|C<4>}	C[6](C[6]N[6]O)(O[6]C[6])(CC3)(CH3){1|C<4>,1|O<1>}	O(C[6]C[6]N[6])(CH3)	110.9515	0.036	2	110.9515	0.036	2     110.9515       0.036      2      110.9515     0.036     2
762	466	973	4:2:2:	3:3:2:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6a]-3:C[6]-3:N[6]-2:H-1:	C[6]-3:C-4:	C[6](C[6]C[6a]N[6]H)(N[6]C[6])(OC)	C[6](C[6a]C[6a]2)(C[6]N[6]O)(N[6]C[6])(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]C[6a]N[6]H)(N[6]C[6])(OC){1|H<1>,4|C<3>}	C[6](C[6a]C[6a]2)(C[6]N[6]O)(N[6]C[6])(H){1|C<4>,1|O<2>,2|C<3>,2|H<1>}	O(C[6]C[6]N[6])(CH3)	110.4443	0.472	3	110.4443	0.472	3     110.4443       0.472      3      110.4443     0.472     3
762	466	973	4:2:2:	3:3:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-3:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(N[6]C[6]C)(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|H<1>,2|C<4>}	C[6](C[6]N[6]O)(N[6]C[6]C)(CCCH)(H){1|C<4>,1|O<1>}	O(C[6]C[6]N[6])(CH3)	109.6610	0.000	1	109.2580	0.570	2     109.2580       0.570      2      109.2580     0.570     2
762	466	973	4:2:2:	3:3:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-3:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(N[6]C[6]C)(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,3|C<4>}	C[6](C[6]N[6]O)(N[6]C[6]C)(CCCH)(H){1|C<4>,1|O<1>}	O(C[6]C[6]N[6])(CH3)	108.8550	0.000	1	109.2580	0.570	2     109.2580       0.570      2      109.2580     0.570     2
762	466	973	4:2:2:	3:4:2:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:C-4:N[6]-2:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(CC[6a]CH)(N[6]C[6])(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(CC[6a]CH)(N[6]C[6])(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.1980	0.214	2	110.1980	0.214	2     110.4699       0.448      7      110.4699     0.448     7
762	466	973	4:2:2:	3:4:2:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:C-4:N[6]-2:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(CC[6a]HH)(N[6]C[6])(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(CC[6a]HH)(N[6]C[6])(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.5125	0.537	4	110.5125	0.537	4     110.4699       0.448      7      110.4699     0.448     7
762	466	973	4:2:2:	3:4:2:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:C-4:N[6]-2:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(CC[6a]HO)(N[6]C[6])(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(CC[6a]HO)(N[6]C[6])(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.8430	0.000	1	110.8430	0.000	1     110.4699       0.448      7      110.4699     0.448     7
762	466	973	4:2:2:	3:4:2:4:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:C-4:N[6]-2:C-4:	C[6]-3:C-4:	C[6](C[6]N[6]CC)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(CC[6a]HH)(N[6]C[6])(CH3)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CC)(N[6]C[6])(OC){1|C<3>,2|C<4>}	C[6](C[6]N[6]O)(CC[6a]HH)(N[6]C[6])(CH3){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.3855	0.317	2	110.3855	0.317	2     110.3855       0.317      2      110.3855     0.317     2
