466	490	762	2:3:4:2:	4:4:4:1:	2:4:1:	O[6]-2:C[6]-3:C-4:N-2:	C[6]-4:C-4:C-4:H-1:	O[6]-2:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]O[6]O)(CCCH)(NC)	C(C[6]C[6]O[6]N)(CCHH)(CH3)(H)	C[6](O[6]C[6,6a])(C[6]O[6]CN)(O)	C[6](O[6]C[6,6a])(C[6]O[6]O)(CCCH)(NC){2|C<3>}	C(C[6]C[6]O[6]N)(CCHH)(CH3)(H)	C[6](O[6]C[6,6a])(C[6]O[6]CN)(O){2|C<3>}	108.0520	0.000	1	108.0520	0.000	1     108.0520       0.000      1      108.0520     0.000     1
466	490	762	2:3:4:3:	4:3:1:1:	2:4:1:	N[6]-2:C[6]-3:C-4:C-3:	C[6]-4:C[6a]-3:H-1:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HH)(CHH)	C(C[6]C[6]N[6]C)(C[6a]C[6a]2)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CC)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HH)(CHH){2|C<4>}	C(C[6]C[6]N[6]C)(C[6a]C[6a]2)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CC)(O){1|C<3>,1|C<4>,1|H<1>}	109.0580	0.000	1	109.0580	0.000	1     109.0580       0.000      1      109.0580     0.000     1
466	490	762	2:3:4:4:	3:4:1:1:	4:2:1:	N[6]-2:C[6]-3:C-4:C-4:	C[5a]-3:C[6]-4:H-1:H-1:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[6,6])(C[6]O[6]O)(CC[5a]HH)(CH3)	C(C[5a]C[5a,6a]C[5a])(C[6]C[6]N[6]C)(H)2	C[6](C[6]N[6]CC)(O[6]C[6,6])(O)	C[6](N[6]C[6,6])(C[6]O[6]O)(CC[5a]HH)(CH3){2|C<4>}	C(C[5a]C[5a,6a]C[5a])(C[6]C[6]N[6]C)(H)2	C[6](C[6]N[6]CC)(O[6]C[6,6])(O){1|C<3>,2|C<4>}	106.3970	0.273	2	106.3970	0.273	2     106.3970       0.273      2      106.3800     0.195     3
466	490	762	2:3:4:4:	3:4:1:1:	4:2:1:	N[6]-2:C[6]-3:C-4:C-4:	C[6a]-3:C[6]-4:H-1:H-1:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[6,6])(C[6]O[6]O)(CC[6a]HH)(CH3)	C(C[6a]C[6a,6a]C[6a])(C[6]C[6]N[6]C)(H)2	C[6](C[6]N[6]CC)(O[6]C[6,6])(O)	C[6](N[6]C[6,6])(C[6]O[6]O)(CC[6a]HH)(CH3){2|C<4>}	C(C[6a]C[6a,6a]C[6a])(C[6]C[6]N[6]C)(H)2	C[6](C[6]N[6]CC)(O[6]C[6,6])(O){1|C<3>,2|C<4>}	106.3460	0.000	1	106.3460	0.000	1     106.3460       0.000      1      106.3800     0.195     3
466	490	762	2:3:4:4:	4:1:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6])(C[6]C[6]H)(CH3)2	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6]H)(C[6]O[6]CC)(H)	C[6](O[6]C[6,6])(C[6]C[6]H)(CH3)2{1|C<3>,1|C<4>,1|H<1>}	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6]H)(C[6]O[6]CC)(H){2|C<3>}	111.1615	1.333	2	111.1615	1.333	2     111.3958       0.934      81      111.2612     1.174     87
466	490	762	2:3:4:4:	4:1:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6a])(C[6]C[6]H)(CCHH)(CH3)	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CC)(H)	C[6](O[6]C[6,6a])(C[6]C[6]H)(CCHH)(CH3){1|H<1>,2|C<3>}	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CC)(H){2|C<3>}	109.5130	0.000	1	109.5130	0.000	1     111.3958       0.934      81      111.2612     1.174     87
466	490	762	2:3:4:4:	4:1:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6a])(C[6]C[6]H)(CH3)2	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CC)(H)	C[6](O[6]C[6,6a])(C[6]C[6]H)(CH3)2{1|H<1>,2|C<3>}	C(C[6]C[6]O[6]C)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CC)(H){2|C<3>}	111.4259	0.914	78	111.4259	0.914	78     111.3958       0.934      81      111.2612     1.174     87
466	490	762	2:3:4:4:	4:1:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6])(C[6]N[6]O)(CH3)2	C(C[6]C[6]O[6]C)(H)3	C[6](N[6]C[6a]C[6])(C[6]O[6]CC)(O)	C[6](O[6]C[6,6])(C[6]N[6]O)(CH3)2{1|C<4>,1|O<2>,2|C<3>}	C(C[6]C[6]O[6]C)(H)3	C[6](N[6]C[6a]C[6])(C[6]O[6]CC)(O){1|C<4>,2|C<3>,2|H<1>}	108.3672	2.124	4	108.3672	2.124	4     108.3672       2.124      4      111.2612     1.174     87
466	490	762	2:3:4:4:	4:1:1:1:	3:4:1:	S[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:H-1:	C[6](S[6]C[6,6a])(C[6]C[6]H)(CH3)2	C(C[6]C[6]S[6]C)(H)3	C[6](C[6]N[6,6a]C)(C[6]S[6]CC)(H)	C[6](S[6]C[6,6a])(C[6]C[6]H)(CH3)2{1|C<4>,1|N<2>,1|N<3>}	C(C[6]C[6]S[6]C)(H)3	C[6](C[6]N[6,6a]C)(C[6]S[6]CC)(H){2|C<3>}	111.5980	0.225	2	111.5980	0.225	2     111.5980       0.225      2      111.2612     1.174     87
466	490	762	2:3:4:4:	4:1:1:1:	4:2:1:	N[6]-2:C[6]-3:C-4:C-4:	C[6]-4:H-1:H-1:H-1:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[6,6])(C[6]O[6]O)(CCHH)(CH3)	C(C[6]C[6]N[6]C)(H)3	C[6](C[6]N[6]CC)(O[6]C[6,6])(O)	C[6](N[6]C[6,6])(C[6]O[6]O)(CCHH)(CH3){2|C<4>}	C(C[6]C[6]N[6]C)(H)3	C[6](C[6]N[6]CC)(O[6]C[6,6])(O){1|C<3>,2|C<4>}	108.9027	0.501	3	108.9027	0.501	3     109.5177       0.781      7      109.5177     0.781     7
