490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5,6a]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Ag)(C[6]C[6]H)(CN[5]HH)	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH){1|Ag<3>,1|H<1>,2|C<3>}	C[6](N[6]C[6]Ag)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	112.3730	0.000	1	112.4390	0.093	2     111.4060       1.561      6      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5,6a]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Cu)(C[6]C[6]H)(CN[5]HH)	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH){1|Cu<4>,1|H<1>,2|C<3>}	C[6](N[6]C[6]Cu)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	112.6160	0.000	1	112.3720	0.345	2     111.4060       1.561      6      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5,6a]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Cu)(C[6]C[6]H)(CN[5]HH)	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH){1|Cu<5>,1|H<1>,2|C<3>}	C[6](N[6]C[6]Cu)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	112.1280	0.000	1	112.3720	0.345	2     111.4060       1.561      6      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5,6a]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Pd)(C[6]C[6]H)(CN[5]HH)	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH){1|Pd<4>,1|H<1>,2|C<3>}	C[6](N[6]C[6]Pd)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	109.4070	0.245	2	109.4070	0.245	2     111.4060       1.561      6      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)(C[6]N[6]H)(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Zn<4>,1|C<4>}	C[6](C[6]C[6]H)(C[6]N[6]H)(CN[5]HH){1|Zn<4>,1|C<3>,1|H<1>}	111.8670	0.000	1	111.8670	0.000	1     112.4950       1.544      17      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)2(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Co<6>,1|C<4>}	C[6](C[6]C[6]H)2(CN[5]HH){1|N<3>,2|H<1>}	112.9830	0.007	2	111.8839	1.029	12     112.4950       1.544      17      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)2(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Cu<5>,1|C<4>}	C[6](C[6]C[6]H)2(CN[5]HH){1|N<3>,2|H<1>}	112.2863	0.052	3	111.8839	1.029	12     112.4950       1.544      17      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)2(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Cu<6>,1|C<4>}	C[6](C[6]C[6]H)2(CN[5]HH){1|N<3>,2|H<1>}	112.0250	0.000	1	111.8839	1.029	12     112.4950       1.544      17      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)2(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Zn<4>,1|C<4>}	C[6](C[6]C[6]H)2(CN[5]HH){1|N<3>,2|H<1>}	111.2928	1.150	6	111.8839	1.029	12     112.4950       1.544      17      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]N[5]H)(N[5]C[5])(CC[6]HH)	C[6](C[6]C[6]H)2(CN[5]HH)	C(N[5]C[5]N[5])(C[6]C[6]2)(H)2	N[5](C[5]N[5]H)(N[5]C[5])(CC[6]HH){1|Cd<6>,1|H<1>}	C[6](C[6]C[6]H)2(CN[5]HH){1|N<3>,2|H<1>}	114.9165	0.255	2	114.4855	1.390	4     112.4950       1.544      17      112.4828     1.343     254
