466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H){1|N<2>,2|C<3>,2|C<4>,2|O<2>}   1.5151    0.0016    2     1.5151     0.0016    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]O)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,1|O<2>,3|C<3>,4|H<1>}    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]O)(C[6]O[6]2H){1|H<1>,1|N<2>,1|O<2>,2|C<3>,2|C<4>}   1.5029    0.0000    1     1.5029     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(C[6]O[6]2H){1|C<3>,1|N<2>,2|O<2>,3|C<4>}   1.5053    0.0024    2     1.5053     0.0024    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,1|N<2>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.4975    0.0000    1     1.4975     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-1_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6a])(O[6]C[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6a])(O[6]C[6])(H){4|C<3>,4|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<4>,2|C<3>,2|H<1>}   1.5037    0.0035    3     1.5037     0.0035    3
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a,6a]-1_1_1:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a,6a]C[6a])(S[6]C[6])2(H)    C[6a](C[6a,6a]C[3x6a]C[6a])(C[6a]C[6a]H)(C[6]S[6]2H)     C[6](C[6a]C[6a,6a]C[6a])(S[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a,6a]C[3x6a]C[6a])(C[6a]C[6a]H)(C[6]S[6]2H){2|C<4>,2|H<1>,3|C<3>}   1.5142    0.0000    1     1.5142     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,1|N<3>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]S[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5076    0.0022    5     1.5076     0.0022    5
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,1|O<2>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]S[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5016    0.0000    1     1.5016     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]S[6]2H){1|C<3>,1|H<1>,3|C<4>}   1.5100    0.0000    1     1.5095     0.0007    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]S[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5090    0.0000    1     1.5095     0.0007    2
