490    770     SP2_SP3    N    3:4:4:4:    4:4:1:    B-3_3_0:C-3_0_0_0:C-3_0_0_0:C-3_0_0_0     B-3_3_2_0:C-3_3_3_2:Cl-2     C(BClB)(CH3)3    B(BClCP)(CC3)(Cl)     C(BClB)(CH3)3    B(BClCP)(CC3)(Cl)   1.5977    0.0000    1     1.5977     0.0000    1
490    770     SP2_SP3    N    4:3:1:1:    3:3:4:    B-3_2_2:C-3_3_0_0:H-3:H-3     C-3_2_0_0:C[6a]-2_2_2:C[6a]-2_2_2     C(CC[5]HH)(BC[6a]2)(H)2    B(C[6a]C[6a]2)2(CCHH)     C(CC[5]HH)(BC[6a]2)(H)2    B(C[6a]C[6a]2)2(CCHH)   1.5580    0.0000    1     1.5580     0.0000    1
490    770     SP2_SP3    N    4:3:1:1:    3:3:4:    B-3_2_2:C[6,6]-3_3_3_3:H-3:H-3     C-3_2_0_0:C[6a]-2_2_2:C[6a]-2_2_2     C(C[6,6]C[6,6]C[6]2)(BC[6a]2)(H)2    B(C[6a]C[6a]2)2(CC[6,6]HH)     C(C[6,6]C[6,6]C[6]2)(BC[6a]2)(H)2    B(C[6a]C[6a]2)2(CC[6,6]HH)   1.5545    0.0000    1     1.5545     0.0000    1
490    770     SP2_SP3    N    4:3:1:1:    3:4:4:    B-3_3_2:C-3_2_0_0:H-3:H-3     C-3_2_0_0:C-3_2_0_0:N-2_2_2     C(CBHH)(BCN)(H)2    B(NC[6a]2)(CCHH)2     C(CBHH)(BCN)(H)2    B(NC[6a]2)(CCHH)2   1.5797    0.0162    2     1.5797     0.0162    2
490    770     SP2_SP3    N    4:3:1:1:    4:2:2:    B-3_2_2:C[5]-3_3_2_0:H-3:H-3     C-3_2_0_0:O-2_0:O-2_0     C(C[5]C[5]N[5]H)(BOO)(H)2    B(CC[5]HH)(OH)2     C(C[5]C[5]N[5]H)(BOO)(H)2    B(CC[5]HH)(OH)2   1.5971    0.0000    1     1.5971     0.0000    1
490    770     SP2_SP3    N    4:3:1:1:    4:4:4:    B-3_3_3:C-3_0_0_0:H-3:H-3     C-3_2_0_0:C-3_2_0_0:C-3_2_0_0     C(CH3)(BCC)(H)2    B(CCHH)3     C(CH3)(BCC)(H)2    B(CCHH)3   1.6195    0.0096    3     1.6195     0.0096    3
490    770     SP2_SP3    N    4:3:1:1:    4:4:4:    B-3_3_3:C-3_0_0_0:H-3:H-3     C-3_2_0_0:C-3_2_0_0:C-3_3_2_0     C(CH3)(BCC)(H)2    B(CCCH)(CCHH)2     C(CH3)(BCC)(H)2    B(CCCH)(CCHH)2   1.5747    0.0086    2     1.5747     0.0086    2
490    770     SP2_SP3    N    4:3:3:1:    4:4:2:    B-3_3_2:C[6]-3_3_3_0:H-3:N-3_2_0     C-3_2_2_0:C[6]-3_3_2_0:O-3_2     C(C[6]C[6]2H)(NC[6a]Pt)(BC[6]O)(H)    B(C[6]C[6]2H)(CC[6]HN)(OC)     C(C[6]C[6]2H)(NC[6a]Pt)(BC[6]O)(H)    B(C[6]C[6]2H)(CC[6]HN)(OC)   1.5875    0.0000    1     1.5875     0.0000    1
490    770     SP2_SP3    N    4:4:3:1:    3:4:4:    B-3_3_2:C-3_3_0_0:C-3_3_0_0:H-3     C-3_2_2_0:C-3_3_2_0:N-3_3_2     C(CCHH)2(BCN)(H)    B(NC[5]C)(CCCH)(CCHN)     C(CCHH)2(BCN)(H)    B(NC[5]C)(CCCH)(CCHN)   1.6124    0.0036    2     1.6124     0.0036    2
490    770     SP2_SP3    N    4:4:3:1:    4:4:2:    B-3_3_2:C-3_3_0_0:C-3_3_0_0:H-3     C-3_3_2_0:C-3_3_2_0:O-2_0     C(CCHH)2(BCO)(H)    B(CCCH)(CCHN)(OH)     C(CCHH)2(BCO)(H)    B(CCCH)(CCHN)(OH)   1.5648    0.0000    1     1.5648     0.0000    1
490    770     SP2_SP3    N    4:4:3:1:    4:4:2:    B-3_3_3:H-3:Si-3_3_3_3:Si-3_3_3_3     C-3_3_2_0:C-3_3_2_0:O-2_0     C(SiC3)2(BCO)(H)    B(CSi2H)2(OPb)     C(SiC3)2(BCO)(H)    B(CSi2H)2(OPb)   1.5921    0.0142    6     1.5921     0.0142    6
490    770     SP2_SP3    N    4:4:3:1:    4:4:2:    B-3_3_3:H-3:Si-3_3_3_3:Si-3_3_3_3     C-3_3_2_0:C-3_3_2_0:O-2_0     C(SiC3)2(BCO)(H)    B(CSi2H)2(OSn)     C(SiC3)2(BCO)(H)    B(CSi2H)2(OSn)   1.5916    0.0035    4     1.5916     0.0035    4
490    770     SP2_SP3    N    4:4:3:1:    4:4:4:    B-3_3_3:C-3_3_2_0:C-3_3_3_0:H-3     C-3_2_0_0:C-3_2_0_0:C-3_3_2_0     C(CC[6a]CH)(CCCH)(BCC)(H)    B(CCCH)(CCHH)2     C(CC[6a]CH)(CCCH)(BCC)(H)    B(CCCH)(CCHH)2   1.6065    0.0000    1     1.6065     0.0000    1
490    778     SP3_SPD5    N    5:1:1:1:    3:5:2:2:4:    C[3]-5_3_2_2_0:H-3:H-3:H-3     C-5_0_0_0:C[3]-5_2_0_0_0:C[6a]-5_2_2:H[3]-5_5:N-5_2     C(C[3]C[6a]C[3]H[3]N)(H)3    C[3](C[6a]C[6a]N[6a])(C[3]H[3]CHH)(H[3]C[3])(NC[6a])(CH3)     C(C[3]C[6a]C[3]H[3]N)(H)3    C[3](C[6a]C[6a]N[6a])(C[3]H[3]CHH)(H[3]C[3])(NC[6a])(CH3){1|H<1>,2|C<3>}   1.6132    0.0000    1     1.6132     0.0000    1
