727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-2_2_2:C[5]-3_3_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_2746_1  693_42_2  1.3446  0.0037  2  1.3446  0.0037  2  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-3_2_2:C[5,6]-3_3_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a,6a]-2_2_2  416_1289_1  693_103_1  1.3535  0.0000  1  1.3535  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-3_2_2:C[5]-3_2_0_0:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_1592_1  693_42_1  1.3564  0.0002  2  1.3564  0.0002  2  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-3_2_2:C[5]-3_2_0_0:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_2640_1  693_42_3  1.3513  0.0000  1  1.3513  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-3_2_2:C[5]-3_2_2_0:O[6a]-2_2  C[5,6a]-3_2_2:C[6a,6a]-2_2_2  416_1296_1  693_104_2  1.3590  0.0196  8  1.3590  0.0196  8  
727  933  SP2_SP2  Y  4:3:2:  3:3:  C[5,5,6]-3_3_3_2:C[5,6,6a]-3_2_2:O[6a]-2_2  C[5,6,6a]-3_2_2:C[6a,6a]-2_2_2  413_112_1  693_37_1  1.3451  0.0079  4  1.3451  0.0079  4  
727  939  SP2_SP2  Y  3:3:3:  3:2:1:  C[5,6a]-3_2_2:C[6a]-3_2_2:Ge[5]-2_2_0  Cl-2:C[5,6a]-2_2_2:O[5]-3_2  416_4012_1  561_11_1  2.0273  0.0000  1  2.0273  0.0000  1  
727  939  SP2_SP2  Y  3:3:3:  3:3:1:  C[5,6a]-2_2_2:C[5,6a]-2_2_2:Ge[5]-2_2_0  Cl-2:C[5,6a]-2_2_2:N[5]-2_2_2  416_2238_1  561_8_1  1.9919  0.0001  2  1.9919  0.0001  2  
727  939  SP2_SP2  Y  3:3:3:  3:3:2:  C[5,6a]-3_2_2:C[6a]-2_2_0:Ge[5]-2_2_1  C[5,6a]-2_2_2:C[6a]-2_2_2:Ge[5]-3_2  416_3877_1  561_9_1  1.9562  0.0000  1  1.9562  0.0000  1  
727  939  SP2_SP2  Y  3:3:3:  3:3:3:  C[5,6a]-2_2_2:C[5,6a]-2_2_2:Ge[5]-2_2_2  C[5,6a]-2_2_2:Ge[5]-2_2_2:N[5]-2_2_2  416_2237_1  561_35_1  1.9609  0.0096  2  1.9609  0.0096  2  
727  939  SP2_SP2  Y  3:3:3:  3:4:3:  C[5,6,6a]-3_2_2:C[6a]-2_2_2:Ge[5,5,6]-3_3_2  C[5,6,6a]-2_2_2:N[5,5,6]-3_3_2_1:N[5,5]-3_3_2  413_628_1  558_0_1  1.9945  0.0000  1  1.9945  0.0000  1  
727  940  SP-NON_SP2  N  2:2:2:  3:3:  N[5a]-2_2:P-2_2:S[5a]-2_2  C[5a]-2_2_0:C[5]-2_2_0  425_8992_1  694_1109_0  1.7909  0.0000  1  1.7909  0.0000  1  
727  940  SP-NON_SP2  N  3:2:2:  3:3:  C[5a]-2_2_0:P-2_2:S[5a]-2_2  C[5a]-2_2_0:C[6a]-2_2_0  425_5219_1  694_1080_0  1.7037  0.0000  1  1.7037  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:O[5a]-3_2  C[5a]-2_2_2:H-2  425_9391_1  599_5437_0  1.2971  0.0000  1  1.2971  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:H-2  425_8979_1  599_5495_0  1.3215  0.0000  1  1.3215  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:H-2  425_9426_1  599_5495_0  1.3398  0.0000  1  1.3363  0.0049  2  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:H-2  425_9426_2  599_5495_0  1.3329  0.0000  1  1.3363  0.0049  2  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:H-2  425_10599_1  599_5495_0  1.3283  0.0074  2  1.3339  0.0110  3  
727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:H-2  425_10599_2  599_5495_0  1.3451  0.0000  1  1.3339  0.0110  3  
