490    917     SP3_SP3    N    4:4:1:1:    2:2:4:4:    C-3_3_3_0:H-3:H-3:P[4]-3_3_3_3     C-3_3_0_0:C-3_3_0_0:S[4]-6_3:S[4]-6_3     C(P[4]S[4]2C)(CCCH)(H)2    P[4](S[4]In[3x4])2(CCHH)2     C(P[4]S[4]2C)(CCCH)(H)2    P[4](S[4]In[3x4])2(CCHH)2{4|S<2>}   1.8210    0.0091    2     1.8210     0.0091    2
490    917     SP3_SP3    N    4:4:1:1:    3:3:4:1:    C-3_0_0_0:H-3:H-3:P[4,4]-3_3_3_0     C-3_3_0_0:Cl-3:P[3,4,4]-3_3_3:P[3,4,4]-3_3_3     C(P[4,4]P[3,4,4]2Cl)(CH3)(H)2    P[4,4](P[3,4,4]P[3,3,4]2)2(CCHH)(Cl)     C(P[4,4]P[3,4,4]2Cl)(CH3)(H)2    P[4,4](P[3,4,4]P[3,3,4]2)2(CCHH)(Cl)   1.7993    0.0000    1     1.7993     0.0000    1
490    917     SP3_SP3    N    4:4:1:1:    3:3:4:2:    C-3_1_0_0:H-3:H-3:P[4]-3_3_3_2     C-3_3_0_0:N-3_3:N[4]-3_3_3:N[4]-3_3_3     C(P[4]N[4]2N)(CCHH)(H)2    P[4](N[4]P[4]C)2(CCHH)(NC)     C(P[4]N[4]2N)(CCHH)(H)2    P[4](N[4]P[4]C)2(CCHH)(NC){1|N<3>}   1.8185    0.0000    1     1.8185     0.0000    1
490    917     SP3_SP3    N    4:4:1:1:    3:3:4:3:    C-3_1_0_0:H-3:H-3:P[4]-3_3_2_2     C-3_3_0_0:N-3_3_0:N[4]-3_3_3:N[4]-3_3_3     C(P[4]N[4]2N)(CCHH)(H)2    P[4](N[4]P[4]C)2(CCHH)(NCH)     C(P[4]N[4]2N)(CCHH)(H)2    P[4](N[4]P[4]C)2(CCHH)(NCH){1|N<2>}   1.8122    0.0000    1     1.8122     0.0000    1
490    917     SP3_SP3    N    4:4:1:1:    4:4:4:4:    C-3_0_0_0:H-3:H-3:P[4]-3_3_0_0     C-3_3_0_0:C-3_3_0_0:In[4]-3_3_2_2:In[4]-3_3_2_2     C(P[4]In[4]2C)(CH3)(H)2    P[4](In[4]C[6a]2P[4])2(CCHH)2     C(P[4]In[4]2C)(CH3)(H)2    P[4](In[4]C[6a]2P[4])2(CCHH)2{2|C<4>,8|C<3>}   1.8610    0.0071    2     1.8610     0.0071    2
490    917     SP3_SP3    N    4:4:1:1:    4:4:4:4:    C-3_0_0_0:H-3:H-3:P[4]-3_3_3_3     B[4]-3_3_2_2:B[4]-3_3_2_2:C-3_3_0_0:C-3_3_0_0     C(P[4]B[4]2C)(CH3)(H)2    P[4](B[4]C[6a]2P[4])2(CCHH)2     C(P[4]B[4]2C)(CH3)(H)2    P[4](B[4]C[6a]2P[4])2(CCHH)2{2|C<4>,8|C<3>}   1.8397    0.0004    4     1.8397     0.0004    4
490    917     SP3_SP3    N    4:4:1:1:    4:4:4:4:    C-3_3_0_0:H-3:H-3:P[4]-3_3_3_3     B-3_0_0_0:C-3_3_0_0:C[4]-3_3_3_0:C[4]-3_3_3_0     C(P[4]C[4]2B)(CCHH)(H)2    P[4](C[4]C[4]CH)2(CCHH)(BH3)     C(P[4]C[4]2B)(CCHH)(H)2    P[4](C[4]C[4]CH)2(CCHH)(BH3){2|H<1>}   1.8151    0.0000    1     1.8151     0.0000    1
490    917     SP3_SP3    N    4:4:1:1:    4:4:4:4:    C-3_3_0_0:H-3:H-3:P[4]-3_3_3_3     B-3_0_0_0:C-3_3_0_0:C[4]-3_3_3_0:C[4]-3_3_3_0     C(P[4]C[4]2B)(CCHH)(H)2    P[4](C[4]C[4]C[6]H)2(CCHH)(BH3)     C(P[4]C[4]2B)(CCHH)(H)2    P[4](C[4]C[4]C[6]H)2(CCHH)(BH3){4|C<4>,4|H<1>}   1.8127    0.0000    1     1.8127     0.0000    1
490    917     SP3_SP3    N    4:4:4:1:    3:3:3:4:    H-3:P[4]-3_2_2_2:Si-3_3_3_3:Si-3_3_3_3     C-3_3_3_0:C[6a]-3_2_2:Ge[4]-3_3_3:Ge[4]-3_3_3     C(P[4]C[6a]Ge[4]2)(SiC3)2(H)    P[4](C[6a]C[6a]2)(Ge[4]P[4]P)2(CSi2H)     C(P[4]C[6a]Ge[4]2)(SiC3)2(H)    P[4](C[6a]C[6a]2)(Ge[4]P[4]P)2(CSi2H){1|C<4>,2|H<1>,3|C<3>}   1.8538    0.0032    4     1.8538     0.0032    4
490    917     SP3_SP3    N    4:4:4:1:    3:3:4:1:    C-3_0_0_0:C-3_0_0_0:H-3:P[4,4]-3_3_3_0     C-3_3_3_0:Cl-3:P[3,4,4]-3_3_3:P[3,4,4]-3_3_3     C(P[4,4]P[3,4,4]2Cl)(CH3)2(H)    P[4,4](P[3,4,4]P[3,3,4]2)2(CCCH)(Cl)     C(P[4,4]P[3,4,4]2Cl)(CH3)2(H)    P[4,4](P[3,4,4]P[3,3,4]2)2(CCCH)(Cl)   1.8278    0.0071    2     1.8278     0.0071    2
