618    958     SP3_SP3    N    2:2:2:    3:3:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:B[6]-3_3_3     B[6](O[6]B[6,6])(O[6]B[6])(OB[6])    O(B[6]O[6]2)2     B[6](O[6]B[6,6])(O[6]B[6])(OB[6]){1|O<3>,3|O<2>}    O(B[6]O[6]2)2   1.3611    0.0019    2     1.3735     0.0083    19
618    958     SP3_SP3    N    2:2:2:    3:3:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:B[6]-3_3_3     B[6](O[6]B[6,6])(O[6]B[6])(OB[6])    O(B[6]O[6]2)2     B[6](O[6]B[6,6])(O[6]B[6])(OB[6]){2|Na<13>,2|O<4>,3|O<3>}    O(B[6]O[6]2)2   1.3799    0.0000    1     1.3735     0.0083    19
618    958     SP3_SP3    N    2:2:2:    3:3:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:B[6]-3_3_3     B[6](O[6]B[6,6])(O[6]B[6])(OB[6])    O(B[6]O[6]2)2     B[6](O[6]B[6,6])(O[6]B[6])(OB[6]){4|O<2>}    O(B[6]O[6]2)2   1.3747    0.0076    16     1.3735     0.0083    19
618    958     SP3_SP3    N    2:2:2:    3:4:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:C-3_0_0_0     B[6](O[6]B[6,6])(O[6]B[6])(OC)    O(B[6]O[6]2)(CH3)     B[6](O[6]B[6,6])(O[6]B[6])(OC){4|O<2>}    O(B[6]O[6]2)(CH3)   1.3674    0.0056    4     1.3674     0.0056    4
618    958     SP3_SP3    N    2:2:2:    4:3:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3_3:B[6]-3_3_3     B[6](O[6]B[6,6])(O[6]B[6])(OB[6])    O(B[6]O[6]2O)(B[6]O[6]2)     B[6](O[6]B[6,6])(O[6]B[6])(OB[6]){4|O<2>}    O(B[6]O[6]2O)(B[6]O[6]2)   1.3597    0.0107    5     1.3597     0.0107    5
618    958     SP3_SP3    N    2:2:2:    4:3:    O-3_3:O[6]-3_3:O[6]-3_3     B[6]-3_3_3_3:B[6]-3_3_3     B[6](O[6]B[6])2(OB[6])    O(B[6]O[6]2O)(B[6]O[6]2)     B[6](O[6]B[6])2(OB[6]){4|O<2>}    O(B[6]O[6]2O)(B[6]O[6]2)   1.3720    0.0128    2     1.3720     0.0128    2
618    958     SP3_SP3    N    3:3:2:    3:1:    C[6a,6a]-3_2_2:N[6a]-3_2_0:O-3_0     B[6a]-3_3_2:H-3     B[6a](C[6a,6a]C[3x6a]C[6a])(N[6a]C[6a,6a]H)(OH)    O(B[6a]C[6a,6a]N[6a])(H)     B[6a](C[6a,6a]C[3x6a]C[6a])(N[6a]C[6a,6a]H)(OH){1|O<2>,4|C<3>}    O(B[6a]C[6a,6a]N[6a])(H)   1.3726    0.0000    1     1.3726     0.0000    1
618    958     SP3_SP3    N    3:3:2:    3:3:    N[6]-3_3_3:N[6]-3_3_3:O-3_2     B[6]-3_3_3:N-3_2_2     B[6](N[6]B[6]C)2(ON)    O(B[6]N[6]2)(NOO)     B[6](N[6]B[6]C)2(ON){3|N<3>}    O(B[6]N[6]2)(NOO)   1.4740    0.0000    1     1.4740     0.0000    1
618    958     SP3_SP3    N    4:2:2:    3:1:    C[6,6]-3_3_3_0:O-3_0:O[6]-3_3     B[6]-3_3_3:H-3     B[6](C[6,6]C[6,6]C[6]H)(O[6]C[6])(OH)    O(B[6]C[6,6]O[6])(H)     B[6](C[6,6]C[6,6]C[6]H)(O[6]C[6])(OH){1|C<3>,3|C<4>,4|H<1>}    O(B[6]C[6,6]O[6])(H)   1.3506    0.0000    1     1.3506     0.0000    1
618    964     SP1_SP2    N    3:3:2:    3:2:    C-2_1:C[6a]-2_2_0:N[6a]-2_2_0     B[6a]-2_2_1:C-2_1     B[6a](C[6a]C[6a]H)(N[6a]C[6a]H)(CC)    C(B[6a]C[6a]N[6a])(CB[6a])     B[6a](C[6a]C[6a]H)(N[6a]C[6a]H)(CC){1|C<3>,2|H<1>}    C(B[6a]C[6a]N[6a])(CB[6a])   1.5392    0.0000    1     1.5392     0.0000    1
618    977     SP-NON_SP2    N    3:3:1:    3:    Br-2:C[6,6a]-2_2_2:C[6,6a]-2_2_2     B[6]-2_2_0     B[6](C[6,6a]C[6,6a]C[6a])2(Br)    Br(B[6]C[6,6a]2)     B[6](C[6,6a]C[6,6a]C[6a])2(Br){1|B<3>,2|H<1>,4|C<3>}    Br(B[6]C[6,6a]2)   1.9346    0.0225    2     1.9346     0.0225    2
618    977     SP-NON_SP2    N    3:3:1:    3:    Br-2:C[6a,6a]-2_2_2:N[6a]-2_2_2     B[6a]-2_2_0     B[6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a]2)(Br)    Br(B[6a]C[6a,6a]N[6a])     B[6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a]2)(Br){1|C<4>,1|H<1>,5|C<3>}    Br(B[6a]C[6a,6a]N[6a])   1.9520    0.0142    4     1.9520     0.0142    4
