643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Sn<4>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9321    0.0000    1     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Te<2>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9262    0.0111    8     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Te<3>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9224    0.0088    4     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Te<4>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9398    0.0000    1     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Br<1>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9496    0.0000    1     1.9352     0.0101    7
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|H<1>,1|O<2>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9314    0.0017    2     1.9352     0.0101    7
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|H<1>,1|S<2>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9260    0.0000    1     1.9352     0.0101    7
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Te<3>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9433    0.0000    1     1.9352     0.0101    7
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){2|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9324    0.0143    2     1.9352     0.0101    7
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]O[6a])(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]O[6a])(SeC[6a]){1|H<1>,5|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9164    0.0000    1     1.9164     0.0000    1
