358    474     3:4:    4:2:1:1:    C[5,5]-3:C[5]-4:     C[5,6]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5,5]C[5,5]N[5,5])(C[5]C[5,6]HH)    C[5](C[5,6]N[5,5]C[6]2)(O[5]C[5,5])(H)2     O[5](C[5,5]C[5,5]N[5,5])(C[5]C[5,6]HH){1|C<3>,1|N<3>,1|O<2>,2|C<4>}    C[5](C[5,6]N[5,5]C[6]2)(O[5]C[5,5])(H)2{2|C<3>,3|C<4>,3|H<1>}   1.4444    0.0000    1     1.4444     0.0000    1
358    474     3:4:    4:2:1:1:    C[5,5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5,5]C[5,5]N[5,5])(C[5]C[5]HH)    C[5](C[5]N[5,5]CC)(O[5]C[5,5])(H)2     O[5](C[5,5]C[5,5]N[5,5])(C[5]C[5]HH){1|C<3>,1|N<3>,1|O<2>,2|C<4>}    C[5](C[5]N[5,5]CC)(O[5]C[5,5])(H)2{2|C<3>}   1.4447    0.0005    2     1.4447     0.0005    2
358    474     3:4:    4:2:1:1:    C[5,6]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5,6]N[5,6]C[6])(C[5]C[5]HH)    C[5](C[5]N[5,6]CH)(O[5]C[5,6])(H)2     O[5](C[5,6]N[5,6]C[6])(C[5]C[5]HH){1|Lu<8>,1|C<3>,1|C<4>,2|H<1>}    C[5](C[5]N[5,6]CH)(O[5]C[5,6])(H)2{1|Lu<8>,1|C<3>}   1.4244    0.0000    1     1.4244     0.0000    1
358    474     3:4:    4:2:1:1:    C[5,6a]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HH)    C[5](C[5]C[5,6a]HH)(O[5]C[5,6a])(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HH){2|C<3>,3|H<1>}    C[5](C[5]C[5,6a]HH)(O[5]C[5,6a])(H)2{2|C<3>}   1.4466    0.0000    1     1.4438     0.0024    3
358    474     3:4:    4:2:1:1:    C[5,6a]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HH)    C[5](C[5]C[5,6a]HH)(O[5]C[5,6a])(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HH){2|H<1>,3|C<3>}    C[5](C[5]C[5,6a]HH)(O[5]C[5,6a])(H)2{2|C<3>}   1.4424    0.0003    2     1.4438     0.0024    3
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5,5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5,6]O)(C[5]C[5,5]HH)    C[5](C[5,5]C[5,5,6]C[5,6]H)(O[5]C[5])(H)2     O[5](C[5]C[5,5,6]O)(C[5]C[5,5]HH){1|H<1>,3|C<4>}    C[5](C[5,5]C[5,5,6]C[5,6]H)(O[5]C[5])(H)2{1|C<3>,1|H<1>,1|O<1>,1|O<2>,2|C<4>}   1.4471    0.0000    1     1.4471     0.0000    1
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5,6]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5,6]O)(C[5]C[5,6]HH)    C[5](C[5,6]C[5,5,6]C[6]C)(O[5]C[5])(H)2     O[5](C[5]C[5,5,6]O)(C[5]C[5,6]HH){1|O<2>,3|C<4>}    C[5](C[5,6]C[5,5,6]C[6]C)(O[5]C[5])(H)2{1|O<1>,1|O<2>,2|C<4>,2|H<1>}   1.4368    0.0000    1     1.4368     0.0000    1
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[3]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[3]N[5])(C[5]C[5]HH){5|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|C<4>}   1.4478    0.0000    1     1.4478     0.0000    1
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5]O)(C[5]C[5]HH)    C[5](C[5]C[5,5]CC)(O[5]C[5])(H)2     O[5](C[5]C[5,5]O)(C[5]C[5]HH){1|C<3>,1|O<2>,2|C<4>}    C[5](C[5]C[5,5]CC)(O[5]C[5])(H)2{1|C<3>,1|O<1>,1|O<2>}   1.4502    0.0000    1     1.4488     0.0019    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5]O)(C[5]C[5]HH)    C[5](C[5]C[5,5]CC)(O[5]C[5])(H)2     O[5](C[5]C[5,5]O)(C[5]C[5]HH){1|C<4>,1|O<2>,2|C<3>}    C[5](C[5]C[5,5]CC)(O[5]C[5])(H)2{1|C<3>,1|O<1>,1|O<2>}   1.4475    0.0000    1     1.4488     0.0019    2
