286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[5a,6]-3_2_2:C[6]-3_2_0_0     C[6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH)    C[6](S[6]C[5a,6])(C[6]N[6]C)(H)2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH){2|C<3>,2|N<2>}    C[6](S[6]C[5a,6])(C[6]N[6]C)(H)2{1|N<2>,1|N<3>}   1.8066    0.0000    1     1.8066     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]C[6]C)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|H<1>,4|C<3>}    C[6](S[6]C[6,6a])(C[6]C[6]C)(H)2{1|H<1>,2|C<3>}   1.7922    0.0000    1     1.7922     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]N[6]O)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|H<1>,1|N<3>,1|O<1>,2|C<3>}    C[6](S[6]C[6,6a])(C[6]N[6]O)(H)2{1|C<4>,2|C<3>}   1.7972    0.0075    12     1.7972     0.0075    12
286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6]-3_3_0:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]N[6]H)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|C<4>,1|H<1>,1|N<3>,2|C<3>}    C[6](S[6]C[6,6a])(C[6]N[6]H)(H)2{1|Ni<4>,2|C<3>}   1.7969    0.0000    1     1.7969     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:3:1:    C[6,6a]-3_2_2:C[6]-3_2_2_0     C-3_2_2:C[6]-3_2_2:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH)    C[6](S[6]C[6,6a])(C[6]N[6]O)(CC[6a]O)(H)     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH){1|H<1>,1|N<3>,1|O<1>,2|C<3>}    C[6](S[6]C[6,6a])(C[6]N[6]O)(CC[6a]O)(H){1|H<1>,2|C<3>}   1.8057    0.0000    1     1.8057     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:4:1:    C[6,6a]-3_2_2:C[6]-3_3_2_0     C-3_2_0_0:C[6]-3_2_2:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH)    C[6](S[6]C[6,6a])(C[6]N[6]O)(CCHH)(H)     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH){1|H<1>,1|N<3>,1|O<1>,2|C<3>}    C[6](S[6]C[6,6a])(C[6]N[6]O)(CCHH)(H){1|H<1>,2|C<3>}   1.8182    0.0000    1     1.8182     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:4:4:    C[6,6a]-3_2_2:C[6]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[6]-3_2_0:S[6]-3_2     S[6](C[6,6a]N[6,6a]N[6a])(C[6]C[6]CC)    C[6](S[6]C[6,6a])(C[6]C[6]H)(CH3)2     S[6](C[6,6a]N[6,6a]N[6a])(C[6]C[6]CC){1|H<1>,3|C<3>}    C[6](S[6]C[6,6a])(C[6]C[6]H)(CH3)2{1|C<4>,1|N<2>,1|N<3>}   1.8367    0.0000    1     1.8367     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:4:1:1:    C[5a,6]-3_2_2:C[6]-3_3_0_0     C[6]-3_2_0_0:H-3:H-3:S[6]-3_2     S[6](C[5a,6]N[5a,6]C[5a])(C[6]C[6]HH)    C[6](S[6]C[5a,6])(C[6]C[6]HH)(H)2     S[6](C[5a,6]N[5a,6]C[5a])(C[6]C[6]HH){1|N<2>,2|H<1>,3|C<3>}    C[6](S[6]C[5a,6])(C[6]C[6]HH)(H)2{1|C<3>,1|N<3>,1|O<1>}   1.7986    0.0000    1     1.7986     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:4:1:1:    C[6,6a]-3_2_2:C[6]-3_3_0_0     C[6]-3_2_0_0:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]N[6]HH)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|N<3>,2|C<3>,3|H<1>}    C[6](S[6]C[6,6a])(C[6]N[6]HH)(H)2{1|S<4>,2|C<3>}   1.8204    0.0000    1     1.8204     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:4:1:1:    C[6,6a]-3_2_2:C[6]-3_3_0_0     C[6]-3_3_0_0:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]C[6]HH)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|C<4>,2|C<3>,3|H<1>}    C[6](S[6]C[6,6a])(C[6]C[6]HH)(H)2{2|C<3>,2|C<4>}   1.7738    0.0000    1     1.7738     0.0000    1
