474    960     SP2_SP3    Y    3:2:1:1:    4:3:    C[5]-3_3_0:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-3_2_2     C[5](C[5]C[5]H)(N[5]C[5])(H)2    N[5](C[5]C[5]HH)(C[5]C[5]O)     C[5](C[5]C[5]H)(N[5]C[5])(H)2{1|O<1>,2|H<1>}    N[5](C[5]C[5]HH)(C[5]C[5]O){3|H<1>}   1.4502    0.0000    1     1.4502     0.0000    1
474    960     SP2_SP3    Y    3:2:1:1:    4:3:    Cl-3:Cl-3:C[5,6a]-3_2_2:N[5]-3_2     C[5]-2_2_0_0:C[5]-2_2_0     C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5])(Cl)2    N[5](C[5]C[5,6a]Cl2)(C[5]C[5,6a]Cl)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5])(Cl)2{1|Cl<1>,1|H<1>,2|C<3>}    N[5](C[5]C[5,6a]Cl2)(C[5]C[5,6a]Cl){2|C<3>}   1.4685    0.0017    2     1.4685     0.0017    2
474    960     SP2_SP3    Y    3:2:2:1:    4:3:    C[6a]-3_2_2:H-3:N[5]-3_2:O[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_0     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]N[5])(H)    N[5](C[5]C[6a]O[5]H)(C[5]C[6a]N[5])     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]N[5])(H){2|H<1>,4|C<3>}    N[5](C[5]C[6a]O[5]H)(C[5]C[6a]N[5]){5|C<3>}   1.4486    0.0091    2     1.4486     0.0091    2
474    960     SP2_SP3    Y    3:2:2:1:    4:3:    C[6a]-3_2_2:H-3:N[5]-3_2:O[5]-3_3     C[5]-3_2_0:C[5]-3_2_2_0     C[5](C[6a]C[6a]2)(O[5]C[5,5])(N[5]C[5])(H)    N[5](C[5]C[6a]O[5]H)(C[5]C[5,5]H)     C[5](C[6a]C[6a]2)(O[5]C[5,5])(N[5]C[5])(H){2|C<3>,2|C<4>,3|H<1>}    N[5](C[5]C[6a]O[5]H)(C[5]C[5,5]H){2|C<3>,2|C<4>}   1.4760    0.0000    1     1.4760     0.0000    1
474    960     SP2_SP3    Y    3:2:2:4:    4:3:    C-3_0_0_0:C[6a]-3_2_2:N[5]-3_2:O[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_2     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CFHH)    N[5](C[5]C[6a]O[5]C)(C[5]C[6a]C[5])     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CFHH){1|O<1>,2|H<1>,3|C<3>}    N[5](C[5]C[6a]O[5]C)(C[5]C[6a]C[5]){1|O<1>,4|C<3>}   1.4518    0.0000    1     1.4518     0.0000    1
474    960     SP2_SP3    Y    3:2:2:4:    4:3:    C-3_0_0_0:C[6a]-3_2_2:N[5]-3_2:O[5]-3_3     C[5]-3_3_2_2:C[5]-3_3_2     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CFHH)    N[5](C[5]C[6a]O[5]C)(C[5]C[5]C)     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CFHH){1|C<4>,2|C<3>,4|H<1>}    N[5](C[5]C[6a]O[5]C)(C[5]C[5]C){2|C<3>,2|H<1>}   1.4654    0.0000    1     1.4654     0.0000    1
474    960     SP2_SP3    Y    3:2:2:4:    4:3:    C-3_2_0_0:C[6a]-3_2_2:N[5]-3_2:O[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_2     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CCHH)    N[5](C[5]C[6a]O[5]C)(C[5]C[6a]C[5])     C[5](C[6a]C[6a]2)(N[5]C[5])(O[5]C[5])(CCHH){1|O<1>,2|H<1>,3|C<3>}    N[5](C[5]C[6a]O[5]C)(C[5]C[6a]C[5]){1|O<1>,4|C<3>}   1.4498    0.0000    1     1.4498     0.0000    1
474    960     SP2_SP3    Y    3:2:2:4:    4:3:    C-3_3_3_0:C[5a]-3_2_2:N[5]-3_2:S[5]-3_3     C[5]-3_2_2:C[5]-3_3_2_2     C[5](C[5a]N[5a]S[5a])(N[5]C[5])(S[5]C[5])(CCCH)    N[5](C[5]C[5a]S[5]C)(C[5]C[5]O)     C[5](C[5a]N[5a]S[5a])(N[5]C[5])(S[5]C[5])(CCCH){1|O<1>,2|C<3>,2|C<4>}    N[5](C[5]C[5a]S[5]C)(C[5]C[5]O){1|N<2>,1|S<2>,2|C<4>}   1.4524    0.0000    1     1.4524     0.0000    1
474    960     SP2_SP3    Y    3:2:3:1:    3:4:    C[5]-3_2_2:H-3:N[5]-3_2:N[5]-3_3_2     C[5,6a]-2_2_2:C[5]-3_2_2_0     C[5](N[5]C[5,6a]C)(N[5]C[5,6a])(C[5]N[5]2)(H)    N[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N[5]H)     C[5](N[5]C[5,6a]C)(N[5]C[5,6a])(C[5]N[5]2)(H){1|Rh<6>,1|C<4>,4|C<3>}    N[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N[5]H){1|C<4>,1|H<1>,2|C<3>,2|N<3>}   1.4821    0.0000    1     1.4821     0.0000    1
474    960     SP2_SP3    Y    3:2:3:3:    4:4:    C-3_2_2:C-3_2_2:C[5,6a]-3_2_2:N[5]-3_3     C[5]-2_2_2_2:S[5]-2_2_2_2     C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(CCN)(COO)    N[5](C[5]C[5,6a]CC)(S[5]C[5,6a]OO)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(CCN)(COO){1|H<1>,2|C<3>,2|O<1>}    N[5](C[5]C[5,6a]CC)(S[5]C[5,6a]OO){2|C<3>}   1.4849    0.0000    1     1.4849     0.0000    1
