957  979  SP1_SP2  N  3:4:  3:4:2:  Si-3_2_1:Si-3_3_3_1  N-2_2_2:Si-3_2:Si-3_3_3_2  787_2401_0  787_1656_0  2.1789  0.0000  1  2.1789  0.0000  1  
957  979  SP1_SP2  N  3:4:  4:2:1:  Si-3_1_0:Si-3_3_3_1  H-2:Si-3_2:Si-3_3_3_2  787_2390_0  787_2168_0  2.2033  0.0000  1  2.2033  0.0000  1  
957  989  SP1_SP2  N  3:3:  4:4:2:  C[6a]-2_2_1:Si[5]-3_3_1  C[5]-3_3_3_2:C[5]-3_3_3_2:Si-2_2  787_1299_0  830_106_1  2.1876  0.0000  1  2.1876  0.0000  1  
958  958  SPD6_SPD6  Y  6:2:2:1:1:1:  6:2:2:1:1:1:  Cl[3,3]-6_3_3_2_2_2:O-6:O-6:O-6:O[3]-6_6:O[3]-6_6  Cl[3,3]-6_3_3_2_2_2:O-6:O-6:O-6:O[3]-6_6:O[3]-6_6  459_0_0  459_0_0  2.1224  0.0000  1  2.1224  0.0000  1  
958  962  SP3_SPD6  Y  2:2:1:1:1:1:  6:2:  O-6:O-6:O-6:O-6:O[3]-6_3:O[3]-6_3  Cl[3]-3_3_2_2_2_2:O[3]-6_3  460_2_0  671_245_0  1.3957  0.0452  2  1.3957  0.0452  2  
958  962  SP3_SPD6  Y  6:2:2:1:1:1:  6:6:  Cl[3,3]-6_3_3_2_2_2:O-6:O-6:O-6:O[3]-6_6:O[3]-6_6  Cl[3,3]-6_3_3_2_2_2:Cl[3,3]-6_3_3_2_2_2  459_0_0  671_243_0  1.4587  0.0660  2  1.4587  0.0660  2  
959  960  SP2_SP3  Y  2:2:1:1:  3:4:  N[5]-3_2:N[5]-3_2:O-3:O-3  C[5,6a]-2_2_2:S[5]-2_2_2_2  766_898_1  646_2646_1  1.6992  0.0004  2  1.6718  0.0232  22  
959  960  SP2_SP3  Y  2:2:1:1:  3:4:  N[5]-3_2:N[5]-3_2:O-3:O-3  C[5,6a]-2_2_2:S[5]-2_2_2_2  766_898_1  646_2646_2  1.6690  0.0226  20  1.6718  0.0232  22  
959  960  SP2_SP3  Y  2:2:1:1:  3:4:  N[5]-3_2:N[5]-3_2:O-3:O-3  C[5]-2_2_2:S[5]-2_2_2_2  766_910_1  646_5615_1  1.6839  0.0000  1  1.6839  0.0000  1  
959  960  SP2_SP3  Y  2:2:1:1:  3:4:  N[5]-3_2:O-3:O-3:O[5]-3_2  C[5]-2_2_2:S[5]-2_2_2_2  766_906_1  646_5616_1  1.6425  0.0000  1  1.6425  0.0000  1  
