210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(NN)    C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(NN)(H)     N(C[5]C[5]2H)(NN)    C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(NN)(H){2|C<3>,2|C<4>}   1.4848    0.0000    1     1.4848     0.0000    1
210    474     4:3:    3:4:2:1:    C[5]-4:C-3:     C[5,6a]-3:C[5]-4:N-2:H-1:     N    N(C[5]C[5,6a]C[5]H)(CCH)    C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HO)(NC)(H)     N(C[5]C[5,6a]C[5]H)(CCH)    C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HO)(NC)(H){2|C<3>,3|H<1>}   1.4695    0.0000    1     1.4695     0.0000    1
210    474     4:3:    3:4:2:1:    C[5]-4:C-3:     C[5,6a]-3:C[5]-4:N-2:H-1:     N    N(C[5]C[5,6a]C[5]H)(CC[5]H)    C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HO)(NC)(H)     N(C[5]C[5,6a]C[5]H)(CC[5]H)    C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]HO)(NC)(H){2|C<3>,3|H<1>}   1.4583    0.0000    1     1.4583     0.0000    1
210    474     4:3:    3:4:4:2:    C[5,5]-4:C[6a]-3:     C[5,6a]-3:C[5,5]-4:C[5]-4:N-2:     N    N(C[5,5]C[5,6a]C[5,5]C[5])(C[6a]C[6a]2)    C[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]N[5]2H)(C[5]C[5]HH)(NC[6a])     N(C[5,5]C[5,6a]C[5,5]C[5])(C[6a]C[6a]2)    C[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]N[5]2H)(C[5]C[5]HH)(NC[6a]){3|H<1>,4|C<3>}   1.4668    0.0000    1     1.4668     0.0000    1
210    474     4:3:    4:3:2:2:    C[5,6]-4:C-3:     C[5,6]-4:C[6]-3:O[5]-2:N-2:     N    N(C[5,6]C[5,6]C[6]O[5])(CC[6a]H)    C[5,6](C[5,6]C[5]C[6]C)(C[6]C[6]C)(O[5]C[5])(NC)     N(C[5,6]C[5,6]C[6]O[5])(CC[6a]H)    C[5,6](C[5,6]C[5]C[6]C)(C[6]C[6]C)(O[5]C[5])(NC){1|C<4>,1|O<1>,2|H<1>,3|C<3>}   1.4523    0.0000    1     1.4523     0.0000    1
210    474     4:3:    4:4:2:1:    C[5]-4:C-3:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(CC[6a]H)    C[5](C[5]C[5]HH)2(NC)(H)     N(C[5]C[5]2H)(CC[6a]H)    C[5](C[5]C[5]HH)2(NC)(H){4|H<1>}   1.4705    0.0000    1     1.4705     0.0000    1
210    474     4:4:    3:3:2:1:    C[5]-4:C-4:     N[5,6]-3:N[5]-3:N-2:H-1:     N    N(C[5]N[5,6]N[5]H)(CC[6a]HH)    C[5](N[5,6]C[5,6]N[6])(N[5]C[5]C)(NC)(H)     N(C[5]N[5,6]N[5]H)(CC[6a]HH)    C[5](N[5,6]C[5,6]N[6])(N[5]C[5]C)(NC)(H){1|H<1>,1|O<1>,4|C<4>}   1.2544    0.0000    1     1.2544     0.0000    1
210    478     4:2:    4:3:2:1:    C[4]-4:N-2:     C[4]-4:C[4]-3:N-2:H-1:     N    N(C[4]C[4]2H)(NN)    C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(NN)(H)     N(C[4]C[4]2H)(NN)    C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(NN)(H){2|C<3>,2|C<4>}   1.4593    0.0000    1     1.4593     0.0000    1
210    486     4:2:    4:3:4:2:    C[3]-4:N-2:     C[3]-4:C[6a]-3:C[3]-4:N-2:     N    N(C[3]C[6a]C[3]2)(NN)    C[3](C[3]C[6a]C[3]C)(C[6a]C[6a]2)(C[3]C[3]HH)(NN)     N(C[3]C[6a]C[3]2)(NN)    C[3](C[3]C[6a]C[3]C)(C[6a]C[6a]2)(C[3]C[3]HH)(NN){2|H<1>,4|C<3>}   1.4687    0.0000    1     1.4687     0.0000    1
210    486     4:3:    4:4:2:1:    C[3]-4:C-3:     C[3]-4:C[3]-4:N-2:H-1:     N    N(C[3]C[3]2H)(CC[6a]H)    C[3](C[3]C[3]HH)2(NC)(H)     N(C[3]C[3]2H)(CC[6a]H)    C[3](C[3]C[3]HH)2(NC)(H){}   1.4273    0.0072    3     1.4273     0.0072    3
210    490     2:4:    4:4:3:2:    N-2:C-4:     C-4:C-4:C-3:N-2:     N    N(NC[6a])(CC3)    C(CH3)2(COO)(NN)     N(NC[6a])(CC3)    C(CH3)2(COO)(NN)   1.4996    0.0064    6     1.4996     0.0064    6
210    490     2:4:    4:4:3:2:    N-2:C-4:     C-4:C-4:N-3:N-2:     N    N(NC[6a])(CCCN)    C(CH3)2(NOO)(NN)     N(NC[6a])(CCCN)    C(CH3)2(NOO)(NN)   1.4893    0.0000    1     1.4893     0.0000    1
210    490     3:4:    2:1:1:1:    C-3:C-4:     N-2:H-1:H-1:H-1:     N    N(CC[6a]C)(CH3)    C(NC)(H)3     N(CC[6a]C)(CH3)    C(NC)(H)3   1.4661    0.0000    1     1.4661     0.0000    1
210    490     3:4:    2:1:1:1:    C-3:C-4:     N-2:H-1:H-1:H-1:     N    N(CC[6a]H)(CH3)    C(NC)(H)3     N(CC[6a]H)(CH3)    C(NC)(H)3   1.4380    0.0352    3     1.4380     0.0352    3
210    490     3:4:    2:1:1:1:    C-3:C-4:     N-2:H-1:H-1:H-1:     N    N(CC[6a]N[6])(CH3)    C(NC)(H)3     N(CC[6a]N[6])(CH3)    C(NC)(H)3   1.4558    0.0000    1     1.4558     0.0000    1
210    490     3:4:    2:1:1:1:    C[5a]-3:C-4:     N-2:H-1:H-1:H-1:     N    N(C[5a]C[5a,6a]O[5a])(CH3)    C(NC[5a])(H)3     N(C[5a]C[5a,6a]O[5a])(CH3)    C(NC[5a])(H)3   1.4321    0.0000    1     1.4321     0.0000    1
