643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_809_6  295_1637_1  1.4439  0.0000  1  1.4439  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_809_7  295_1509_1  1.4469  0.0000  1  1.4469  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,5]-2_2_2_2:C[3]-3_3_2:C[6a]-2_2_2  451_779_1  295_240_1  1.4529  0.0070  2  1.4529  0.0070  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,5]-3_3_2_2:C[3]-3_2_2:C[6a]-2_2_2  451_779_2  295_235_1  1.4480  0.0020  2  1.4480  0.0020  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-2_2_2_2:C[3]-3_2_0:C[6a]-2_2_2  451_797_1  295_478_1  1.4610  0.0000  1  1.4610  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-2_2_2_2:C[3]-3_2_2:C[6a]-2_2_2  451_797_2  295_497_1  1.4428  0.0011  2  1.4428  0.0011  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-3_2_2_2:C[3]-3_3_2:C[6a]-2_2_2  451_797_3  295_460_1  1.4568  0.0000  1  1.4568  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_0:C[3]-3_3_2:C[6a]-2_2_2  451_22581_11  295_1418_1  1.4505  0.0000  1  1.4505  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_1:C[3]-3_2_2:C[6a]-2_2_2  451_22581_12  295_1283_1  1.4452  0.0001  2  1.4452  0.0001  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_2:C[3]-3_3_2:C[6a]-2_2_2  451_22581_13  295_1291_2  1.4467  0.0032  3  1.4467  0.0032  3  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_2:C[3]-3_3_2:C[6a]-2_2_2  451_22581_14  295_1301_1  1.4476  0.0000  1  1.4476  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_0:C[6a]-2_2_2:P[3]-5_2_2_2  451_828_4  295_2069_1  1.4589  0.0000  1  1.4589  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_0:C[6a]-2_2_2:Si[3]-3_2_2_2  451_862_4  295_2116_1  1.4703  0.0000  1  1.4703  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Ge[3,5]-3_3_2_2  451_843_1  295_1966_1  1.4602  0.0000  2  1.4602  0.0000  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-2_2_2_2  451_828_5  295_2079_1  1.4479  0.0014  2  1.4479  0.0014  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-6_2_2_2  451_828_6  295_2077_1  1.4530  0.0027  4  1.4530  0.0027  4  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-6_2_2_2  451_828_6  295_2091_1  1.4556  0.0023  6  1.4556  0.0023  6  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-6_2_2_2  451_828_7  295_2094_1  1.4569  0.0000  1  1.4569  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Si[3]-2_2_2_2  451_862_5  295_2112_1  1.4666  0.0070  2  1.4666  0.0070  2  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_3_2:C[6a]-2_2_2:P[3]-2_2_2_2  451_828_8  295_2085_1  1.4715  0.0097  2  1.4715  0.0097  2  
